Tm,PuntRet,PrYds,PrTD,Y/PR,KickRet,KrYds,KrTD,Y/KR,APYd
Baltimore Ravens,38.0,357.0,0.0,9.4,86.0,1734.0,0.0,20.2,8128.0
Atlanta Falcons,31.0,315.0,0.0,10.2,87.0,1825.0,0.0,21.0,7500.0
New England Patriots,52.0,588.0,1.0,11.3,64.0,1424.0,0.0,22.3,7664.0
Arizona Cardinals,39.0,343.0,0.0,8.8,75.0,1582.0,0.0,21.1,7371.0
New Orleans Saints,31.0,159.0,0.0,5.1,78.0,1899.0,0.0,24.3,6473.0
New York Giants,42.0,478.0,2.0,11.4,66.0,1287.0,0.0,19.5,6088.0
New York Jets,28.0,139.0,0.0,5.0,79.0,1504.0,0.0,19.0,7123.0
Green Bay Packers,58.0,875.0,3.0,15.1,47.0,1038.0,1.0,22.1,7707.0
Seattle Seahawks,34.0,352.0,1.0,10.4,71.0,1542.0,0.0,21.7,7204.0
Carolina Panthers,55.0,624.0,1.0,11.3,50.0,1310.0,1.0,26.2,7147.0
Philadelphia Eagles,40.0,330.0,0.0,8.3,64.0,1439.0,2.0,22.5,7731.0
Oakland Raiders,42.0,403.0,0.0,9.6,61.0,1276.0,0.0,20.9,7185.0
Detroit Lions,34.0,284.0,0.0,8.4,69.0,1675.0,0.0,24.3,7223.0
Cincinnati Bengals,33.0,217.0,0.0,6.6,70.0,1459.0,1.0,20.8,7241.0
Indianapolis Colts,41.0,447.0,0.0,10.9,61.0,1403.0,1.0,23.0,6846.0
San Diego Chargers,38.0,559.0,1.0,14.7,63.0,1358.0,0.0,21.6,6873.0
Buffalo Bills,43.0,423.0,0.0,9.8,58.0,1341.0,1.0,23.1,7235.0
Jacksonville Jaguars,34.0,351.0,0.0,10.3,67.0,1463.0,0.0,21.8,7830.0
Denver Broncos,49.0,583.0,0.0,11.9,50.0,1195.0,0.0,23.9,7829.0
Kansas City Chiefs,33.0,282.0,0.0,8.5,66.0,1567.0,1.0,23.7,7038.0
San Francisco 49ers,39.0,352.0,0.0,9.0,59.0,1258.0,0.0,21.3,7405.0
St. Louis Rams,35.0,439.0,2.0,12.5,62.0,1233.0,0.0,19.9,6385.0
Dallas Cowboys,44.0,394.0,0.0,9.0,53.0,1339.0,0.0,25.3,6695.0
Tampa Bay Buccaneers,41.0,481.0,1.0,11.7,55.0,1287.0,0.0,23.4,6299.0
Houston Oilers,29.0,279.0,0.0,9.6,66.0,1421.0,0.0,21.5,6960.0
Pittsburgh Steelers,40.0,251.0,0.0,6.3,53.0,1171.0,1.0,22.1,6871.0
Minnesota Vikings,32.0,300.0,1.0,9.4,58.0,1075.0,0.0,18.5,6827.0
Washington Redskins,23.0,258.0,0.0,11.2,65.0,1401.0,0.0,21.6,7020.0
Chicago Bears,31.0,282.0,0.0,9.1,56.0,1337.0,0.0,23.9,6723.0
Miami Dolphins,26.0,251.0,0.0,9.7,60.0,1320.0,0.0,22.0,6988.0
Avg Team,37.8,379.9,0.4,10.0,64.0,1405.4,0.3,22.0,7120.3
