Tm,PuntRet,PrYds,PrTD,Y/PR,KickRet,KrYds,KrTD,Y/KR,APYd
San Francisco 49ers,56.0,483.0,0.0,8.6,73.0,1702.0,0.0,23.3,6376.0
Oakland Raiders,38.0,209.0,0.0,5.5,78.0,1686.0,0.0,21.6,6857.0
Arizona Cardinals,42.0,395.0,1.0,9.4,74.0,1682.0,0.0,22.7,7741.0
Philadelphia Eagles,42.0,340.0,0.0,8.1,71.0,1539.0,0.0,21.7,7858.0
St. Louis Rams,30.0,357.0,1.0,11.9,82.0,1938.0,0.0,23.6,7404.0
Seattle Seahawks,58.0,658.0,1.0,11.3,53.0,1173.0,2.0,22.1,7629.0
Chicago Bears,44.0,651.0,4.0,14.8,67.0,1234.0,2.0,18.4,7222.0
Green Bay Packers,48.0,492.0,2.0,10.3,62.0,1349.0,0.0,21.8,7925.0
New York Giants,43.0,319.0,0.0,7.4,66.0,1579.0,1.0,23.9,7521.0
Atlanta Falcons,36.0,228.0,0.0,6.3,72.0,1781.0,0.0,24.7,7155.0
Kansas City Chiefs,40.0,302.0,0.0,7.6,67.0,1286.0,0.0,19.2,6402.0
Houston Texans,33.0,287.0,0.0,8.7,74.0,1961.0,4.0,26.5,7826.0
Washington Redskins,40.0,299.0,0.0,7.5,65.0,1544.0,0.0,23.8,7320.0
Miami Dolphins,24.0,230.0,1.0,9.6,78.0,1552.0,0.0,19.9,6671.0
Cleveland Browns,30.0,405.0,1.0,13.5,72.0,1943.0,2.0,27.0,8098.0
Buffalo Bills,31.0,476.0,1.0,15.4,70.0,1448.0,1.0,20.7,6540.0
Baltimore Ravens,35.0,338.0,2.0,9.7,65.0,1525.0,1.0,23.5,6962.0
Cincinnati Bengals,27.0,131.0,0.0,4.9,73.0,1684.0,1.0,23.1,7648.0
Tampa Bay Buccaneers,50.0,334.0,0.0,6.7,48.0,1119.0,1.0,23.3,6940.0
New Orleans Saints,24.0,197.0,0.0,8.2,71.0,1513.0,0.0,21.3,7672.0
New York Jets,20.0,183.0,0.0,9.2,74.0,1695.0,3.0,22.9,6912.0
Tennessee Titans,42.0,367.0,0.0,8.7,52.0,1098.0,0.0,21.1,6632.0
Carolina Panthers,32.0,269.0,0.0,8.4,60.0,1146.0,0.0,19.1,6183.0
Pittsburgh Steelers,39.0,238.0,0.0,6.1,52.0,1145.0,1.0,22.0,6971.0
Detroit Lions,18.0,148.0,0.0,8.2,72.0,1628.0,1.0,22.6,7315.0
New England Patriots,33.0,311.0,0.0,9.4,55.0,1384.0,2.0,25.2,8462.0
Minnesota Vikings,29.0,242.0,0.0,8.3,59.0,1461.0,1.0,24.8,7369.0
Dallas Cowboys,26.0,227.0,0.0,8.7,61.0,1358.0,0.0,22.3,7647.0
Jacksonville Jaguars,32.0,324.0,0.0,10.1,49.0,1110.0,1.0,22.7,7387.0
Denver Broncos,23.0,209.0,1.0,9.1,58.0,1293.0,0.0,22.3,7254.0
San Diego Chargers,32.0,281.0,1.0,8.8,48.0,1224.0,1.0,25.5,6747.0
Indianapolis Colts,25.0,280.0,1.0,11.2,53.0,1157.0,0.0,21.8,7389.0
Avg Team,35.1,319.1,0.5,9.1,64.8,1466.8,0.8,22.6,7251.1
