Tm,PuntRet,PrYds,PrTD,Y/PR,KickRet,KrYds,KrTD,Y/KR,APYd
Houston Texans,53.0,512.0,1.0,9.7,77.0,1529.0,0.0,19.9,6047.0
Detroit Lions,42.0,363.0,2.0,8.6,83.0,2039.0,0.0,24.6,7077.0
New Orleans Saints,45.0,625.0,1.0,13.9,79.0,1956.0,2.0,24.8,8079.0
Washington Redskins,43.0,450.0,1.0,10.5,78.0,1617.0,0.0,20.7,7464.0
Chicago Bears,38.0,359.0,0.0,9.4,83.0,1762.0,0.0,21.2,6942.0
Carolina Panthers,57.0,487.0,2.0,8.5,60.0,1208.0,0.0,20.1,6269.0
Arizona Cardinals,36.0,221.0,0.0,6.1,81.0,1797.0,1.0,22.2,6877.0
Pittsburgh Steelers,42.0,290.0,0.0,6.9,72.0,1544.0,1.0,21.4,8013.0
Minnesota Vikings,28.0,283.0,0.0,10.1,86.0,1775.0,0.0,20.6,8481.0
Cincinnati Bengals,28.0,131.0,0.0,4.7,85.0,1905.0,1.0,22.4,7596.0
San Diego Chargers,37.0,315.0,0.0,8.5,73.0,1670.0,0.0,22.9,7571.0
New England Patriots,34.0,298.0,0.0,8.8,75.0,1771.0,2.0,23.6,7335.0
Green Bay Packers,46.0,191.0,0.0,4.2,63.0,1284.0,0.0,20.4,7227.0
St. Louis Rams,33.0,380.0,1.0,11.5,75.0,1642.0,0.0,21.9,7950.0
Dallas Cowboys,39.0,325.0,0.0,8.3,68.0,1521.0,2.0,22.4,6612.0
Baltimore Ravens,34.0,384.0,1.0,11.3,68.0,1433.0,0.0,21.1,6703.0
Buffalo Bills,30.0,157.0,0.0,5.2,71.0,1405.0,1.0,19.8,7561.0
Indianapolis Colts,37.0,282.0,0.0,7.6,64.0,1310.0,0.0,20.5,7386.0
New York Jets,29.0,464.0,2.0,16.0,72.0,1713.0,2.0,23.8,7415.0
Cleveland Browns,33.0,434.0,2.0,13.2,66.0,1336.0,1.0,20.2,7045.0
Seattle Seahawks,25.0,256.0,1.0,10.2,74.0,1533.0,1.0,20.7,7882.0
Philadelphia Eagles,47.0,567.0,1.0,12.1,52.0,1297.0,0.0,24.9,7767.0
San Francisco 49ers,28.0,395.0,1.0,14.1,68.0,1386.0,0.0,20.4,7617.0
Denver Broncos,34.0,275.0,0.0,8.1,62.0,1456.0,0.0,23.5,8176.0
Kansas City Chiefs,29.0,390.0,2.0,13.4,67.0,1474.0,1.0,22.0,8070.0
Atlanta Falcons,32.0,325.0,0.0,10.2,63.0,1404.0,1.0,22.3,7532.0
Miami Dolphins,31.0,293.0,0.0,9.5,63.0,1483.0,0.0,23.5,7369.0
New York Giants,32.0,243.0,0.0,7.6,59.0,1219.0,0.0,20.7,7474.0
Oakland Raiders,29.0,318.0,2.0,11.0,61.0,1319.0,1.0,21.6,8149.0
Jacksonville Jaguars,28.0,311.0,1.0,11.1,62.0,1165.0,0.0,18.8,6624.0
Tampa Bay Buccaneers,44.0,430.0,1.0,9.8,45.0,1085.0,0.0,24.1,6750.0
Tennessee Titans,28.0,217.0,0.0,7.8,50.0,982.0,0.0,19.6,6637.0
Avg Team,36.0,342.8,0.7,9.5,68.9,1500.6,0.5,21.8,7365.5
