Tm,PuntRet,PrYds,PrTD,Y/PR,KickRet,KrYds,KrTD,Y/KR,APYd
Arizona Cardinals,42.0,294.0,0.0,7.0,84.0,2084.0,2.0,24.8,7132.0
Oakland Raiders,55.0,386.0,0.0,7.0,68.0,1532.0,3.0,22.5,7965.0
New York Jets,56.0,529.0,0.0,9.4,63.0,1588.0,2.0,25.2,7940.0
Jacksonville Jaguars,36.0,359.0,1.0,10.0,80.0,1903.0,0.0,23.8,8043.0
St. Louis Rams,40.0,452.0,0.0,11.3,74.0,1614.0,0.0,21.8,7268.0
Carolina Panthers,39.0,373.0,0.0,9.6,74.0,1619.0,0.0,21.9,6432.0
Washington Redskins,40.0,432.0,0.0,10.8,73.0,1680.0,1.0,23.0,7837.0
Kansas City Chiefs,52.0,524.0,1.0,10.1,58.0,1140.0,0.0,19.7,7497.0
Cincinnati Bengals,36.0,258.0,0.0,7.2,71.0,1551.0,0.0,21.8,7385.0
Seattle Seahawks,42.0,468.0,0.0,11.1,65.0,1558.0,3.0,24.0,6968.0
Minnesota Vikings,42.0,361.0,0.0,8.6,64.0,1427.0,1.0,22.3,7047.0
Green Bay Packers,41.0,325.0,0.0,7.9,62.0,1249.0,0.0,20.1,7567.0
Houston Texans,35.0,235.0,0.0,6.7,67.0,1326.0,0.0,19.8,7970.0
Buffalo Bills,32.0,336.0,0.0,10.5,69.0,1458.0,1.0,21.1,6943.0
New York Giants,43.0,263.0,0.0,6.1,57.0,1082.0,0.0,19.0,7577.0
Philadelphia Eagles,38.0,404.0,1.0,10.6,62.0,1272.0,0.0,20.5,8265.0
Dallas Cowboys,24.0,382.0,3.0,15.9,74.0,1572.0,0.0,21.2,7938.0
Indianapolis Colts,31.0,214.0,0.0,6.9,67.0,1310.0,1.0,19.6,7712.0
Baltimore Ravens,43.0,319.0,0.0,7.4,55.0,1357.0,1.0,24.7,7128.0
San Diego Chargers,40.0,420.0,0.0,10.5,56.0,1342.0,0.0,24.0,8317.0
Chicago Bears,33.0,564.0,3.0,17.1,59.0,1497.0,0.0,25.4,7075.0
San Francisco 49ers,31.0,366.0,1.0,11.8,61.0,1187.0,0.0,19.5,6799.0
Cleveland Browns,22.0,235.0,0.0,10.7,70.0,1191.0,0.0,17.0,6288.0
Tennessee Titans,27.0,329.0,1.0,12.2,64.0,1556.0,1.0,24.3,6872.0
Detroit Lions,30.0,362.0,0.0,12.1,61.0,1519.0,1.0,24.9,7529.0
Denver Broncos,31.0,323.0,0.0,10.4,59.0,1435.0,1.0,24.3,7657.0
Tampa Bay Buccaneers,30.0,193.0,0.0,6.4,57.0,1386.0,1.0,24.3,7148.0
Pittsburgh Steelers,37.0,226.0,0.0,6.1,49.0,1153.0,1.0,23.5,7206.0
Miami Dolphins,28.0,293.0,0.0,10.5,56.0,1199.0,0.0,21.4,6848.0
New England Patriots,27.0,361.0,1.0,13.4,56.0,1231.0,2.0,22.0,7678.0
New Orleans Saints,27.0,210.0,0.0,7.8,52.0,1181.0,0.0,22.7,7570.0
Atlanta Falcons,19.0,230.0,1.0,12.1,46.0,1221.0,1.0,26.5,7075.0
Avg Team,35.9,344.6,0.4,9.6,63.5,1419.4,0.7,22.3,7396.1
