Tm,PuntRet,PrYds,PrTD,Y/PR,KickRet,KrYds,KrTD,Y/KR,APYd
Carolina Panthers,44.0,464.0,0.0,10.5,76.0,1834.0,1.0,24.1,7385.0
San Diego Chargers,45.0,542.0,0.0,12.0,70.0,1293.0,0.0,18.5,6660.0
Washington Redskins,44.0,506.0,0.0,11.5,70.0,1512.0,1.0,21.6,7419.0
Baltimore Ravens,43.0,541.0,2.0,12.6,69.0,1700.0,2.0,24.6,6974.0
Oakland Raiders,50.0,564.0,2.0,11.3,62.0,1208.0,0.0,19.5,7112.0
St. Louis Rams,41.0,415.0,1.0,10.1,68.0,1472.0,1.0,21.6,6679.0
Green Bay Packers,48.0,412.0,1.0,8.6,60.0,1547.0,2.0,25.8,7952.0
Arizona Cardinals,43.0,295.0,0.0,6.9,63.0,1314.0,0.0,20.9,7060.0
San Francisco 49ers,47.0,406.0,1.0,8.6,59.0,1108.0,0.0,18.8,8575.0
Jacksonville Jaguars,45.0,581.0,1.0,12.9,61.0,1366.0,0.0,22.4,7604.0
Indianapolis Colts,34.0,340.0,0.0,10.0,71.0,1432.0,0.0,20.2,7024.0
Seattle Seahawks,41.0,428.0,2.0,10.4,64.0,1510.0,1.0,23.6,6823.0
Detroit Lions,36.0,212.0,0.0,5.9,68.0,1700.0,2.0,25.0,7264.0
Cincinnati Bengals,29.0,234.0,1.0,8.1,72.0,1710.0,1.0,23.8,7221.0
Kansas City Chiefs,38.0,316.0,0.0,8.3,63.0,1319.0,0.0,20.9,6707.0
New York Giants,35.0,252.0,0.0,7.2,66.0,1286.0,1.0,19.5,6249.0
Tampa Bay Buccaneers,41.0,559.0,2.0,13.6,59.0,1399.0,0.0,23.7,6903.0
New York Jets,43.0,315.0,0.0,7.3,57.0,1285.0,0.0,22.5,7597.0
Miami Dolphins,46.0,542.0,0.0,11.8,53.0,1297.0,0.0,24.5,6948.0
Denver Broncos,38.0,399.0,0.0,10.5,58.0,1402.0,1.0,24.2,8052.0
New England Patriots,33.0,395.0,0.0,12.0,62.0,1330.0,0.0,21.5,7214.0
Philadelphia Eagles,34.0,285.0,0.0,8.4,60.0,1363.0,0.0,22.7,6175.0
Tennessee Oilers,38.0,280.0,0.0,7.4,56.0,1148.0,0.0,20.5,6900.0
New Orleans Saints,32.0,408.0,0.0,12.8,62.0,1354.0,1.0,21.8,6694.0
Buffalo Bills,37.0,369.0,0.0,10.0,56.0,1168.0,0.0,20.9,7376.0
Chicago Bears,25.0,291.0,1.0,11.6,66.0,1595.0,2.0,24.2,6889.0
Dallas Cowboys,39.0,493.0,2.0,12.6,51.0,1191.0,0.0,23.4,7237.0
Pittsburgh Steelers,33.0,269.0,0.0,8.2,55.0,1112.0,0.0,20.2,6249.0
Atlanta Falcons,40.0,304.0,0.0,7.6,46.0,1157.0,1.0,25.2,7426.0
Minnesota Vikings,29.0,289.0,0.0,10.0,54.0,1238.0,1.0,22.9,8152.0
Avg Team,39.0,390.2,0.5,10.0,61.9,1378.3,0.6,22.3,7150.7
