Tm,PuntRet,PrYds,PrTD,Y/PR,KickRet,KrYds,KrTD,Y/KR,APYd
Cincinnati Bengals,48.0,321.0,0.0,6.7,61.0,1211.0,0.0,19.9,5849.0
Green Bay Packers,45.0,404.0,0.0,9.0,60.0,1483.0,1.0,24.7,6870.0
New Orleans Saints,38.0,517.0,2.0,13.6,62.0,1460.0,1.0,23.5,7044.0
Cleveland Browns,42.0,563.0,3.0,13.4,58.0,1119.0,0.0,19.3,6723.0
Pittsburgh Steelers,47.0,353.0,0.0,7.5,52.0,878.0,0.0,16.9,6897.0
New England Patriots,51.0,462.0,0.0,9.1,47.0,819.0,0.0,17.4,6444.0
Tampa Bay Buccaneers,38.0,311.0,0.0,8.2,58.0,922.0,0.0,15.9,5825.0
Washington Redskins,35.0,245.0,0.0,7.0,59.0,1166.0,0.0,19.8,6017.0
Minnesota Vikings,39.0,280.0,0.0,7.2,55.0,1086.0,0.0,19.7,6359.0
Detroit Lions,40.0,349.0,0.0,8.7,52.0,1204.0,1.0,23.2,6550.0
Los Angeles Raiders,40.0,465.0,1.0,11.6,52.0,1061.0,0.0,20.4,6837.0
Phoenix Cardinals,47.0,384.0,1.0,8.2,45.0,951.0,0.0,21.1,6835.0
Atlanta Falcons,35.0,276.0,0.0,7.9,55.0,1300.0,1.0,23.6,6964.0
Indianapolis Colts,30.0,173.0,0.0,5.8,57.0,1124.0,0.0,19.7,6253.0
Philadelphia Eagles,33.0,284.0,0.0,8.6,54.0,987.0,0.0,18.3,6524.0
Seattle Seahawks,33.0,280.0,0.0,8.5,50.0,931.0,0.0,18.6,6116.0
Kansas City Chiefs,37.0,348.0,0.0,9.4,45.0,875.0,0.0,19.4,6384.0
San Diego Chargers,34.0,412.0,0.0,12.1,47.0,901.0,0.0,19.2,6549.0
Denver Broncos,41.0,425.0,0.0,10.4,39.0,717.0,0.0,18.4,6872.0
Chicago Bears,35.0,289.0,0.0,8.3,45.0,811.0,0.0,18.0,5089.0
Buffalo Bills,33.0,277.0,1.0,8.4,45.0,746.0,0.0,16.6,6588.0
New York Jets,31.0,256.0,0.0,8.3,46.0,675.0,0.0,14.7,6325.0
Miami Dolphins,28.0,326.0,2.0,11.6,49.0,1068.0,0.0,21.8,7394.0
San Francisco 49ers,35.0,411.0,1.0,11.7,40.0,715.0,0.0,17.9,7795.0
Dallas Cowboys,37.0,381.0,2.0,10.3,36.0,758.0,0.0,21.1,6931.0
Houston Oilers,41.0,275.0,0.0,6.7,31.0,589.0,0.0,19.0,6979.0
Los Angeles Rams,19.0,102.0,0.0,5.4,49.0,824.0,0.0,16.8,6022.0
New York Giants,32.0,331.0,1.0,10.3,32.0,507.0,0.0,15.8,6211.0
Avg Team,37.3,339.3,0.5,9.1,49.3,960.3,0.1,19.5,6544.5
