Tm,PuntRet,PrYds,PrTD,Y/PR,KickRet,KrYds,KrTD,Y/KR,APYd
Kansas City Chiefs,58.0,706.0,2.0,12.2,63.0,1182.0,0.0,18.8,7557.0
Cincinnati Bengals,35.0,410.0,2.0,11.7,84.0,2020.0,1.0,24.0,7992.0
Denver Broncos,54.0,409.0,1.0,7.6,63.0,1398.0,0.0,22.2,7318.0
Miami Dolphins,44.0,432.0,0.0,9.8,72.0,1713.0,0.0,23.8,7367.0
New Orleans Saints,35.0,258.0,0.0,7.4,79.0,1639.0,0.0,20.7,7264.0
Cleveland Browns,25.0,162.0,0.0,6.5,89.0,1725.0,0.0,19.4,6037.0
New York Giants,45.0,520.0,1.0,11.6,69.0,1502.0,0.0,21.8,7471.0
Baltimore Ravens,59.0,452.0,0.0,7.7,54.0,1098.0,0.0,20.3,6639.0
Arizona Cardinals,47.0,489.0,0.0,10.4,64.0,1403.0,0.0,21.9,6180.0
Detroit Lions,38.0,386.0,1.0,10.2,72.0,1445.0,0.0,20.1,7250.0
New England Patriots,48.0,495.0,0.0,10.3,62.0,1498.0,0.0,24.2,7420.0
New York Jets,43.0,319.0,0.0,7.4,67.0,1571.0,0.0,23.4,6832.0
Indianapolis Colts,41.0,388.0,1.0,9.5,67.0,1397.0,1.0,20.9,7627.0
Atlanta Falcons,32.0,372.0,2.0,11.6,76.0,1445.0,0.0,19.0,6715.0
St. Louis Rams,52.0,498.0,1.0,9.6,54.0,1354.0,2.0,25.1,8591.0
Washington Redskins,41.0,332.0,0.0,8.1,63.0,1290.0,1.0,20.5,7816.0
Oakland Raiders,42.0,397.0,0.0,9.5,61.0,1140.0,0.0,18.7,7578.0
San Francisco 49ers,26.0,104.0,0.0,4.0,77.0,1579.0,0.0,20.5,7399.0
San Diego Chargers,34.0,290.0,0.0,8.5,69.0,1312.0,0.0,19.0,6481.0
Minnesota Vikings,32.0,269.0,1.0,8.4,70.0,1597.0,2.0,22.8,7996.0
Carolina Panthers,35.0,241.0,0.0,6.9,66.0,1475.0,2.0,22.3,7725.0
Pittsburgh Steelers,42.0,377.0,0.0,9.0,57.0,1110.0,0.0,19.5,6742.0
Dallas Cowboys,41.0,440.0,1.0,10.7,58.0,1372.0,0.0,23.7,7201.0
Philadelphia Eagles,29.0,250.0,0.0,8.6,69.0,1612.0,1.0,23.4,6045.0
Chicago Bears,30.0,346.0,0.0,11.5,68.0,1491.0,0.0,21.9,7557.0
Tampa Bay Buccaneers,43.0,357.0,0.0,8.3,55.0,1116.0,0.0,20.3,6015.0
Seattle Seahawks,30.0,419.0,1.0,14.0,68.0,1547.0,0.0,22.8,6989.0
Tennessee Titans,40.0,358.0,1.0,9.0,56.0,1042.0,0.0,18.6,6929.0
Green Bay Packers,29.0,212.0,0.0,7.3,66.0,1241.0,1.0,18.8,7172.0
Jacksonville Jaguars,45.0,462.0,1.0,10.3,46.0,881.0,1.0,19.2,7193.0
Buffalo Bills,34.0,347.0,0.0,10.2,51.0,1001.0,1.0,19.6,6941.0
Avg Team,39.6,370.9,0.5,9.4,65.6,1393.4,0.4,21.2,7162.5
