Tm,PuntRet,PrYds,PrTD,Y/PR,KickRet,KrYds,KrTD,Y/KR,APYd
Washington Redskins,52.0,377.0,0.0,7.3,74.0,1355.0,0.0,18.3,7616.0
Los Angeles Raiders,55.0,489.0,0.0,8.9,62.0,1407.0,1.0,22.7,7275.0
Minnesota Vikings,59.0,553.0,0.0,9.4,56.0,1160.0,0.0,20.7,7663.0
Dallas Cowboys,45.0,360.0,0.0,8.0,69.0,1410.0,0.0,20.4,7489.0
Pittsburgh Steelers,39.0,322.0,0.0,8.3,74.0,1575.0,2.0,21.3,7420.0
Phoenix Cardinals,52.0,463.0,0.0,8.9,60.0,1106.0,0.0,18.4,7862.0
Denver Broncos,53.0,451.0,0.0,8.5,58.0,1198.0,0.0,20.7,7386.0
New York Jets,38.0,418.0,1.0,11.0,72.0,1404.0,0.0,19.5,7355.0
San Francisco 49ers,54.0,612.0,2.0,11.3,55.0,978.0,0.0,17.8,7766.0
New York Giants,47.0,359.0,0.0,7.6,62.0,1154.0,0.0,18.6,6979.0
Los Angeles Rams,49.0,322.0,0.0,6.6,59.0,1191.0,0.0,20.2,7533.0
New Orleans Saints,35.0,413.0,1.0,11.8,70.0,1408.0,0.0,20.1,7137.0
Atlanta Falcons,42.0,343.0,0.0,8.2,59.0,1057.0,0.0,17.9,6421.0
Detroit Lions,42.0,346.0,0.0,8.2,59.0,1154.0,0.0,19.6,5320.0
Tampa Bay Buccaneers,36.0,328.0,0.0,9.1,64.0,1345.0,0.0,21.0,6990.0
Green Bay Packers,35.0,208.0,1.0,5.9,64.0,1181.0,0.0,18.5,6349.0
Seattle Seahawks,37.0,340.0,0.0,9.2,62.0,1352.0,0.0,21.8,6756.0
Houston Oilers,36.0,225.0,0.0,6.3,60.0,1232.0,1.0,20.5,6885.0
San Diego Chargers,35.0,314.0,0.0,9.0,60.0,1510.0,2.0,25.2,6530.0
Cleveland Browns,40.0,325.0,0.0,8.1,55.0,1159.0,0.0,21.1,6717.0
New England Patriots,38.0,398.0,0.0,10.5,57.0,1248.0,1.0,21.9,6094.0
Philadelphia Eagles,33.0,233.0,0.0,7.1,59.0,1028.0,0.0,17.4,7147.0
Miami Dolphins,27.0,259.0,0.0,9.6,65.0,1365.0,0.0,21.0,7401.0
Cincinnati Bengals,32.0,244.0,0.0,7.6,57.0,1054.0,1.0,18.5,7657.0
Kansas City Chiefs,32.0,215.0,0.0,6.7,56.0,925.0,0.0,16.5,6338.0
Chicago Bears,38.0,294.0,0.0,7.7,45.0,896.0,0.0,19.9,6643.0
Indianapolis Colts,26.0,254.0,1.0,9.8,52.0,1033.0,0.0,19.9,6438.0
Buffalo Bills,26.0,152.0,0.0,5.8,50.0,935.0,0.0,18.7,6642.0
Avg Team,40.5,343.5,0.2,8.5,60.5,1207.9,0.3,20.0,6993.2
