Tm,PuntRet,PrYds,PrTD,Y/PR,KickRet,KrYds,KrTD,Y/KR,APYd
Oakland Raiders,44.0,570.0,3.0,13.0,78.0,1777.0,2.0,22.8,6923.0
Chicago Bears,39.0,261.0,0.0,6.7,77.0,1919.0,1.0,24.9,7108.0
Philadelphia Eagles,52.0,446.0,1.0,8.6,60.0,1411.0,1.0,23.5,7776.0
Seattle Seahawks,35.0,353.0,0.0,10.1,77.0,1948.0,0.0,25.3,7019.0
St. Louis Rams,29.0,245.0,0.0,8.4,80.0,1761.0,0.0,22.0,6997.0
Arizona Cardinals,33.0,237.0,0.0,7.2,75.0,1630.0,1.0,21.7,7964.0
Dallas Cowboys,37.0,238.0,0.0,6.4,70.0,1554.0,1.0,22.2,7494.0
Tampa Bay Buccaneers,47.0,440.0,1.0,9.4,60.0,1486.0,1.0,24.8,7581.0
Kansas City Chiefs,26.0,169.0,0.0,6.5,80.0,1716.0,0.0,21.5,7160.0
Green Bay Packers,37.0,398.0,2.0,10.8,69.0,1387.0,0.0,20.1,7641.0
San Francisco 49ers,29.0,298.0,0.0,10.3,76.0,1767.0,1.0,23.3,7377.0
Buffalo Bills,30.0,464.0,1.0,15.5,75.0,1816.0,1.0,24.2,7412.0
Houston Texans,32.0,386.0,2.0,12.1,72.0,1550.0,0.0,21.5,8297.0
Detroit Lions,21.0,168.0,0.0,8.0,83.0,1807.0,0.0,21.8,6669.0
Jacksonville Jaguars,29.0,275.0,0.0,9.5,74.0,1678.0,0.0,22.7,7418.0
Carolina Panthers,42.0,453.0,0.0,10.8,60.0,1372.0,0.0,22.9,7622.0
Atlanta Falcons,43.0,379.0,1.0,8.8,59.0,1408.0,0.0,23.9,7665.0
Washington Redskins,45.0,378.0,1.0,8.4,55.0,1382.0,0.0,25.1,7160.0
Cincinnati Bengals,32.0,253.0,0.0,7.9,67.0,1551.0,0.0,23.1,6075.0
New England Patriots,36.0,371.0,0.0,10.3,62.0,1562.0,1.0,25.2,7992.0
Minnesota Vikings,34.0,273.0,1.0,8.0,61.0,1369.0,0.0,22.4,7262.0
New York Giants,39.0,337.0,0.0,8.6,55.0,1284.0,0.0,23.3,7504.0
Baltimore Ravens,44.0,378.0,0.0,8.6,50.0,1007.0,0.0,20.1,6892.0
Pittsburgh Steelers,41.0,247.0,0.0,6.0,50.0,1013.0,0.0,20.3,6561.0
Denver Broncos,20.0,196.0,0.0,9.8,71.0,1550.0,0.0,21.8,8199.0
New York Jets,29.0,303.0,0.0,10.4,61.0,1407.0,1.0,23.1,7269.0
Cleveland Browns,30.0,251.0,0.0,8.4,58.0,1312.0,1.0,22.6,5690.0
San Diego Chargers,26.0,269.0,0.0,10.3,62.0,1485.0,1.0,24.0,7591.0
Miami Dolphins,28.0,285.0,0.0,10.2,60.0,1213.0,0.0,20.2,7140.0
New Orleans Saints,26.0,310.0,3.0,11.9,62.0,1496.0,0.0,24.1,8448.0
Tennessee Titans,34.0,329.0,0.0,9.7,52.0,1319.0,0.0,25.4,6731.0
Indianapolis Colts,22.0,132.0,0.0,6.0,63.0,1312.0,0.0,20.8,7008.0
Avg Team,34.1,315.4,0.5,9.3,66.1,1507.8,0.4,22.8,7301.4
