Tm,PuntRet,PrYds,PrTD,Y/PR,KickRet,KrYds,KrTD,Y/KR,APYd
Kansas City Chiefs,59.0,695.0,2.0,11.8,44.0,1316.0,2.0,29.9,7637.0
Houston Texans,42.0,360.0,1.0,8.6,51.0,1257.0,0.0,24.6,7533.0
Minnesota Vikings,22.0,335.0,1.0,15.2,66.0,1646.0,2.0,24.9,7759.0
Chicago Bears,18.0,256.0,1.0,14.2,70.0,1614.0,0.0,23.1,8180.0
Baltimore Ravens,43.0,609.0,1.0,14.2,44.0,1163.0,1.0,26.4,7001.0
Washington Redskins,35.0,225.0,0.0,6.4,51.0,1018.0,0.0,20.0,7510.0
Cincinnati Bengals,47.0,424.0,0.0,9.0,39.0,980.0,0.0,25.1,7625.0
Seattle Seahawks,52.0,579.0,0.0,11.1,33.0,698.0,0.0,21.2,6970.0
Denver Broncos,44.0,343.0,1.0,7.8,39.0,974.0,1.0,25.0,8837.0
St. Louis Rams,43.0,378.0,1.0,8.8,37.0,835.0,0.0,22.6,6483.0
Oakland Raiders,25.0,206.0,0.0,8.2,54.0,1201.0,0.0,22.2,7147.0
New York Giants,34.0,246.0,0.0,7.2,44.0,933.0,0.0,21.2,6362.0
Cleveland Browns,38.0,418.0,1.0,11.0,40.0,931.0,0.0,23.3,7092.0
Indianapolis Colts,33.0,326.0,0.0,9.9,43.0,1011.0,0.0,23.5,7080.0
Miami Dolphins,34.0,264.0,0.0,7.8,42.0,901.0,0.0,21.5,6546.0
Dallas Cowboys,31.0,386.0,1.0,12.5,45.0,1147.0,0.0,25.5,7369.0
Pittsburgh Steelers,32.0,409.0,1.0,12.8,43.0,962.0,0.0,22.4,7147.0
New England Patriots,36.0,387.0,0.0,10.8,39.0,935.0,0.0,24.0,7769.0
Tennessee Titans,31.0,240.0,0.0,7.7,44.0,1096.0,0.0,24.9,6982.0
Detroit Lions,38.0,392.0,1.0,10.3,34.0,816.0,1.0,24.0,7614.0
Jacksonville Jaguars,30.0,142.0,0.0,4.7,41.0,1060.0,0.0,25.9,6225.0
New York Jets,25.0,224.0,0.0,9.0,45.0,1021.0,0.0,22.7,6640.0
Green Bay Packers,30.0,339.0,1.0,11.3,39.0,791.0,0.0,20.3,7879.0
San Francisco 49ers,35.0,312.0,0.0,8.9,32.0,726.0,0.0,22.7,6507.0
Philadelphia Eagles,26.0,171.0,0.0,6.6,37.0,790.0,0.0,21.4,7929.0
Buffalo Bills,39.0,243.0,0.0,6.2,23.0,469.0,0.0,20.4,6470.0
Arizona Cardinals,34.0,198.0,0.0,5.8,27.0,540.0,0.0,20.0,6626.0
Carolina Panthers,30.0,316.0,0.0,10.5,28.0,612.0,0.0,21.9,6322.0
Tampa Bay Buccaneers,24.0,268.0,0.0,11.2,34.0,811.0,0.0,23.9,5868.0
Atlanta Falcons,30.0,250.0,0.0,8.3,27.0,659.0,0.0,24.4,6761.0
San Diego Chargers,22.0,166.0,0.0,7.5,32.0,707.0,0.0,22.1,7339.0
New Orleans Saints,32.0,194.0,0.0,6.1,22.0,506.0,0.0,23.0,7376.0
Avg Team,34.2,321.9,0.4,9.4,40.3,941.4,0.2,23.4,7143.3
