Tm,PuntRet,PrYds,PrTD,Y/PR,KickRet,KrYds,KrTD,Y/KR,APYd
San Diego Chargers,44.0,272.0,0.0,6.2,83.0,1792.0,1.0,21.6,6700.0
Atlanta Falcons,37.0,348.0,1.0,9.4,83.0,1890.0,3.0,22.8,6614.0
Cincinnati Bengals,42.0,357.0,1.0,8.5,77.0,1423.0,0.0,18.5,6277.0
Arizona Cardinals,32.0,223.0,0.0,7.0,86.0,2296.0,1.0,26.7,7373.0
St. Louis Rams,34.0,521.0,1.0,15.3,80.0,1771.0,1.0,22.1,9745.0
Cleveland Browns,29.0,294.0,0.0,10.1,85.0,1710.0,0.0,20.1,5855.0
New York Jets,38.0,276.0,0.0,7.3,74.0,1552.0,1.0,21.0,7323.0
Seattle Seahawks,30.0,384.0,0.0,12.8,80.0,1932.0,1.0,24.2,7318.0
New England Patriots,45.0,562.0,1.0,12.5,64.0,1335.0,0.0,20.9,6754.0
Jacksonville Jaguars,46.0,333.0,0.0,7.2,62.0,1323.0,0.0,21.3,7715.0
Kansas City Chiefs,37.0,295.0,0.0,8.0,70.0,1466.0,0.0,20.9,7643.0
Buffalo Bills,38.0,190.0,0.0,5.0,69.0,1262.0,0.0,18.3,7438.0
Chicago Bears,36.0,314.0,0.0,8.7,68.0,1512.0,0.0,22.2,6565.0
Dallas Cowboys,35.0,364.0,2.0,10.4,69.0,1456.0,0.0,21.1,6547.0
Detroit Lions,33.0,472.0,1.0,14.3,69.0,1600.0,0.0,23.2,6809.0
New Orleans Saints,40.0,339.0,0.0,8.5,62.0,1473.0,0.0,23.8,7533.0
Denver Broncos,36.0,364.0,0.0,10.1,66.0,1477.0,1.0,22.4,8686.0
Pittsburgh Steelers,42.0,499.0,1.0,11.9,58.0,1221.0,1.0,21.1,6736.0
Tennessee Titans,53.0,671.0,1.0,12.7,47.0,1227.0,0.0,26.1,7411.0
Washington Redskins,36.0,356.0,0.0,9.9,63.0,1301.0,0.0,20.7,7268.0
Green Bay Packers,35.0,300.0,0.0,8.6,64.0,1570.0,1.0,24.5,7478.0
Indianapolis Colts,38.0,352.0,0.0,9.3,58.0,1155.0,0.0,19.9,7832.0
Tampa Bay Buccaneers,39.0,337.0,1.0,8.6,55.0,1255.0,0.0,22.8,6524.0
San Francisco 49ers,26.0,220.0,0.0,8.5,68.0,1299.0,0.0,19.1,7731.0
New York Giants,40.0,332.0,0.0,8.3,53.0,1102.0,1.0,20.8,7048.0
Minnesota Vikings,26.0,261.0,0.0,10.0,67.0,1456.0,0.0,21.7,7854.0
Oakland Raiders,37.0,357.0,0.0,9.6,56.0,1336.0,1.0,23.9,7681.0
Miami Dolphins,39.0,518.0,1.0,13.3,51.0,1133.0,0.0,22.2,6306.0
Baltimore Ravens,45.0,713.0,2.0,15.8,45.0,1005.0,0.0,22.3,7023.0
Philadelphia Eagles,33.0,335.0,1.0,10.2,53.0,1237.0,1.0,23.3,6842.0
Carolina Panthers,21.0,238.0,1.0,11.3,55.0,1160.0,1.0,21.1,6441.0
Avg Team,36.8,367.6,0.5,10.0,65.8,1442.8,0.5,21.9,7195.8
