Tm,PuntRet,PrYds,PrTD,Y/PR,KickRet,KrYds,KrTD,Y/KR,APYd
Green Bay Packers,53.0,415.0,0.0,7.8,70.0,1379.0,0.0,19.7,7423.0
Seattle Seahawks,49.0,424.0,1.0,8.7,69.0,1548.0,0.0,22.4,7381.0
Tennessee Titans,37.0,467.0,3.0,12.6,79.0,1835.0,0.0,23.2,7440.0
Tampa Bay Buccaneers,54.0,353.0,0.0,6.5,61.0,1307.0,0.0,21.4,6197.0
Washington Redskins,39.0,342.0,1.0,8.8,73.0,1631.0,1.0,22.3,7361.0
New Orleans Saints,51.0,372.0,1.0,7.3,60.0,1377.0,0.0,23.0,8137.0
Carolina Panthers,49.0,225.0,0.0,4.6,62.0,1200.0,0.0,19.4,6603.0
Chicago Bears,50.0,607.0,3.0,12.1,59.0,1373.0,2.0,23.3,7402.0
Detroit Lions,35.0,396.0,0.0,11.3,74.0,1648.0,0.0,22.3,7397.0
Oakland Raiders,35.0,216.0,0.0,6.2,73.0,1811.0,0.0,24.8,6418.0
Cleveland Browns,36.0,371.0,0.0,10.3,71.0,1635.0,1.0,23.0,6620.0
San Francisco 49ers,28.0,237.0,0.0,8.5,79.0,1907.0,0.0,24.1,7252.0
Atlanta Falcons,37.0,288.0,0.0,7.8,68.0,1542.0,0.0,22.7,7524.0
Minnesota Vikings,38.0,374.0,1.0,9.8,66.0,1492.0,0.0,22.6,7120.0
Dallas Cowboys,40.0,335.0,1.0,8.4,64.0,1493.0,0.0,23.3,7909.0
New York Giants,33.0,288.0,0.0,8.7,70.0,1407.0,0.0,20.1,7154.0
Buffalo Bills,39.0,422.0,1.0,10.8,63.0,1503.0,0.0,23.9,6586.0
San Diego Chargers,45.0,382.0,0.0,8.5,55.0,1350.0,0.0,24.5,7785.0
Arizona Cardinals,25.0,250.0,0.0,10.0,73.0,1610.0,1.0,22.1,7225.0
Kansas City Chiefs,33.0,264.0,1.0,8.0,64.0,1404.0,0.0,21.9,7087.0
Cincinnati Bengals,36.0,239.0,0.0,6.6,59.0,1209.0,0.0,20.5,7141.0
St. Louis Rams,30.0,234.0,0.0,7.8,65.0,1383.0,0.0,21.3,7827.0
Philadelphia Eagles,36.0,339.0,0.0,9.4,58.0,1204.0,0.0,20.8,7915.0
New England Patriots,36.0,422.0,0.0,11.7,58.0,1553.0,1.0,26.8,7537.0
Houston Texans,23.0,242.0,0.0,10.5,71.0,1609.0,0.0,22.7,6693.0
Jacksonville Jaguars,45.0,361.0,0.0,8.0,49.0,1136.0,1.0,23.2,7083.0
Miami Dolphins,41.0,378.0,0.0,9.2,52.0,1102.0,0.0,21.2,6864.0
Baltimore Ravens,45.0,351.0,0.0,7.8,45.0,1046.0,0.0,23.2,6682.0
Pittsburgh Steelers,34.0,285.0,1.0,8.4,55.0,1214.0,0.0,22.1,7515.0
New York Jets,29.0,243.0,0.0,8.4,60.0,1445.0,2.0,24.1,6815.0
Denver Broncos,32.0,294.0,0.0,9.2,54.0,1187.0,0.0,22.0,6673.0
Indianapolis Colts,23.0,207.0,1.0,9.0,58.0,1368.0,0.0,23.6,7758.0
Avg Team,38.0,332.0,0.5,8.7,63.7,1434.6,0.3,22.5,7203.9
