Rk,Tm,G,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FG%,XPA,XPM,XP%,Pnt,Yds,Lng,Blck,Y/P
1,Denver Broncos,16,2,2,9,7,11,6,11,8,5,,38,23,60.5%,44,41,93.2%,94,3846,61,2,40.9
2,New England Patriots,16,1,1,9,7,9,9,9,5,2,2,30,24,80.0%,41,40,97.6%,92,3953,75,0,43.0
3,Los Angeles Raiders,16,,,9,9,10,7,12,3,1,1,32,20,62.5%,42,40,95.2%,89,3627,68,0,40.8
4,Pittsburgh Steelers,16,1,1,13,12,15,14,9,5,4,1,42,33,78.6%,40,40,100.0%,79,3128,59,1,39.6
5,New York Giants,16,1,1,9,6,9,7,12,7,2,1,33,22,66.7%,47,45,95.7%,81,3472,68,0,42.9
6,San Francisco 49ers,16,,,7,5,8,5,5,3,1,,21,13,61.9%,53,52,98.1%,87,3462,57,1,39.8
7,Seattle Seahawks,16,,,5,5,9,7,8,1,3,1,25,14,56.0%,41,41,100.0%,91,3667,61,0,40.3
8,Chicago Bears,16,2,2,13,13,14,13,6,3,2,,37,31,83.8%,51,51,100.0%,69,2912,69,1,42.2
9,Kansas City Chiefs,16,,,4,4,11,10,7,7,5,3,27,24,88.9%,35,35,100.0%,95,3909,62,2,41.1
10,Los Angeles Rams,16,,,5,5,12,9,8,6,4,2,29,22,75.9%,39,38,97.4%,88,3804,67,1,43.2
11,Dallas Cowboys,16,1,1,5,5,11,8,9,4,2,1,28,19,67.9%,43,42,97.7%,83,3481,57,1,41.9
12,New York Jets,16,2,2,11,11,8,6,8,4,5,3,34,26,76.5%,45,43,95.6%,74,2978,66,0,40.2
13,San Diego Chargers,16,1,1,8,8,10,6,7,3,2,,28,18,64.3%,57,53,93.0%,68,2881,67,0,42.4
14,New Orleans Saints,16,,,5,4,14,13,12,11,4,3,35,31,88.6%,29,27,93.1%,89,3763,58,0,42.3
15,Philadelphia Eagles,16,,,6,6,11,11,8,6,5,2,30,25,83.3%,29,29,100.0%,91,3777,75,0,41.5
16,Atlanta Falcons,16,,,9,7,10,8,11,8,1,1,31,24,77.4%,29,30,103.4%,89,3757,68,0,42.2
17,St. Louis Cardinals,16,1,1,5,3,8,5,10,4,4,,28,13,46.4%,34,33,97.1%,87,3628,67,2,41.7
18,Green Bay Packers,16,,,12,10,4,4,9,5,1,,26,19,73.1%,40,38,95.0%,82,3262,66,0,39.8
19,Cincinnati Bengals,16,,,8,7,13,12,6,4,6,1,33,24,72.7%,50,49,98.0%,63,2604,64,1,41.3
20,Indianapolis Colts,16,,,11,9,6,5,6,2,3,,26,16,61.5%,39,36,92.3%,80,3676,68,2,46.0
21,Tampa Bay Buccaneers,16,1,1,5,5,10,8,10,5,6,3,32,22,68.8%,32,30,93.8%,79,3317,61,2,42.0
22,Houston Oilers,16,,,7,6,11,8,6,4,3,3,27,21,77.8%,31,29,93.5%,84,3490,65,0,41.5
23,Washington Redskins,16,,,8,7,13,8,13,7,1,,35,22,62.9%,33,31,93.9%,73,2973,57,0,40.7
24,Miami Dolphins,16,,,9,8,6,5,9,9,3,,27,22,81.5%,52,50,96.2%,59,2576,63,0,43.7
25,Detroit Lions,16,2,2,8,5,11,11,7,6,3,2,31,26,83.9%,33,31,93.9%,73,3054,60,0,41.8
26,Minnesota Vikings,16,2,1,11,10,7,3,5,1,1,,26,15,57.7%,43,41,95.3%,67,2867,62,0,42.8
27,Cleveland Browns,16,1,1,2,2,9,8,5,3,1,,18,14,77.8%,35,35,100.0%,81,3261,64,0,40.3
28,Buffalo Bills,16,,,8,7,4,2,5,4,,,17,13,76.5%,23,23,100.0%,92,3818,67,0,41.5
,Avg Team,,0.6,0.6,7.9,6.9,9.8,7.8,8.3,4.9,2.9,1.1,29.5,21.3,72.2%,39.6,38.3,96.7%,81.4,3390.8,64,0.6,41.7
,League Total,,18,17,221,193,274,218,233,138,80,30,826,596,72.2%,1110,1073,96.7%,2279,94943,75,16,41.7
,Avg Tm/G,,,,0.5,0.4,0.6,0.5,0.5,0.3,0.2,0.1,1.8,1.3,72.2%,2.5,2.4,96.7%,5.1,211.9,,0.0,41.7
