Rk,Tm,G,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FG%,XPA,XPM,XP%,Pnt,Yds,Lng,Blck,Y/P
1,Oakland Raiders,16,,,8,8,14,13,12,8,7,4,41,33,80.5%,43,43,100.0%,78,3650,68,0,46.8
2,St. Louis Rams,16,,,12,11,14,12,9,7,4,3,39,33,84.6%,27,26,96.3%,94,4277,63,0,45.5
3,New York Jets,16,1,1,11,10,16,14,6,3,5,2,39,30,76.9%,37,37,100.0%,84,3578,61,0,42.6
4,Philadelphia Eagles,16,,,12,12,12,10,11,9,3,1,38,32,84.2%,47,47,100.0%,73,3197,63,0,43.8
5,Kansas City Chiefs,16,,,6,6,9,7,8,6,3,1,26,20,76.9%,42,42,100.0%,90,3942,72,1,43.8
6,Washington Redskins,16,1,1,10,8,7,4,14,11,3,,35,24,68.6%,28,28,100.0%,94,3779,56,2,40.2
7,Detroit Lions,16,,,4,4,7,7,13,9,6,5,30,25,83.3%,36,35,97.2%,90,4014,66,0,44.6
8,San Francisco 49ers,16,,,10,10,8,6,6,4,3,2,27,22,81.5%,33,33,100.0%,91,4204,64,0,46.2
9,Atlanta Falcons,16,,,11,11,9,8,10,8,1,1,31,28,90.3%,44,44,100.0%,75,3015,61,1,40.2
10,Denver Broncos,16,,,4,4,10,10,8,6,3,2,25,22,88.0%,39,38,97.4%,86,3836,63,0,44.6
11,Arizona Cardinals,16,,,8,8,6,6,10,8,3,2,27,24,88.9%,29,29,100.0%,94,4080,65,0,43.4
12,Baltimore Ravens,16,,,11,11,9,8,8,7,1,,29,26,89.7%,39,39,100.0%,81,3532,60,0,43.6
13,Pittsburgh Steelers,16,3,3,11,10,6,6,13,8,4,2,37,29,78.4%,38,38,100.0%,74,3278,62,0,44.3
14,Chicago Bears,16,1,1,9,9,9,8,7,4,4,3,30,25,83.3%,35,35,100.0%,83,3328,56,0,40.1
15,Indianapolis Colts,16,,,8,8,10,9,10,9,,,28,26,92.9%,51,51,100.0%,69,2912,66,0,42.2
16,New England Patriots,16,1,1,7,7,12,11,4,3,1,,25,22,88.0%,64,62,96.9%,58,2506,65,0,43.2
17,Green Bay Packers,16,1,1,8,7,5,4,10,8,4,2,28,22,78.6%,46,46,100.0%,71,3110,62,0,43.8
18,New York Giants,16,,,12,12,4,2,4,3,3,2,23,19,82.6%,47,47,100.0%,73,3219,69,1,44.1
19,Dallas Cowboys,16,,,8,8,7,4,11,8,6,4,32,24,75.0%,44,42,95.5%,66,3115,65,1,47.2
20,Carolina Panthers,16,,,9,9,2,2,14,11,4,3,29,25,86.2%,17,17,100.0%,95,4094,60,0,43.1
21,Tennessee Titans,16,,,6,6,9,8,8,8,3,2,26,24,92.3%,38,38,100.0%,77,3303,68,0,42.9
22,Miami Dolphins,16,1,1,9,9,5,5,18,11,8,4,41,30,73.2%,25,25,100.0%,75,3368,69,2,44.9
23,Tampa Bay Buccaneers,16,,,6,6,10,10,10,6,2,1,28,23,82.1%,36,36,100.0%,76,3055,64,0,40.2
24,Seattle Seahawks,16,2,2,12,10,7,7,7,5,2,1,30,25,83.3%,31,31,100.0%,78,3253,63,0,41.7
25,San Diego Chargers,16,,,7,7,11,10,10,9,5,1,33,27,81.8%,48,48,100.0%,56,2430,67,4,43.4
26,Houston Texans,16,,,8,8,11,11,7,5,4,3,30,27,90.0%,43,43,100.0%,63,2652,60,0,42.1
27,Cincinnati Bengals,16,1,1,12,10,9,9,5,2,4,2,31,24,77.4%,32,30,93.8%,72,2995,72,1,41.6
28,Cleveland Browns,16,3,3,7,7,10,10,5,3,3,,28,23,82.1%,28,28,100.0%,78,3424,59,0,43.9
29,Minnesota Vikings,16,,,7,7,9,8,2,2,,,18,17,94.4%,31,30,96.8%,83,3569,59,0,43.0
30,New Orleans Saints,16,1,1,8,5,13,11,7,6,2,2,31,25,80.6%,43,43,100.0%,57,2616,64,0,45.9
31,Buffalo Bills,16,1,1,6,6,6,5,3,2,5,2,21,16,76.2%,32,31,96.9%,75,3180,61,0,42.4
32,Jacksonville Jaguars,16,2,2,3,3,7,6,14,9,2,2,28,22,78.6%,41,41,100.0%,57,2497,63,0,43.8
,Avg Team,,0.6,0.6,8.4,8.0,8.8,7.8,8.9,6.5,3.4,1.8,30.1,24.8,82.4%,37.9,37.6,99.1%,77.1,3344.0,64,0.4,43.4
,League Total,,19,19,270,257,283,251,284,208,108,59,964,794,82.4%,1214,1203,99.1%,2466,107008,72,13,43.4
,Avg Tm/G,,,,0.5,0.5,0.6,0.5,0.6,0.4,0.2,0.1,1.9,1.6,82.4%,2.4,2.3,99.1%,4.8,209.0,,0.0,43.4
