Rk,Tm,G,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FG%,XPA,XPM,XP%,Pnt,Yds,Lng,Blck,Y/P
1,Kansas City Chiefs,16,1,1,7,7,6,5,13,7,1,1,28,21,75.0%,45,45,100.0%,104,4336,64,2,41.7
2,Baltimore Ravens,16,4,4,9,9,8,6,7,7,5,2,33,28,84.8%,32,32,100.0%,104,4397,63,1,42.3
3,Philadelphia Eagles,16,,,9,8,8,5,9,7,5,1,31,21,67.7%,27,27,100.0%,108,4566,60,1,42.3
4,Oakland Raiders,16,2,2,5,5,13,9,13,8,5,1,38,25,65.8%,43,43,100.0%,77,3085,56,1,40.1
5,Tennessee Titans,16,1,1,8,8,9,7,6,4,1,1,25,21,84.0%,43,43,100.0%,90,3824,78,0,42.5
6,Seattle Seahawks,16,1,1,10,10,11,8,16,14,2,1,40,34,85.0%,32,32,100.0%,84,3425,59,0,40.8
7,Miami Dolphins,16,1,1,9,9,17,17,14,9,5,3,46,39,84.8%,27,27,100.0%,81,3322,63,0,41.0
8,Washington Redskins,16,,,9,7,7,6,7,6,9,3,32,22,68.8%,50,49,98.0%,71,2926,57,0,41.2
9,New England Patriots,16,1,1,14,14,7,5,9,5,2,1,33,26,78.8%,30,29,96.7%,90,3735,58,0,41.5
10,Jacksonville Jaguars,16,,,13,12,9,8,15,10,1,1,38,31,81.6%,37,37,100.0%,78,3260,83,0,41.8
11,Dallas Cowboys,16,,,9,7,10,8,11,4,1,,31,19,61.3%,41,41,100.0%,81,3500,64,0,43.2
12,St. Louis Rams,16,1,1,5,5,7,6,11,7,4,1,28,20,71.4%,64,64,100.0%,60,2464,70,0,41.1
13,Denver Broncos,16,1,1,8,8,8,7,11,8,8,5,36,29,80.6%,29,29,100.0%,84,3908,65,0,46.5
14,San Diego Chargers,16,2,2,13,13,8,6,12,9,1,1,36,31,86.1%,23,22,95.7%,89,3910,60,0,43.9
15,Green Bay Packers,16,,,9,8,9,8,10,8,2,1,30,25,83.3%,38,38,100.0%,80,3130,64,0,39.1
16,Chicago Bears,16,,,9,9,10,4,12,5,3,1,34,19,55.9%,28,27,96.4%,85,3478,65,0,40.9
17,New York Giants,16,,,11,11,7,5,12,9,,,30,25,83.3%,28,28,100.0%,89,3651,63,0,41.0
18,Detroit Lions,16,,,8,8,4,4,12,10,8,4,32,26,81.3%,29,28,96.6%,86,3637,62,0,42.3
19,Arizona Cardinals,16,,,5,5,12,10,7,4,3,,27,19,70.4%,26,26,100.0%,94,3948,60,0,42.0
20,Tampa Bay Buccaneers,16,,,8,8,12,10,8,6,4,3,32,27,84.4%,25,25,100.0%,90,3882,66,0,43.1
21,Pittsburgh Steelers,16,2,2,5,5,10,9,11,8,1,1,29,25,86.2%,31,30,96.8%,84,3795,75,0,45.2
22,New York Jets,16,,,4,3,17,17,12,7,,,33,27,81.8%,29,27,93.1%,82,3693,69,0,45.0
23,Cleveland Browns,16,,,2,2,5,3,5,3,,,12,8,66.7%,24,23,95.8%,106,4645,61,0,43.8
24,Indianapolis Colts,16,2,2,10,10,13,11,11,10,2,1,38,34,89.5%,43,43,100.0%,60,2552,61,2,42.5
25,Carolina Panthers,16,1,1,10,10,6,6,7,6,4,2,28,25,89.3%,47,46,97.9%,65,2562,56,0,39.4
26,Buffalo Bills,16,2,2,10,10,10,7,9,3,3,3,34,25,73.5%,33,33,100.0%,73,2840,60,0,38.9
27,Cincinnati Bengals,16,1,1,11,9,12,7,2,,1,1,27,18,66.7%,27,27,100.0%,84,3298,72,2,39.3
28,Minnesota Vikings,16,,,8,6,11,9,9,4,2,,30,19,63.3%,46,46,100.0%,61,2769,75,0,45.4
29,Atlanta Falcons,16,1,1,5,5,8,5,6,4,1,,21,15,71.4%,34,34,100.0%,80,3163,55,0,39.5
30,New Orleans Saints,16,,,11,9,7,6,9,7,2,2,29,24,82.8%,21,20,95.2%,83,3282,52,0,39.5
31,San Francisco 49ers,16,1,1,7,7,8,7,6,5,1,1,23,21,91.3%,31,30,96.8%,75,2962,70,2,39.5
,Avg Team,,0.8,0.8,8.4,8.0,9.3,7.5,9.7,6.6,2.8,1.4,31.1,24.2,77.7%,34.3,33.9,98.9%,83.2,3482.1,64,0.4,41.9
,League Total,,25,25,261,247,289,231,302,204,87,42,964,749,77.7%,1063,1051,98.9%,2578,107945,83,11,41.9
,Avg Tm/G,,0.1,0.1,0.5,0.5,0.6,0.5,0.6,0.4,0.2,0.1,1.9,1.5,77.7%,2.1,2.1,98.9%,5.2,217.6,,0.0,41.9
