Rk,Tm,G,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FG%,XPA,XPM,XP%,Pnt,Yds,Lng,Blck,Y/P
1,Kansas City Chiefs,16,2,2,5,5,22,21,7,6,1,,37,34,91.9%,38,37,97.4%,81,3132,58,0,38.7
2,Chicago Bears,16,1,1,8,8,8,5,13,8,7,4,37,26,70.3%,37,36,97.3%,78,3154,59,2,40.4
3,Philadelphia Eagles,16,2,2,7,5,12,9,7,4,1,1,29,21,72.4%,48,45,93.8%,74,3110,60,2,42.0
4,San Francisco 49ers,16,,,10,10,9,7,11,5,6,2,36,24,66.7%,39,39,100.0%,70,2574,56,1,36.8
5,Minnesota Vikings,16,,,10,10,9,9,9,6,,,28,25,89.3%,38,38,100.0%,79,3341,61,1,42.3
6,Atlanta Falcons,16,,,6,6,9,8,13,6,5,2,33,22,66.7%,40,40,100.0%,70,2913,59,0,41.6
7,New York Giants,16,2,2,8,8,4,4,12,7,2,,28,21,75.0%,39,38,97.4%,75,3306,67,0,44.1
8,Buffalo Bills,16,,,11,9,8,5,10,6,,,29,20,69.0%,52,50,96.2%,58,2281,55,0,39.3
9,Los Angeles Rams,16,4,3,4,4,7,5,9,3,,,24,15,62.5%,43,42,97.7%,69,2702,58,1,39.2
10,Washington Redskins,16,2,2,10,10,14,12,6,3,8,3,40,30,75.0%,41,41,100.0%,55,2102,53,1,38.2
11,Detroit Lions,16,,,9,9,9,5,5,3,3,,26,17,65.4%,46,46,100.0%,63,2560,59,0,40.6
12,Miami Dolphins,16,2,2,8,7,7,6,5,4,3,2,25,21,84.0%,37,37,100.0%,72,3022,62,0,42.0
13,New England Patriots,16,1,1,3,3,3,3,11,8,4,1,22,16,72.7%,19,19,100.0%,92,3835,69,2,41.7
14,Seattle Seahawks,16,2,2,7,7,14,8,6,5,3,1,32,23,71.9%,34,33,97.1%,67,2722,54,0,40.6
15,Cincinnati Bengals,16,,,6,6,6,5,9,6,1,,22,17,77.3%,44,41,93.2%,65,2739,70,0,42.1
16,Denver Broncos,16,,,14,13,6,4,13,8,1,,34,25,73.5%,36,34,94.4%,60,2656,67,1,44.3
17,Dallas Cowboys,16,,,4,4,9,7,8,7,4,,25,18,72.0%,26,26,100.0%,79,3413,62,0,43.2
18,Indianapolis Colts,16,1,1,6,5,8,7,4,2,5,2,24,17,70.8%,33,32,97.0%,72,3127,61,1,43.4
19,New Orleans Saints,16,,,5,5,6,5,12,8,4,3,27,21,77.8%,29,29,100.0%,71,3033,65,1,42.7
20,San Diego Chargers,16,3,3,9,8,8,6,7,4,1,,28,21,75.0%,36,34,94.4%,62,2482,59,1,40.0
21,Tampa Bay Buccaneers,16,,,7,7,13,10,5,4,2,2,27,23,85.2%,27,27,100.0%,72,2902,62,0,40.3
22,Cleveland Browns,16,,,5,5,8,5,7,4,,,20,14,70.0%,27,24,88.9%,78,3035,65,4,38.9
23,Phoenix Cardinals,16,1,1,4,4,10,7,6,3,6,2,27,17,63.0%,31,31,100.0%,67,2865,63,0,42.8
24,Los Angeles Raiders,16,1,1,5,5,3,2,9,6,2,1,20,15,75.0%,42,40,95.2%,62,2392,57,2,38.6
25,Green Bay Packers,16,,,9,9,13,10,4,2,4,2,30,23,76.7%,29,28,96.6%,65,2469,59,1,38.0
26,Pittsburgh Steelers,16,1,1,3,3,8,8,11,8,2,,25,20,80.0%,32,32,100.0%,66,2492,51,1,37.8
27,New York Jets,16,2,2,12,12,7,6,5,3,,,26,23,88.5%,32,32,100.0%,61,2398,58,0,39.3
28,Houston Oilers,16,,,8,7,10,7,11,7,3,,32,21,65.6%,49,46,93.9%,34,1530,60,0,45.0
,Avg Team,,1.0,0.9,7.3,6.9,8.9,7.0,8.4,5.2,2.8,1.0,28.3,21.1,74.4%,36.6,35.6,97.4%,68.5,2796.0,60,0.8,40.8
,League Total,,27,26,203,194,250,196,235,146,78,28,793,590,74.4%,1024,997,97.4%,1917,78287,70,22,40.8
,Avg Tm/G,,0.1,0.1,0.5,0.4,0.6,0.4,0.5,0.3,0.2,0.1,1.8,1.3,74.4%,2.3,2.2,97.4%,4.3,174.7,,0.0,40.8
