Rk,Tm,G,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FG%,XPA,XPM,XP%,Pnt,Yds,Lng,Blck,Y/P
1,Washington Redskins,16,1,1,10,10,19,14,12,7,3,1,47,33,70.2%,63,62,98.4%,72,2796,56,0,38.8
2,Dallas Cowboys,16,,,5,5,8,8,12,9,2,,27,22,81.5%,59,57,96.6%,83,3312,54,1,39.9
3,Kansas City Chiefs,16,1,1,5,5,6,6,14,10,4,2,30,24,80.0%,45,44,97.8%,93,3710,64,0,39.9
4,St. Louis Cardinals,16,1,,6,4,8,3,10,6,3,2,28,15,53.6%,47,45,95.7%,85,3529,59,0,41.5
5,Los Angeles Raiders,16,,,11,9,9,8,6,4,1,,27,21,77.8%,53,51,96.2%,78,3336,67,0,42.8
6,Minnesota Vikings,16,,,10,9,14,12,9,4,,,33,25,75.8%,34,33,97.1%,91,3780,65,0,41.5
7,Chicago Bears,16,1,1,9,9,4,,6,3,5,1,25,14,56.0%,38,35,92.1%,94,3473,54,2,36.9
8,Seattle Seahawks,16,1,1,4,4,7,4,10,8,3,1,25,18,72.0%,50,49,98.0%,79,3118,56,0,39.5
9,Buffalo Bills,16,,,5,3,8,5,9,3,4,,26,11,42.3%,36,34,94.4%,89,3533,60,0,39.7
10,New York Giants,16,1,1,13,13,12,11,11,8,5,2,42,35,83.3%,23,22,95.7%,85,3426,66,1,40.3
11,Miami Dolphins,16,2,2,6,6,8,5,6,3,5,2,27,18,66.7%,48,45,93.8%,75,3232,64,1,43.1
12,Pittsburgh Steelers,16,2,2,9,8,10,9,10,8,,,31,27,87.1%,39,38,97.4%,80,3352,58,0,41.9
13,Baltimore Colts,16,,,6,5,12,11,12,10,5,4,35,30,85.7%,24,22,91.7%,91,4124,68,0,45.3
14,Los Angeles Rams,16,,,8,4,5,4,8,3,1,,20,11,55.0%,46,42,91.3%,83,3341,67,1,40.3
15,Tampa Bay Buccaneers,16,,,9,7,4,,8,3,3,,24,10,41.7%,29,25,86.2%,96,4050,64,1,42.2
16,Green Bay Packers,16,2,2,6,6,9,7,9,6,,,26,21,80.8%,52,52,100.0%,70,2911,70,1,41.6
17,San Francisco 49ers,16,,,11,11,10,10,5,3,4,1,30,25,83.3%,51,51,100.0%,66,2591,61,1,39.3
18,Denver Broncos,16,,,8,7,9,7,7,6,1,1,25,21,84.0%,34,33,97.1%,87,3620,60,0,41.6
19,New York Jets,16,4,4,4,3,7,5,8,4,1,,24,16,66.7%,37,37,100.0%,82,3258,56,1,39.7
20,Detroit Lions,16,,,6,6,15,13,7,3,4,3,32,25,78.1%,38,38,100.0%,72,2952,60,1,41.0
21,New Orleans Saints,16,2,2,8,8,4,3,6,2,4,3,24,18,75.0%,38,37,97.4%,78,3178,60,0,40.7
22,Philadelphia Eagles,16,1,1,5,5,9,6,8,2,3,1,26,15,57.7%,27,24,88.9%,86,3521,55,0,40.9
23,New England Patriots,16,,,5,4,9,4,8,1,,,22,9,40.9%,36,31,86.1%,81,3615,70,0,44.6
24,Atlanta Falcons,16,,,5,4,5,4,11,9,1,,22,17,77.3%,45,43,95.6%,71,2863,57,1,40.3
25,Houston Oilers,16,1,1,4,4,8,7,6,4,2,1,21,17,81.0%,34,33,97.1%,80,3176,53,1,39.7
26,Cleveland Browns,16,1,1,9,9,6,5,7,6,2,1,25,22,88.0%,40,38,95.0%,70,2854,60,0,40.8
27,Cincinnati Bengals,16,2,2,7,7,7,5,5,2,2,,23,16,69.6%,42,40,95.2%,69,2888,60,2,41.9
28,San Diego Chargers,16,,,7,7,7,5,7,2,3,1,24,15,62.5%,45,43,95.6%,63,2763,60,0,43.9
,Avg Team,,0.8,0.8,7.2,6.5,8.5,6.5,8.5,5.0,2.5,1.0,27.5,19.7,71.5%,41.2,39.4,95.8%,80.3,3296.5,61,0.5,41.0
,League Total,,23,22,201,182,239,181,237,139,71,27,771,551,71.5%,1153,1104,95.8%,2249,92302,70,15,41.0
,Avg Tm/G,,0.1,,0.4,0.4,0.5,0.4,0.5,0.3,0.2,0.1,1.7,1.2,71.5%,2.6,2.5,95.8%,5.0,206.0,,0.0,41.0
