Rk,Tm,G,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FG%,XPA,XPM,XP%,Pnt,Yds,Lng,Blck,Y/P
1,Philadelphia Eagles,16,2,2,10,9,11,8,6,3,3,1,32,23,71.9%,43,42,97.7%,104,4248,70,3,40.8
2,Minnesota Vikings,16,3,2,7,7,10,10,5,1,,,25,20,80.0%,49,48,98.0%,86,3468,55,2,40.3
3,San Francisco 49ers,16,1,1,10,9,11,9,11,7,5,1,38,27,71.1%,41,40,97.6%,80,3132,53,1,39.2
4,Los Angeles Raiders,16,1,1,7,7,6,3,11,6,4,1,29,18,62.1%,39,37,94.9%,91,3804,58,0,41.8
5,Los Angeles Rams,16,1,1,12,9,10,8,8,6,1,,32,24,75.0%,48,45,93.8%,76,3003,57,0,39.5
6,New York Jets,16,,,9,9,8,7,10,7,1,,28,23,82.1%,43,43,100.0%,85,3310,64,0,38.9
7,Atlanta Falcons,16,1,1,4,3,9,6,12,8,4,1,30,19,63.3%,27,25,92.6%,98,3920,61,0,40.0
8,New York Giants,16,,,7,7,12,9,8,7,3,1,30,24,80.0%,41,39,95.1%,81,3316,66,2,40.9
9,Houston Oilers,16,1,1,5,3,8,7,16,9,4,2,34,22,64.7%,50,48,96.0%,65,2523,61,0,38.8
10,New England Patriots,16,,,7,5,8,5,7,2,2,1,24,13,54.2%,31,25,80.6%,91,3482,74,0,38.3
11,Phoenix Cardinals,16,1,1,6,4,3,3,9,3,2,1,21,12,57.1%,44,42,95.5%,80,3269,66,1,40.9
12,Pittsburgh Steelers,16,1,1,11,11,10,9,12,6,2,1,36,28,77.8%,35,34,97.1%,71,3222,62,6,45.4
13,New Orleans Saints,16,1,1,12,11,11,8,8,5,4,1,36,26,72.2%,33,32,97.0%,73,2953,64,1,40.5
14,Detroit Lions,16,1,1,8,8,9,9,2,2,1,,21,20,95.2%,23,22,95.7%,97,4110,69,0,42.4
15,Denver Broncos,16,1,1,10,9,13,6,8,5,4,2,36,23,63.9%,37,36,97.3%,68,2978,70,0,43.8
16,Cincinnati Bengals,16,1,1,5,5,4,3,5,2,3,1,18,12,66.7%,59,56,94.9%,64,2427,53,2,37.9
17,Green Bay Packers,16,,,6,5,7,5,10,2,2,1,25,13,52.0%,29,23,79.3%,86,3326,62,1,38.7
18,Seattle Seahawks,16,1,1,4,4,9,7,14,10,,,28,22,78.6%,39,39,100.0%,70,2858,68,0,40.8
19,Dallas Cowboys,16,,,5,4,7,4,10,4,3,1,25,13,52.0%,32,32,100.0%,80,3271,55,0,40.9
20,Chicago Bears,16,1,1,4,4,8,7,6,3,,,19,15,78.9%,38,37,97.4%,79,3282,70,0,41.5
21,Indianapolis Colts,16,,,8,8,6,5,10,6,8,6,32,25,78.1%,40,39,97.5%,64,2784,65,0,43.5
22,Washington Redskins,16,1,1,8,6,7,5,10,7,,,26,19,73.1%,41,40,97.6%,67,2601,55,1,38.8
23,San Diego Chargers,16,,,6,6,5,3,9,5,,,20,14,70.0%,27,27,100.0%,86,3789,62,1,44.1
24,Buffalo Bills,16,1,1,10,10,16,15,9,6,1,,37,32,86.5%,33,33,100.0%,62,2451,60,0,39.5
25,Kansas City Chiefs,16,,,8,7,11,9,10,8,3,3,32,27,84.4%,23,23,100.0%,76,3059,59,0,40.3
26,Cleveland Browns,16,1,1,12,10,10,8,6,5,,,29,24,82.8%,33,32,97.0%,67,2657,61,2,39.7
27,Tampa Bay Buccaneers,16,1,1,9,8,9,7,7,3,4,2,30,21,70.0%,28,28,100.0%,68,2477,62,0,36.4
28,Miami Dolphins,16,,,6,5,8,5,3,1,6,1,23,12,52.2%,39,37,94.9%,64,2754,64,0,43.0
,Avg Team,,0.8,0.8,7.7,6.9,8.8,6.8,8.6,5.0,2.5,1.0,28.4,20.4,71.7%,37.3,35.9,96.1%,77.8,3159.8,62,0.8,40.6
,League Total,,22,21,216,193,246,190,242,139,70,28,796,571,71.7%,1045,1004,96.1%,2179,88474,74,23,40.6
,Avg Tm/G,,,,0.5,0.4,0.5,0.4,0.5,0.3,0.2,0.1,1.8,1.3,71.7%,2.3,2.2,96.1%,4.9,197.5,,0.1,40.6
