Rk,Tm,G,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FG%,XPA,XPM,XP%,Pnt,Yds,Lng,Blck,Y/P
1,New York Giants,16,1,1,6,6,7,6,14,8,4,1,32,22,68.8%,29,27,93.1%,112,4572,57,1,40.8
2,St. Louis Rams,16,,,9,8,12,8,14,7,2,2,37,25,67.6%,32,32,100.0%,95,4027,61,1,42.4
3,Detroit Lions,16,,,10,10,9,8,5,5,5,3,29,26,89.7%,40,39,97.5%,86,3661,60,2,42.6
4,San Francisco 49ers,16,,,11,11,12,9,10,8,3,1,36,29,80.6%,38,38,100.0%,79,3223,55,1,40.8
5,Green Bay Packers,16,4,4,8,7,13,10,4,2,1,1,30,24,80.0%,48,48,100.0%,75,3378,65,0,45.0
6,Philadelphia Eagles,16,,,7,7,12,11,11,4,1,,31,22,71.0%,33,33,100.0%,88,3702,61,1,42.1
7,New York Jets,16,1,1,11,10,17,11,6,2,6,4,41,28,68.3%,36,36,100.0%,75,3255,58,1,43.4
8,Atlanta Falcons,16,1,1,10,10,7,7,6,3,3,2,27,23,85.2%,35,35,100.0%,89,3498,57,0,39.3
9,Arizona Cardinals,16,1,1,7,7,8,6,11,5,2,,29,19,65.5%,29,28,96.6%,92,4072,62,1,44.3
10,Oakland Raiders,16,,,5,3,6,4,10,5,1,1,22,13,59.1%,35,33,94.3%,93,4189,63,0,45.0
11,Denver Broncos,16,,,12,11,13,11,9,3,5,3,39,28,71.8%,50,50,100.0%,60,2598,57,0,43.3
12,Baltimore Ravens,16,,,9,8,12,12,11,6,2,,34,26,76.5%,32,32,100.0%,83,3540,60,0,42.7
13,San Diego Chargers,16,,,8,7,12,12,11,7,,,31,26,83.9%,27,26,96.3%,90,4017,66,1,44.6
14,New England Patriots,16,,,11,11,9,7,8,6,1,1,29,25,86.2%,40,40,100.0%,79,3615,73,1,45.8
15,Washington Redskins,16,2,2,4,4,6,5,8,4,4,1,24,16,66.7%,39,39,100.0%,85,3833,62,1,45.1
16,Dallas Cowboys,16,1,1,16,16,9,9,10,7,2,1,38,34,89.5%,24,24,100.0%,86,3592,72,0,41.8
17,Kansas City Chiefs,16,,,9,9,3,3,13,12,2,2,27,26,96.3%,36,35,97.2%,83,3489,65,0,42.0
18,Jacksonville Jaguars,16,2,2,14,12,9,8,9,7,2,2,36,31,86.1%,41,41,100.0%,66,2964,64,0,44.9
19,Seattle Seahawks,16,,,9,9,10,7,7,5,2,1,28,22,78.6%,37,37,100.0%,78,3227,65,2,41.4
20,Minnesota Vikings,16,,,12,11,5,3,9,5,1,,27,19,70.4%,34,33,97.1%,81,3407,65,0,42.1
21,Buffalo Bills,16,,,6,6,12,9,10,8,2,1,30,24,80.0%,21,21,100.0%,91,3806,59,1,41.8
22,Chicago Bears,16,,,9,8,10,8,6,4,1,1,26,21,80.8%,20,20,100.0%,96,4077,67,0,42.5
23,Tennessee Oilers,16,2,2,6,6,11,10,14,7,2,2,35,27,77.1%,32,32,100.0%,74,3081,59,0,41.6
24,Cincinnati Bengals,16,,,4,4,3,3,7,5,2,,16,12,75.0%,43,41,95.3%,81,3471,66,0,42.9
25,New Orleans Saints,16,1,1,2,2,10,10,9,6,5,4,27,23,85.2%,22,22,100.0%,88,4038,66,0,45.9
26,Miami Dolphins,16,2,2,15,14,10,8,6,3,3,1,36,28,77.8%,33,33,100.0%,68,2962,58,0,43.6
27,Carolina Panthers,16,1,1,7,6,8,8,4,4,6,3,26,22,84.6%,25,25,100.0%,85,3604,62,0,42.4
28,Tampa Bay Buccaneers,16,,,5,5,3,2,6,5,3,1,17,13,76.5%,35,32,91.4%,84,3621,74,1,43.1
29,Pittsburgh Steelers,16,1,1,6,6,8,8,8,6,2,1,25,22,88.0%,40,40,100.0%,64,2729,72,0,42.6
30,Indianapolis Colts,16,,,9,9,14,12,15,10,3,1,41,32,78.0%,21,21,100.0%,67,3034,72,0,45.3
,Avg Team,,0.7,0.7,8.6,8.1,9.3,7.8,9.0,5.6,2.6,1.4,30.2,23.6,78.1%,33.6,33.1,98.6%,82.4,3542.7,63,0.5,43.0
,League Total,,20,20,257,243,280,235,271,169,78,41,906,708,78.1%,1007,993,98.6%,2473,106282,74,15,43.0
,Avg Tm/G,,,,0.5,0.5,0.6,0.5,0.6,0.4,0.2,0.1,1.9,1.5,78.1%,2.1,2.1,98.6%,5.2,221.4,,0.0,43.0
