Rk,Tm,G,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FG%,XPA,XPM,XP%,Pnt,Yds,Lng,Blck,Y/P
1,New York Giants,16,2,2,5,5,8,6,11,7,1,1,27,21,77.8%,32,32,100.0%,101,4566,63,0,45.2
2,Miami Dolphins,16,,,13,12,5,5,7,5,2,,27,22,81.5%,34,33,97.1%,97,4106,57,1,42.3
3,Washington Redskins,16,,,2,2,10,7,9,3,2,1,23,13,56.5%,37,36,97.3%,97,4260,69,1,43.9
4,Oakland Raiders,16,,,6,5,8,5,11,6,2,1,27,17,63.0%,31,31,100.0%,98,4256,64,0,43.4
5,Jacksonville Jaguars,16,1,1,10,8,9,8,5,4,1,,26,21,80.8%,45,45,100.0%,85,3824,65,0,45.0
6,Atlanta Falcons,16,1,,9,8,7,7,9,6,2,2,28,23,82.1%,52,51,98.1%,74,2963,55,0,40.0
7,Dallas Cowboys,16,1,1,9,9,11,8,11,10,3,1,35,29,82.9%,40,40,100.0%,78,3385,65,1,43.4
8,Denver Broncos,16,,,3,3,14,13,6,4,4,3,27,23,85.2%,59,58,98.3%,67,3144,76,1,46.9
9,Arizona Cardinals,16,,,9,9,7,6,11,6,6,2,33,23,69.7%,36,36,100.0%,82,3420,67,1,41.7
10,Buffalo Bills,16,1,1,12,10,14,12,11,9,3,1,41,33,80.5%,41,41,100.0%,69,2882,57,0,41.8
11,Minnesota Vikings,16,1,1,11,11,9,9,12,12,2,2,35,35,100.0%,59,59,100.0%,55,2458,67,0,44.7
12,San Francisco 49ers,16,,,10,9,4,3,13,6,,,27,18,66.7%,51,49,96.1%,69,2835,66,0,41.1
13,St. Louis Rams,16,,,5,4,8,8,7,5,6,3,26,20,76.9%,26,25,96.2%,95,4202,64,0,44.2
14,Seattle Seahawks,16,,,7,7,5,4,5,5,7,3,24,19,79.2%,41,41,100.0%,81,3568,59,0,44.0
15,New York Jets,16,,,9,9,13,9,10,6,3,1,35,25,71.4%,46,45,97.8%,65,2637,62,0,40.6
16,New England Patriots,16,3,3,8,8,14,9,12,9,2,2,39,31,79.5%,32,32,100.0%,74,3294,64,0,44.5
17,Detroit Lions,16,,,8,8,7,7,15,13,3,1,33,29,87.9%,29,27,93.1%,82,3506,60,0,42.8
18,San Diego Chargers,16,,,12,11,5,5,10,8,3,2,30,26,86.7%,19,19,100.0%,95,4174,65,0,43.9
19,Baltimore Ravens,16,,,6,6,5,5,17,10,,,28,21,75.0%,24,24,100.0%,92,4036,67,2,43.9
20,New Orleans Saints,16,,,7,7,3,3,6,6,6,4,22,20,90.9%,31,31,100.0%,90,4089,64,0,45.4
21,Kansas City Chiefs,16,2,2,9,9,9,9,10,5,2,2,32,27,84.4%,34,34,100.0%,77,3298,59,1,42.8
22,Philadelphia Eagles,16,3,3,3,3,5,4,9,3,1,1,21,14,66.7%,17,15,88.2%,104,4339,61,0,41.7
23,Green Bay Packers,16,1,1,6,6,15,13,10,9,1,,33,29,87.9%,43,41,95.3%,65,2788,72,0,42.9
24,Carolina Panthers,16,,,5,5,5,4,9,6,7,4,26,19,73.1%,37,35,94.6%,77,3131,59,0,40.7
25,Tampa Bay Buccaneers,16,1,,7,7,12,8,7,5,1,1,28,21,75.0%,30,29,96.7%,81,3340,55,0,41.2
26,Pittsburgh Steelers,16,,,10,10,6,5,14,11,2,,32,26,81.3%,23,23,100.0%,82,3565,73,0,43.5
27,Tennessee Oilers,16,1,1,8,8,15,15,16,12,,,40,36,90.0%,28,28,100.0%,69,3258,71,0,47.2
28,Chicago Bears,16,2,2,9,8,10,9,4,1,1,1,26,21,80.8%,28,27,96.4%,80,3411,71,0,42.6
29,Indianapolis Colts,16,1,1,8,8,4,4,9,8,9,6,31,27,87.1%,23,23,100.0%,79,3583,62,0,45.4
30,Cincinnati Bengals,16,1,1,4,4,7,6,10,6,5,2,27,19,70.4%,21,21,100.0%,81,3669,73,2,45.3
,Avg Team,,0.7,0.7,7.7,7.3,8.5,7.2,9.9,6.9,2.9,1.6,29.6,23.6,79.6%,35.0,34.4,98.3%,81.4,3532.9,64,0.3,43.4
,League Total,,22,20,230,219,254,216,296,206,87,47,889,708,79.6%,1049,1031,98.3%,2441,105987,76,10,43.4
,Avg Tm/G,,,,0.5,0.5,0.5,0.5,0.6,0.4,0.2,0.1,1.9,1.5,79.6%,2.2,2.1,98.3%,5.1,220.8,,0.0,43.4
