Rk,Tm,G,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FG%,XPA,XPM,XP%,Pnt,Yds,Lng,Blck,Y/P
1,Kansas City Chiefs,16,,,6,6,10,9,8,6,4,1,28,22,78.6%,52,52,100.0%,89,4034,65,1,45.3
2,Denver Broncos,16,2,2,4,4,5,5,8,8,7,6,26,25,96.2%,75,75,100.0%,66,2893,60,1,43.8
3,Buffalo Bills,16,,,13,13,6,6,11,10,6,4,36,33,91.7%,32,32,100.0%,96,4124,66,0,43.0
4,New England Patriots,16,1,1,8,8,13,13,13,11,6,5,41,38,92.7%,44,44,100.0%,77,3523,65,0,45.8
5,San Francisco 49ers,16,,,13,12,6,6,11,10,6,4,36,32,88.9%,44,44,100.0%,79,3804,62,0,48.2
6,Baltimore Ravens,16,,,10,10,13,12,11,10,7,6,41,38,92.7%,26,26,100.0%,91,4138,69,1,45.5
7,Philadelphia Eagles,16,,,8,8,8,7,10,7,2,1,28,23,82.1%,45,45,100.0%,83,3681,70,1,44.3
8,Seattle Seahawks,16,,,11,10,9,9,12,11,3,3,35,33,94.3%,44,44,100.0%,76,3159,69,2,41.6
9,Dallas Cowboys,16,2,2,2,2,9,8,10,10,7,6,30,28,93.3%,47,47,100.0%,77,3467,62,0,45.0
10,Oakland Raiders,16,,,6,6,6,4,11,8,7,3,30,21,70.0%,37,37,100.0%,86,4107,66,2,47.8
11,New York Jets,16,,,8,8,11,10,14,12,3,3,36,33,91.7%,27,27,100.0%,89,4018,84,1,45.1
12,Miami Dolphins,16,1,1,4,4,12,10,10,8,7,3,34,26,76.5%,33,33,100.0%,85,4150,74,0,48.8
13,Indianapolis Colts,16,,,6,6,11,10,17,15,6,4,40,35,87.5%,34,34,100.0%,77,3499,65,1,45.4
14,Arizona Cardinals,16,,,11,9,8,7,12,11,5,3,36,30,83.3%,37,37,100.0%,78,3566,60,0,45.7
15,Cincinnati Bengals,16,,,2,2,7,6,9,7,4,3,22,18,81.8%,53,52,98.1%,75,3330,75,0,44.4
16,Houston Texans,16,1,1,7,7,5,5,17,12,5,1,35,26,74.3%,26,26,100.0%,88,4189,65,0,47.6
17,Minnesota Vikings,16,,,7,7,12,12,6,5,5,2,30,26,86.7%,44,43,97.7%,75,3316,65,0,44.2
18,Tennessee Titans,16,,,10,10,9,8,7,5,3,2,29,25,86.2%,41,41,100.0%,79,3386,63,1,42.9
19,New York Giants,16,,,8,8,8,7,8,7,2,1,26,23,88.5%,31,31,100.0%,91,4271,68,0,46.9
20,Pittsburgh Steelers,16,,,9,9,15,13,8,8,,,32,30,93.8%,39,39,100.0%,76,3125,70,1,41.1
21,Tampa Bay Buccaneers,16,,,3,3,14,12,6,4,6,4,29,23,79.3%,31,31,100.0%,87,3846,62,0,44.2
22,Cleveland Browns,16,,,7,7,6,5,9,7,4,2,26,21,80.8%,33,33,100.0%,86,3713,59,1,43.2
23,Washington Redskins,16,,,6,5,10,10,7,5,3,1,26,21,80.8%,33,33,100.0%,85,3526,63,1,41.5
24,Chicago Bears,16,,,11,11,7,6,7,6,4,3,29,26,89.7%,46,45,97.8%,69,2763,65,1,40.0
25,Jacksonville Jaguars,16,,,3,3,12,12,5,4,5,4,25,23,92.0%,23,22,95.7%,95,4338,61,0,45.7
26,Green Bay Packers,16,1,1,13,13,8,8,8,6,7,5,37,33,89.2%,42,42,100.0%,64,2854,62,0,44.6
27,New Orleans Saints,16,2,2,7,6,8,5,14,10,1,1,32,24,75.0%,48,48,100.0%,61,2859,61,0,46.9
28,St. Louis Rams,16,,,7,7,10,10,9,8,2,1,28,26,92.9%,34,34,100.0%,78,3609,64,0,46.3
29,Detroit Lions,16,1,1,5,5,8,6,7,4,3,3,24,19,79.2%,43,42,97.7%,73,3399,72,1,46.6
30,Carolina Panthers,16,,,9,9,5,4,7,5,6,6,27,24,88.9%,42,42,100.0%,70,3344,72,0,47.8
31,Atlanta Falcons,16,,,9,9,8,7,5,5,5,3,27,24,88.9%,39,39,100.0%,70,3166,63,2,45.2
32,San Diego Chargers,16,1,1,9,9,16,13,9,9,2,2,37,34,91.9%,42,42,100.0%,56,2417,61,0,43.2
,Avg Team,,0.4,0.4,7.6,7.4,9.2,8.3,9.6,7.9,4.5,3.0,31.2,27.0,86.5%,39.6,39.4,99.6%,79.0,3550.4,66,0.6,45.0
,League Total,,12,12,242,236,295,265,306,254,143,96,998,863,86.5%,1267,1262,99.6%,2527,113614,84,18,45.0
,Avg Tm/G,,,,0.5,0.5,0.6,0.5,0.6,0.5,0.3,0.2,1.9,1.7,86.5%,2.5,2.5,99.6%,4.9,221.9,,0.0,45.0
