Rk,Tm,G,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FG%,XPA,XPM,XP%,Pnt,Yds,Lng,Blck,Y/P
1,New England Patriots,16,1,1,7,7,17,15,16,9,,,41,32,78.0%,45,44,97.8%,92,3872,64,3,42.1
2,Philadelphia Eagles,16,,,6,6,12,10,10,3,3,1,31,20,64.5%,27,26,96.3%,111,4588,62,1,41.3
3,Kansas City Chiefs,16,1,1,6,5,5,5,13,8,1,,26,19,73.1%,43,43,100.0%,99,4033,56,0,40.7
4,San Francisco 49ers,16,,,6,6,18,14,9,4,2,1,35,25,71.4%,42,41,97.6%,85,3533,62,2,41.6
5,Cleveland Browns,16,5,5,11,9,11,10,3,1,3,1,33,26,78.8%,44,43,97.7%,83,3423,61,0,41.2
6,Denver Broncos,16,,,4,3,8,8,14,8,2,1,28,20,71.4%,45,44,97.8%,86,3416,57,1,39.7
7,New York Giants,16,,,13,12,10,8,12,6,2,,37,26,70.3%,41,41,100.0%,79,3539,61,0,44.8
8,Los Angeles Rams,16,1,1,6,5,9,6,6,4,2,1,24,17,70.8%,35,34,97.1%,98,3779,57,1,38.6
9,Seattle Seahawks,16,,,8,6,9,8,11,3,7,5,35,22,62.9%,42,42,100.0%,79,3048,55,0,38.6
10,Los Angeles Raiders,16,3,3,6,6,9,6,8,5,2,1,28,21,75.0%,36,36,100.0%,90,3620,64,0,40.2
11,Pittsburgh Steelers,16,1,,7,6,7,6,14,9,3,,32,21,65.6%,32,32,100.0%,89,3567,64,3,40.1
12,Washington Redskins,16,1,1,9,8,5,3,10,4,7,2,32,18,56.3%,45,38,84.4%,75,3271,58,0,43.6
13,Dallas Cowboys,16,,,5,4,7,6,7,4,2,1,21,15,71.4%,43,43,100.0%,87,3539,58,1,40.7
14,Minnesota Vikings,16,,,8,7,10,9,7,4,3,2,28,22,78.6%,47,44,93.6%,73,2963,69,1,40.6
15,Chicago Bears,16,1,1,14,11,12,9,8,6,6,1,41,28,68.3%,37,36,97.3%,70,2891,59,1,41.3
16,New York Jets,16,1,1,5,5,4,4,8,5,1,1,19,16,84.2%,44,44,100.0%,85,3353,55,0,39.4
17,Houston Oilers,16,1,1,7,7,9,7,7,6,3,1,27,22,81.5%,29,28,96.6%,89,3659,66,0,41.1
18,San Diego Chargers,16,1,1,9,6,8,5,5,3,2,1,25,16,64.0%,41,39,95.1%,79,3276,62,2,41.5
19,Atlanta Falcons,16,2,2,5,4,11,7,14,10,4,,36,23,63.9%,30,29,96.7%,79,3465,71,1,43.9
20,Cincinnati Bengals,16,2,1,5,4,7,5,14,5,4,2,32,17,53.1%,51,50,98.0%,59,2066,52,2,35.0
21,New Orleans Saints,16,1,1,11,11,7,6,6,6,5,2,30,26,86.7%,30,30,100.0%,82,3499,66,1,42.7
22,St. Louis Cardinals,16,,,5,4,10,5,9,2,,,24,11,45.8%,26,23,88.5%,92,3448,52,1,37.5
23,Detroit Lions,16,2,2,2,1,8,7,8,6,5,2,25,18,72.0%,32,31,96.9%,85,3471,60,2,40.8
24,Buffalo Bills,16,1,1,6,6,7,7,8,3,5,,27,17,63.0%,34,32,94.1%,75,3031,57,0,40.4
25,Miami Dolphins,16,1,1,5,5,6,4,8,3,2,1,22,14,63.6%,55,52,94.5%,56,2476,73,0,44.2
26,Indianapolis Colts,16,,,4,4,5,2,8,5,8,2,25,13,52.0%,27,26,96.3%,81,3622,63,0,44.7
27,Green Bay Packers,16,,,8,8,6,4,9,3,4,2,27,17,63.0%,29,29,100.0%,75,3027,63,5,40.4
28,Tampa Bay Buccaneers,16,,,5,5,8,7,6,3,5,2,24,17,70.8%,27,26,96.3%,78,3132,60,0,40.2
,Avg Team,,0.9,0.9,6.9,6.1,8.8,6.9,9.2,4.9,3.3,1.2,29.1,20.0,68.6%,37.8,36.6,96.9%,82.5,3378.8,61,1.0,40.9
,League Total,,26,24,193,171,245,193,258,138,93,33,815,559,68.6%,1059,1026,96.9%,2311,94607,73,28,40.9
,Avg Tm/G,,0.1,0.1,0.4,0.4,0.5,0.4,0.6,0.3,0.2,0.1,1.8,1.2,68.6%,2.4,2.3,96.9%,5.2,211.2,,0.1,40.9
