Rk,Tm,G,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FG%,XPA,XPM,XP%,Pnt,Yds,Lng,Blck,Y/P
1,Denver Broncos,16,,,9,9,10,10,9,7,6,3,34,29,85.3%,33,32,97.0%,89,4068,68,0,45.7
2,Oakland Raiders,16,1,1,9,9,6,6,11,10,8,3,35,29,82.9%,39,37,94.9%,81,3938,72,0,48.6
3,Arizona Cardinals,16,1,1,6,5,7,6,8,6,6,3,28,21,75.0%,47,43,91.5%,80,3269,62,2,40.9
4,San Francisco 49ers,16,,,4,4,6,6,9,7,2,1,21,18,85.7%,34,33,97.1%,100,4402,65,0,44.0
5,New England Patriots,16,,,9,9,9,7,10,9,4,2,32,27,84.4%,49,46,93.9%,72,3218,58,0,44.7
6,Miami Dolphins,16,,,10,8,6,6,3,1,2,1,21,16,76.2%,42,41,97.6%,90,3991,66,0,44.3
7,New York Giants,16,1,1,6,6,6,6,8,8,1,,22,21,95.5%,35,31,88.6%,93,4298,63,0,46.2
8,Kansas City Chiefs,16,,,9,8,17,15,7,6,2,2,35,31,88.6%,39,36,92.3%,76,3427,64,0,45.1
9,Carolina Panthers,16,,,4,4,11,9,17,14,6,3,38,30,78.9%,34,31,91.2%,76,3481,76,0,45.8
10,Cincinnati Bengals,16,,,13,13,10,9,9,6,3,,35,28,80.0%,35,29,82.9%,78,3613,72,0,46.3
11,Baltimore Ravens,16,,,4,4,11,10,14,14,10,10,39,38,97.4%,27,27,100.0%,80,3665,68,0,45.8
12,Buffalo Bills,16,1,1,8,8,5,5,9,4,2,1,25,19,76.0%,45,40,88.9%,75,3183,58,0,42.4
13,Seattle Seahawks,16,,,13,11,13,13,10,8,1,1,37,33,89.2%,35,29,82.9%,72,3126,64,1,43.4
14,Los Angeles Rams,16,,,5,5,9,9,4,3,4,2,22,19,86.4%,23,23,100.0%,98,4680,78,0,47.8
15,Jacksonville Jaguars,16,,,7,7,4,3,11,10,12,7,34,27,79.4%,32,29,90.6%,77,3589,78,0,46.6
16,Tennessee Titans,16,1,1,4,4,6,6,8,8,5,3,24,22,91.7%,41,39,95.1%,77,3402,71,0,44.2
17,Atlanta Falcons,16,,,12,12,8,7,9,9,8,6,37,34,91.9%,57,56,98.2%,48,2244,68,0,46.8
18,New Orleans Saints,16,1,1,7,7,11,9,8,8,7,3,34,28,82.4%,50,49,98.0%,57,2752,66,0,48.3
19,Minnesota Vikings,16,1,1,6,6,11,10,10,8,3,2,31,27,87.1%,33,26,78.8%,74,3155,72,0,42.6
20,Houston Texans,16,1,1,12,12,11,11,11,8,6,3,41,35,85.4%,25,22,88.0%,72,3424,62,0,47.6
21,San Diego Chargers,16,,,7,7,14,13,8,6,3,,32,26,81.3%,46,42,91.3%,59,2732,69,0,46.3
22,Dallas Cowboys,16,,,9,9,8,8,9,7,6,3,32,27,84.4%,46,46,100.0%,59,2662,66,1,45.1
23,Philadelphia Eagles,16,,,12,12,12,12,11,7,6,4,41,35,85.4%,31,30,96.8%,63,2888,72,0,45.8
24,Tampa Bay Buccaneers,16,,,5,5,15,13,10,4,1,,31,22,71.0%,34,32,94.1%,70,3216,59,0,45.9
25,Cleveland Browns,16,,,6,6,7,7,12,7,2,1,27,21,77.8%,25,23,92.0%,83,3762,65,0,45.3
26,Pittsburgh Steelers,16,,,2,2,11,10,13,12,2,,28,24,85.7%,37,37,100.0%,69,3100,64,1,44.9
27,New York Jets,16,,,13,12,11,10,3,3,4,2,31,27,87.1%,26,24,92.3%,76,3059,59,1,40.3
28,Green Bay Packers,16,1,1,6,6,15,13,6,5,2,1,30,26,86.7%,47,44,93.6%,56,2420,65,0,43.2
29,Indianapolis Colts,16,,,3,3,7,7,12,10,9,7,31,27,87.1%,44,44,100.0%,56,2711,74,1,48.4
30,Detroit Lions,16,,,10,10,5,4,14,10,7,7,36,31,86.1%,33,31,93.9%,62,3010,63,0,48.5
31,Washington Redskins,16,,,12,12,14,12,9,7,7,3,42,34,81.0%,39,36,92.3%,49,2210,61,0,45.1
32,Chicago Bears,16,,,8,7,8,7,4,3,3,1,23,18,78.3%,32,31,96.9%,68,2995,67,0,44.0
,Avg Team,,0.3,0.3,7.8,7.6,9.5,8.7,9.3,7.3,4.7,2.7,31.5,26.6,84.2%,37.3,35.0,93.6%,73.0,3302.8,67,0.2,45.3
,League Total,,9,9,250,242,304,279,296,235,150,85,1009,850,84.2%,1195,1119,93.6%,2335,105690,78,7,45.3
,Avg Tm/G,,,,0.5,0.5,0.6,0.5,0.6,0.5,0.3,0.2,2.0,1.7,84.2%,2.3,2.2,93.6%,4.6,206.4,,0.0,45.3
