Rk,Tm,G,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FG%,XPA,XPM,XP%,Pnt,Yds,Lng,Blck,Y/P
1,Philadelphia Eagles,16,2,2,3,3,6,4,13,6,1,1,25,16,64.0%,44,40,90.9%,82,3459,68,0,42.2
2,Kansas City Chiefs,16,,,10,9,9,9,4,3,2,2,25,23,92.0%,39,39,100.0%,86,3676,65,1,42.7
3,Dallas Cowboys,16,,,7,6,14,10,10,5,4,3,35,24,68.6%,48,47,97.9%,61,2620,58,0,43.0
4,Seattle Seahawks,16,,,5,4,11,8,6,2,,,22,14,63.6%,14,14,100.0%,108,4760,65,0,44.1
5,New England Patriots,16,2,2,4,4,7,3,4,2,,,17,11,64.7%,24,22,91.7%,103,4227,61,0,41.0
6,New York Giants,16,2,2,2,2,11,10,6,4,2,,23,18,78.3%,36,36,100.0%,85,3577,71,3,42.1
7,Minnesota Vikings,16,,,6,4,7,7,8,5,4,3,25,19,76.0%,45,45,100.0%,73,3288,84,1,45.0
8,Pittsburgh Steelers,16,,,13,12,15,12,6,4,2,,36,28,77.8%,31,29,93.5%,74,3162,58,1,42.7
9,Chicago Bears,16,1,1,8,8,10,9,4,,3,1,26,19,73.1%,34,34,100.0%,79,3393,61,0,42.9
10,Denver Broncos,16,1,1,10,9,8,6,5,4,1,,25,20,80.0%,28,28,100.0%,85,3749,67,1,44.1
11,Indianapolis Colts,16,,,3,3,11,6,12,6,3,1,29,16,55.2%,24,24,100.0%,83,3716,64,0,44.8
12,San Diego Chargers,16,,,14,13,7,5,8,7,3,1,32,26,81.3%,35,35,100.0%,68,2899,65,0,42.6
13,New Orleans Saints,16,,,10,10,10,8,11,8,3,3,34,29,85.3%,34,33,97.1%,67,2947,62,0,44.0
14,Washington Redskins,16,2,2,9,9,15,9,12,8,2,2,40,30,75.0%,30,30,100.0%,65,2595,66,1,39.9
15,Cincinnati Bengals,16,,,8,8,7,7,11,4,2,,28,19,67.9%,31,31,100.0%,76,3196,64,0,42.1
16,Miami Dolphins,16,,,9,9,16,14,4,4,8,3,37,30,81.1%,36,34,94.4%,61,2424,60,0,39.7
17,Buffalo Bills,16,2,2,9,9,6,3,8,7,5,3,30,24,80.0%,44,43,97.7%,60,2531,61,0,42.2
18,Los Angeles Rams,16,2,2,4,3,9,7,5,3,,,20,15,75.0%,38,38,100.0%,76,3122,59,0,41.1
19,Cleveland Browns,16,1,1,11,11,8,6,6,2,3,1,29,21,72.4%,30,29,96.7%,75,3125,73,1,41.7
20,Los Angeles Raiders,16,,,5,3,6,4,9,5,6,3,26,15,57.7%,28,28,100.0%,77,3255,56,0,42.3
21,Atlanta Falcons,16,,,6,6,5,4,7,4,4,4,22,18,81.8%,39,39,100.0%,70,2896,56,1,41.4
22,San Francisco 49ers,16,,,8,7,8,5,10,6,1,,27,18,66.7%,54,53,98.1%,49,1918,58,0,39.1
23,Tampa Bay Buccaneers,16,,,3,3,8,3,11,6,,,22,12,54.5%,33,33,100.0%,74,3015,57,0,40.7
24,Green Bay Packers,16,,,7,5,10,9,9,6,3,2,29,22,75.9%,30,30,100.0%,68,2687,67,2,39.5
25,New York Jets,16,3,3,3,2,9,6,14,8,1,,30,19,63.3%,23,23,100.0%,73,2993,65,0,41.0
26,Houston Oilers,16,3,3,9,8,6,5,8,4,1,1,27,21,77.8%,41,41,100.0%,55,2581,66,2,46.9
27,Detroit Lions,16,,,5,5,10,10,6,4,5,2,26,21,80.8%,30,30,100.0%,66,2890,71,1,43.8
28,Phoenix Cardinals,16,,,10,6,4,3,9,4,3,,26,13,50.0%,29,28,96.6%,58,2484,73,0,42.8
,Avg Team,,0.8,0.8,7.2,6.5,9.0,6.9,8.1,4.7,2.6,1.3,27.6,20.0,72.6%,34.0,33.4,98.3%,73.5,3113.8,64,0.5,42.4
,League Total,,21,21,201,181,253,192,226,131,72,36,773,561,72.6%,952,936,98.3%,2057,87185,84,15,42.4
,Avg Tm/G,,,,0.4,0.4,0.6,0.4,0.5,0.3,0.2,0.1,1.7,1.3,72.6%,2.1,2.1,98.3%,4.6,194.6,,0.0,42.4
