Rk,Tm,G,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FG%,XPA,XPM,XP%,Pnt,Yds,Lng,Blck,Y/P
1,Philadelphia Eagles,16,,,6,6,9,8,12,7,2,1,29,22,75.9%,33,32,97.0%,100,4113,59,1,41.1
2,Seattle Seahawks,16,,,5,5,5,4,7,4,8,5,25,18,72.0%,57,56,98.2%,80,3282,62,0,41.0
3,New York Giants,16,,,13,11,14,13,10,8,5,3,42,35,83.3%,43,43,100.0%,73,3070,56,0,42.1
4,San Francisco 49ers,16,,,4,4,12,10,10,10,3,2,29,26,89.7%,21,21,100.0%,108,4489,58,1,41.6
5,Chicago Bears,16,,,9,9,12,9,10,4,,,31,22,71.0%,27,26,96.3%,98,4006,63,1,40.9
6,Miami Dolphins,16,,,10,9,12,9,6,6,2,1,30,25,83.3%,33,33,100.0%,89,3835,63,0,43.1
7,Jacksonville Jaguars,16,,,9,9,8,7,10,5,3,2,30,23,76.7%,39,38,97.4%,83,3560,74,1,42.9
8,Carolina Panthers,16,1,1,8,8,8,8,9,6,8,3,34,26,76.5%,44,43,97.7%,73,3154,59,0,43.2
9,Washington Redskins,16,1,1,4,4,8,6,7,6,1,,21,17,81.0%,42,42,100.0%,87,3503,57,0,40.3
10,Denver Broncos,16,,,10,9,5,5,13,9,4,1,32,24,75.0%,44,43,97.7%,73,3201,66,1,43.8
11,Tampa Bay Buccaneers,16,,,5,3,8,8,12,10,2,1,27,22,81.5%,32,32,100.0%,90,4101,61,0,45.6
12,Minnesota Vikings,16,,,11,11,8,3,10,8,5,3,34,25,73.5%,31,31,100.0%,81,3505,62,0,43.3
13,Dallas Cowboys,16,1,1,10,9,9,6,7,3,1,1,28,20,71.4%,36,35,97.2%,82,3474,63,0,42.4
14,New England Patriots,16,,,7,7,10,9,6,4,2,,25,20,80.0%,42,41,97.6%,77,3476,59,1,45.1
15,Baltimore Ravens,16,1,1,8,8,11,10,14,11,1,,35,30,85.7%,23,23,100.0%,86,3728,60,1,43.3
16,San Diego Chargers,16,1,1,3,3,9,9,11,8,,,24,21,87.5%,49,49,100.0%,71,3104,71,0,43.7
17,Pittsburgh Steelers,16,,,9,9,9,9,9,6,2,,29,24,82.8%,45,45,100.0%,69,2875,65,0,41.7
18,Kansas City Chiefs,16,1,1,8,8,13,12,8,4,3,2,33,27,81.8%,45,44,97.8%,65,2564,62,0,39.4
19,Oakland Raiders,16,1,1,8,7,6,5,12,7,3,,30,20,66.7%,30,30,100.0%,82,3744,64,0,45.7
20,St. Louis Rams,16,,,7,6,8,8,11,9,5,4,31,27,87.1%,36,36,100.0%,73,3008,63,0,41.2
21,Cincinnati Bengals,16,,,11,11,11,10,9,7,1,,32,28,87.5%,47,47,100.0%,61,2634,75,1,43.2
22,Atlanta Falcons,16,,,10,9,11,11,4,3,2,1,27,24,88.9%,35,35,100.0%,78,3300,67,0,42.3
23,Arizona Cardinals,16,1,1,11,11,12,12,14,13,7,6,45,43,95.6%,20,20,100.0%,74,3250,60,1,43.9
24,Tennessee Titans,16,,,10,10,7,6,7,5,5,2,29,23,79.3%,32,30,93.8%,78,3371,59,0,43.2
25,Detroit Lions,16,1,1,9,9,3,3,7,4,4,2,24,19,79.2%,28,27,96.4%,84,3656,60,0,43.5
26,Houston Texans,16,,,9,9,17,12,6,4,2,1,34,26,76.5%,24,24,100.0%,77,2990,61,0,38.8
27,Buffalo Bills,16,,,9,8,13,11,10,7,3,3,35,29,82.9%,26,26,100.0%,71,3242,68,0,45.7
28,Cleveland Browns,16,2,2,11,11,11,9,5,5,,,29,27,93.1%,21,19,90.5%,80,3234,61,0,40.4
29,Indianapolis Colts,16,1,1,9,9,7,6,8,7,1,,26,23,88.5%,52,52,100.0%,52,2301,58,0,44.3
30,Green Bay Packers,16,,,7,7,10,6,5,3,5,4,27,20,74.1%,31,30,96.8%,70,2726,53,0,38.9
31,New York Jets,16,,,9,8,7,7,10,7,2,,28,22,78.6%,24,24,100.0%,75,3251,59,0,43.3
32,New Orleans Saints,16,1,1,13,12,6,4,12,8,,,32,25,78.1%,22,22,100.0%,71,3066,69,0,43.2
,Avg Team,,0.4,0.4,8.5,8.1,9.3,8.0,9.1,6.5,2.9,1.5,30.2,24.5,81.0%,34.8,34.3,98.7%,78.5,3337.9,62,0.3,42.5
,League Total,,13,13,272,259,299,255,291,208,92,48,967,783,81.0%,1114,1099,98.7%,2511,106813,75,9,42.5
,Avg Tm/G,,,,0.5,0.5,0.6,0.5,0.6,0.4,0.2,0.1,1.9,1.5,81.0%,2.2,2.1,98.7%,4.9,208.6,,0.0,42.5
