Rk,Tm,G,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FG%,XPA,XPM,XP%,Pnt,Yds,Lng,Blck,Y/P
1,Atlanta Falcons,16,2,1,7,7,12,8,11,5,1,,33,21,63.60%,51,51,100.00%,88,3584,62,1,40.7
2,Chicago Bears,16,1,,10,7,5,3,7,2,,,23,12,52.20%,31,29,93.50%,114,4531,55,0,39.7
3,New York Giants,16,1,1,9,7,9,7,11,6,8,3,38,24,63.20%,31,31,100.00%,97,4198,62,0,43.3
4,San Francisco 49ers,16,2,2,9,7,8,4,10,6,,,29,19,65.50%,42,42,100.00%,93,3858,65,0,41.5
5,Cincinnati Bengals,16,,,11,9,9,7,11,5,1,1,32,22,68.80%,51,49,96.10%,73,3317,62,1,45.4
6,New York Jets,16,,,13,11,8,6,12,8,3,,36,25,69.40%,39,38,97.40%,81,3290,65,0,40.6
7,Dallas Cowboys,16,1,1,11,11,9,8,12,7,2,,35,27,77.10%,40,40,100.00%,81,3284,60,0,40.5
8,Oakland Raiders,16,,,8,6,4,2,7,3,5,3,24,14,58.30%,33,27,81.80%,98,4238,69,0,43.2
9,Denver Broncos,16,,,9,6,11,5,8,6,2,,30,17,56.70%,37,36,97.30%,86,3478,67,0,40.4
10,Miami Dolphins,16,,,9,9,12,11,10,4,,,31,24,77.40%,38,37,97.40%,83,3386,61,0,40.8
11,Los Angeles Rams,16,,,9,6,6,5,11,6,,,26,17,65.40%,36,36,100.00%,89,3735,67,0,42
12,San Diego Chargers,16,2,2,7,7,8,5,4,3,5,2,26,19,73.10%,61,55,90.20%,63,2581,61,1,41
13,Minnesota Vikings,16,1,1,6,5,12,11,6,4,,,25,21,84.00%,37,34,91.90%,88,3646,73,0,41.4
14,Tampa Bay Buccaneers,16,,,7,5,6,4,13,6,2,2,28,17,60.70%,38,36,94.70%,82,3459,62,2,42.2
15,Pittsburgh Steelers,16,3,3,6,5,2,1,5,3,1,,17,12,70.60%,46,38,82.60%,84,3641,74,0,43.3
16,Detroit Lions,16,1,1,5,5,14,9,11,7,4,3,35,25,71.40%,46,46,100.00%,64,2784,74,0,43.5
17,Washington Redskins,16,1,1,8,7,8,6,12,5,1,,30,19,63.30%,42,38,90.50%,73,2923,57,0,40
18,Kansas City Chiefs,16,,,5,5,15,13,9,7,7,1,36,26,72.20%,38,37,97.40%,70,2697,57,0,38.5
19,Green Bay Packers,16,2,2,8,7,9,9,3,2,2,2,24,22,91.70%,36,36,100.00%,84,3411,72,2,40.6
20,Buffalo Bills,16,,,6,4,7,5,10,5,1,,24,14,58.30%,37,37,100.00%,80,3175,71,0,39.7
21,St. Louis Cardinals,16,2,2,8,8,6,4,11,5,5,,32,19,59.40%,37,36,97.30%,69,2883,75,0,41.8
22,New England Patriots,16,,,7,7,6,2,7,5,4,1,24,15,62.50%,39,37,94.90%,75,2951,75,0,39.3
23,Philadelphia Eagles,16,,,5,5,9,7,13,7,4,1,31,20,64.50%,43,42,97.70%,64,2580,64,0,40.3
24,Cleveland Browns,16,3,3,8,7,15,7,3,,4,,33,17,51.50%,32,31,96.90%,70,2969,66,2,42.4
25,Houston Oilers,16,,,4,3,4,4,13,7,1,1,22,15,68.20%,34,32,94.10%,79,3137,62,0,39.7
26,Seattle Seahawks,16,,,10,9,3,3,9,2,2,1,24,15,62.50%,40,37,92.50%,68,2652,56,0,39
27,Baltimore Colts,16,2,2,3,2,5,3,7,3,1,,18,10,55.60%,33,29,87.90%,78,3071,57,0,39.4
28,New Orleans Saints,16,,,5,5,9,3,10,5,1,,25,13,52.00%,24,24,100.00%,66,2672,60,0,40.5
,Avg Team,,0.9,0.8,7.6,6.5,8.3,5.8,9.1,4.8,2.4,0.8,28.3,18.6,65.90%,39,37.2,95.30%,80,3290.4,65,0.3,41.1
,League Total,,24,22,213,182,231,162,256,134,67,21,791,521,65.90%,1092,1041,95.30%,2240,92131,75,9,41.1
,Avg Tm/G,,0.1,,0.5,0.4,0.5,0.4,0.6,0.3,0.1,,1.8,1.2,65.90%,2.4,2.3,95.30%,5,205.6,,0,41.1
