Rk,Tm,G,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FG%,XPA,XPM,XP%,Pnt,Yds,Lng,Blck,Y/P
1,Cleveland Browns,16,,,5,5,8,6,9,4,2,1,24,16,66.7%,40,40,100.0%,97,3817,60,0,39.4
2,Philadelphia Eagles,16,2,2,5,4,13,8,13,6,,,33,20,60.6%,40,40,100.0%,87,3389,91,0,39.0
3,Los Angeles Rams,16,1,1,8,7,7,7,10,8,4,,30,23,76.7%,51,51,100.0%,74,2873,54,1,38.8
4,Denver Broncos,16,3,3,14,13,8,8,7,3,1,,33,27,81.8%,40,39,97.5%,80,3188,63,0,39.9
5,Minnesota Vikings,16,3,3,15,14,10,6,12,8,4,1,44,32,72.7%,36,35,97.2%,72,2864,55,0,39.8
6,Tampa Bay Buccaneers,16,,,9,9,6,6,10,5,3,2,28,22,78.6%,35,34,97.1%,86,3390,58,2,39.4
7,Atlanta Falcons,16,1,1,8,8,10,8,11,4,2,2,32,23,71.9%,30,30,100.0%,85,3513,65,1,41.3
8,New York Giants,16,,,11,10,14,13,11,5,2,1,38,29,76.3%,37,35,94.6%,70,3019,71,0,43.1
9,New Orleans Saints,16,,,8,7,11,10,6,3,4,,29,20,69.0%,45,44,97.8%,71,2774,56,0,39.1
10,Washington Redskins,16,2,2,11,11,15,13,11,3,1,,40,29,72.5%,41,41,100.0%,63,2706,74,1,43.0
11,Buffalo Bills,16,,,6,5,9,8,15,10,,,30,23,76.7%,47,46,97.9%,67,2643,60,2,39.4
12,San Francisco 49ers,16,3,3,8,8,9,8,15,10,1,,36,29,80.6%,51,49,96.1%,56,2266,56,1,40.5
13,Pittsburgh Steelers,16,2,2,5,5,8,5,15,9,,,30,21,70.0%,28,28,100.0%,83,3409,57,1,41.1
14,Detroit Lions,16,,,3,3,9,8,8,8,1,1,21,20,95.2%,36,36,100.0%,83,3581,64,1,43.1
15,Indianapolis Colts,16,2,2,6,6,10,9,5,3,4,1,27,21,77.8%,32,31,96.9%,80,3435,64,1,42.9
16,San Diego Chargers,16,,,6,6,9,6,6,4,4,1,25,17,68.0%,30,29,96.7%,84,3315,64,0,39.5
17,New York Jets,16,1,1,7,6,4,3,8,4,1,,21,14,66.7%,30,29,96.7%,87,3426,76,0,39.4
18,Phoenix Cardinals,16,,,7,7,6,5,11,5,2,1,26,18,69.2%,29,28,96.6%,82,3578,58,0,43.6
19,Cincinnati Bengals,16,,,10,10,5,3,5,1,,,20,14,70.0%,52,50,96.2%,65,2583,62,2,39.7
20,Green Bay Packers,16,1,1,9,9,6,4,9,7,3,1,28,22,78.6%,42,42,100.0%,66,2682,63,0,40.6
21,Chicago Bears,16,,,6,6,7,6,5,3,1,,19,15,78.9%,45,43,95.6%,72,2844,60,0,39.5
22,Kansas City Chiefs,16,1,1,6,6,14,10,9,6,3,1,33,24,72.7%,35,34,97.1%,67,2688,54,0,40.1
23,Los Angeles Raiders,16,1,1,10,8,9,8,12,5,2,1,34,23,67.6%,34,34,100.0%,67,2711,60,0,40.5
24,Houston Oilers,16,1,1,9,8,14,9,11,5,2,2,37,25,67.6%,40,40,100.0%,58,2508,63,2,43.2
25,New England Patriots,16,,,7,7,16,11,14,9,3,3,40,30,75.0%,30,27,90.0%,64,2430,64,1,38.0
26,Seattle Seahawks,16,1,1,7,6,4,3,8,4,5,1,25,15,60.0%,27,28,103.7%,76,3035,59,1,39.9
27,Dallas Cowboys,16,1,1,2,2,5,3,9,4,3,,20,10,50.0%,25,24,96.0%,82,3343,56,2,40.8
28,Miami Dolphins,16,1,1,8,8,6,5,8,4,3,1,26,19,73.1%,39,38,97.4%,59,2500,58,1,42.4
,Avg Team,,1.0,1.0,7.7,7.3,9.0,7.1,9.8,5.4,2.2,0.8,29.6,21.5,72.5%,37.4,36.6,97.9%,74.4,3018.2,62,0.7,40.6
,League Total,,27,27,216,204,252,199,273,150,61,21,829,601,72.5%,1047,1025,97.9%,2083,84510,91,20,40.6
,Avg Tm/G,,0.1,0.1,0.5,0.5,0.6,0.4,0.6,0.3,0.1,,1.9,1.3,72.5%,2.3,2.3,97.9%,4.6,188.6,,0.0,40.6
