Rk,Tm,G,RshTD,RecTD,PR TD,KR TD,FblTD,IntTD,OthTD,AllTD,2PM,2PA,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G
1,Washington Redskins,16,30,29,,,3,1,,63,,0,62,63,33,47,1,541,33.8
2,Dallas Cowboys,16,21,31,1,,3,2,1,59,,0,57,59,22,27,1,479,29.9
3,Los Angeles Raiders,16,18,31,1,,2,2,,54,,0,51,53,21,27,2,442,27.6
4,San Francisco 49ers,16,17,27,1,,1,5,,51,,0,51,51,25,30,,432,27.0
5,Green Bay Packers,16,15,33,1,,2,1,,52,,0,52,52,21,26,1,429,26.8
6,Seattle Seahawks,16,19,25,1,1,2,2,,50,,0,49,50,18,25,,403,25.2
7,Miami Dolphins,16,16,28,1,,,3,,48,,0,45,48,18,27,1,389,24.3
8,Kansas City Chiefs,16,13,29,,,1,2,,45,,0,44,45,24,30,,386,24.1
9,St. Louis Cardinals,16,15,29,,,3,,,47,,0,45,47,15,28,1,374,23.4
10,Atlanta Falcons,16,17,24,1,,2,2,,46,,0,43,45,17,22,,370,23.1
11,Los Angeles Rams,16,20,23,1,,,3,,47,,0,42,46,11,20,2,361,22.6
12,San Diego Chargers,16,16,27,,,,1,1,45,,0,43,45,15,24,,358,22.4
13,Cleveland Browns,16,13,27,,,,2,,42,,0,38,40,22,25,,356,22.3
14,Pittsburgh Steelers,16,17,15,,,3,4,,39,,0,38,39,27,31,1,355,22.2
15,Detroit Lions,16,18,19,1,,,,,38,,0,38,38,25,32,3,347,21.7
16,Cincinnati Bengals,16,24,14,,,1,4,,43,,0,40,42,16,23,,346,21.6
17,New Orleans Saints,16,19,14,,,2,3,,38,,0,37,38,18,24,,319,19.9
18,Minnesota Vikings,16,17,15,,,1,,1,34,,0,33,34,25,33,2,316,19.8
19,New York Jets,16,11,21,1,,1,3,1,38,,0,37,37,16,24,,313,19.6
20,Chicago Bears,16,14,21,1,,1,2,,39,,0,35,38,14,25,,311,19.4
21,Denver Broncos,16,15,17,1,,1,,,34,,0,33,34,21,25,1,302,18.9
22,Houston Oilers,16,16,16,,2,,,,34,,0,33,34,17,21,,288,18.0
23,Buffalo Bills,16,4,30,,,1,1,,36,,0,34,36,11,26,,283,17.7
24,New England Patriots,16,19,16,,,,1,,36,,0,31,36,9,22,,274,17.1
25,New York Giants,16,9,12,,,1,1,,23,,0,22,23,35,42,1,267,16.7
26,Baltimore Colts,16,10,12,,,2,1,,25,,0,22,24,30,35,1,264,16.5
27,Tampa Bay Buccaneers,16,9,18,,,1,3,,31,,0,25,29,10,24,,241,15.1
28,Philadelphia Eagles,16,5,22,,,,,,27,,0,24,27,15,26,1,233,14.6
,Avg Team,,15.6,22.3,0.4,0.1,1.2,1.8,0.1,,,0.0,39.4,41.2,19.7,27.5,0.7,349.3,21.8
,League Total,,437,625,12,3,34,49,4,1164,,0,1104,1153,551,771,19,9779,
,Avg Tm/G,,0.98,1.40,0.03,0.01,0.08,0.11,0.01,2.60,,0.00,2.46,2.57,1.23,1.72,0.04,21.8,
