Rk,Tm,G,RshTD,RecTD,PR TD,KR TD,FblTD,IntTD,OthTD,AllTD,2PM,2PA,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G
1,Miami Dolphins,16,18,49,,,1,2,,70,,0,66,70,9,19,,513,32.1
2,San Francisco 49ers,16,21,32,1,,1,2,,57,,0,56,56,25,35,1,475,29.7
3,Washington Redskins,16,20,24,,,3,4,,51,,0,48,51,24,31,,426,26.6
4,St. Louis Cardinals,16,21,28,,,1,1,,51,,0,48,51,23,35,,423,26.4
5,Seattle Seahawks,16,10,32,1,,1,7,,51,,0,50,51,20,24,1,418,26.1
6,San Diego Chargers,16,18,25,1,,,4,,48,,0,46,47,20,29,,394,24.6
7,Green Bay Packers,16,18,30,,1,,2,,51,,0,48,49,12,21,,390,24.4
8,Pittsburgh Steelers,16,13,25,1,,2,4,,45,,0,45,45,24,32,,387,24.2
9,Los Angeles Raiders,16,19,21,1,,1,2,,44,,0,40,42,20,27,2,368,23.0
10,New England Patriots,16,15,26,,,1,,,42,,0,42,42,22,28,1,362,22.6
11,Denver Broncos,16,12,22,,,4,4,,42,,0,38,41,21,28,,353,22.1
12,Los Angeles Rams,16,16,16,2,1,,3,,38,,0,37,38,25,33,3,346,21.6
13,Cincinnati Bengals,16,18,17,,,,4,,39,,0,37,37,22,31,1,339,21.2
14,Tampa Bay Buccaneers,16,17,22,,,,1,,40,,0,38,40,19,26,,335,20.9
15,New York Jets,16,17,20,,1,2,,,40,,0,39,39,17,24,1,332,20.8
16,Chicago Bears,16,22,14,,,,1,,37,,0,35,37,22,28,1,325,20.3
17,Kansas City Chiefs,16,12,21,,,,2,,35,,0,35,35,23,33,,314,19.6
18,Dallas Cowboys,16,12,19,,,1,2,,34,,0,33,34,23,29,1,308,19.3
19,New York Giants,16,12,22,,,1,,1,36,,0,32,35,17,33,,299,18.7
20,New Orleans Saints,16,9,21,,,1,3,,34,,0,34,34,20,27,,298,18.6
21,Detroit Lions,16,13,19,,,,,,32,,0,31,31,20,27,,283,17.7
22,Atlanta Falcons,16,16,14,,,,1,,31,,0,31,31,20,27,2,281,17.6
23,Philadelphia Eagles,16,6,19,,1,,,1,27,,0,26,27,30,37,,278,17.4
24,Minnesota Vikings,16,10,18,,,2,1,,31,,0,30,31,20,23,,276,17.3
25,Cleveland Browns,16,10,14,,,1,,,25,,0,25,25,25,35,,250,15.6
26,Buffalo Bills,16,9,18,1,,2,,1,31,,0,31,31,11,21,,250,15.6
27,Houston Oilers,16,13,14,,,1,,,28,,0,27,27,15,19,,240,15.0
28,Indianapolis Colts,16,13,13,,1,,1,,28,,0,27,28,14,23,1,239,14.9
,Avg Team,,14.6,22.0,0.3,0.2,0.9,1.8,0.1,,,0.0,38.4,39.5,20.1,28.0,0.5,339.4,21.2
,League Total,,410,615,8,5,26,51,3,1118,,0,1075,1105,563,785,15,9502,
,Avg Tm/G,,0.92,1.37,0.02,0.01,0.06,0.11,0.01,2.50,,0.00,2.40,2.47,1.26,1.75,0.03,21.2,
