Rk,Tm,G,RshTD,RecTD,PR TD,KR TD,FblTD,IntTD,OthTD,AllTD,2PM,2PA,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G
1,Atlanta Falcons,16,20,38,,,2,3,,63,2,6,56,57,34,37,,540,33.8
2,New Orleans Saints,16,17,38,,,,,,55,2,5,49,50,28,34,1,469,29.3
3,New England Patriots,16,19,32,,,,,,51,1,2,46,49,27,32,3,441,27.6
4,Green Bay Packers,16,11,40,,,,,,51,2,4,44,47,26,30,,432,27.0
5,Dallas Cowboys,16,24,25,,,,,,49,,2,46,46,27,32,,421,26.3
6,Arizona Cardinals,16,20,28,,,1,2,,51,1,4,43,47,21,28,2,418,26.1
7,Oakland Raiders,16,17,29,,,,1,,47,5,7,37,39,29,35,,416,26.0
8,Indianapolis Colts,16,13,32,,1,1,,,47,2,3,44,44,27,31,,411,25.7
9,San Diego Chargers,16,10,33,,,2,3,,48,,2,42,46,26,32,1,410,25.6
10,Pittsburgh Steelers,16,13,33,,,1,,,47,3,9,37,37,24,28,1,399,24.9
11,Buffalo Bills,16,29,17,,,2,1,,49,4,4,40,45,19,25,,399,24.9
12,Washington Redskins,16,17,25,1,,,,,43,,4,36,39,34,42,,396,24.8
13,Kansas City Chiefs,16,15,19,2,1,1,4,,42,2,2,36,39,31,35,1,387,24.3
14,Tennessee Titans,16,16,29,,,1,,,46,,5,39,41,22,24,,381,23.8
15,Carolina Panthers,16,16,21,,,2,1,,40,3,6,31,34,30,38,1,369,23.1
16,Philadelphia Eagles,16,16,16,,2,,3,,37,4,6,30,31,35,41,1,367,22.9
17,Miami Dolphins,16,14,27,1,1,,1,1,45,1,2,41,42,16,21,,361,22.7
18,Seattle Seahawks,16,13,23,,,1,,,37,1,2,29,35,33,37,1,354,22.1
19,Tampa Bay Buccaneers,16,8,29,,,,4,,41,4,7,32,34,22,31,1,354,22.1
20,Detroit Lions,16,9,24,2,,,1,,36,1,2,31,33,31,36,2,346,21.6
21,Baltimore Ravens,16,10,20,,,1,,1,32,4,5,27,27,38,39,,341,21.4
22,Denver Broncos,16,11,20,,,1,3,,35,1,2,32,33,29,34,,331,20.8
23,Minnesota Vikings,16,9,20,2,1,2,2,,36,1,3,26,33,27,31,1,327,20.4
24,Cincinnati Bengals,16,17,18,,,,,,35,,0,29,35,28,35,1,325,20.3
25,Jacksonville Jaguars,16,8,24,,1,,1,,34,2,2,29,32,27,34,,318,19.9
26,New York Giants,16,6,26,,,2,1,1,36,,1,31,35,21,22,,310,19.4
27,San Francisco 49ers,16,15,21,,,,,,36,2,2,33,34,18,21,1,309,19.3
28,Chicago Bears,16,10,19,1,,1,1,,32,,0,31,32,18,23,1,279,17.4
29,Houston Texans,16,8,15,1,,,1,,25,,0,22,25,35,41,1,279,17.4
30,New York Jets,16,10,16,,,,,1,27,1,1,24,26,27,31,,269,17.2
31,Cleveland Browns,16,13,15,,,,1,,29,2,4,23,25,21,27,,264,16.5
32,Los Angeles Rams,16,9,14,,,1,,,24,,1,23,23,19,22,,224,14.0
,Avg Team,,13.8,24.6,0.3,0.2,0.7,1.1,0.1,,1.6,3.3,35.0,37.3,26.6,31.5,0.6,364.0,22.8
,League Total,,443,786,10,7,22,34,4,1306,51,105,1119,1195,850,1009,20,11647,
,Avg Tm/G,,0.87,1.54,0.02,0.01,0.04,0.07,0.01,2.55,0.10,0.21,2.19,2.33,1.66,1.97,0.04,22.7,
