Rk,Tm,G,RshTD,RecTD,PR TD,KR TD,FblTD,IntTD,OthTD,AllTD,2PM,2PA,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G
1,St. Louis Rams,16,26,37,1,1,2,,,67,4,9,58,58,24,27,,540,33.8
2,Denver Broncos,16,21,28,,1,2,5,1,58,2,5,53,53,26,34,1,485,30.3
3,Oakland Raiders,16,23,28,,1,1,4,1,58,1,1,56,56,23,34,2,479,29.9
4,Indianapolis Colts,16,14,33,,,1,2,,50,2,4,46,46,25,27,2,429,26.8
5,Minnesota Vikings,16,14,33,,,,,,47,2,2,45,45,22,23,,397,24.8
6,San Francisco 49ers,16,15,32,,,,2,,49,3,4,43,45,15,22,,388,24.3
7,Tampa Bay Buccaneers,16,18,18,1,,1,4,1,43,1,1,42,42,28,34,1,388,24.3
8,Jacksonville Jaguars,16,18,22,,,,,,40,1,1,38,38,29,33,,367,22.9
9,Kansas City Chiefs,16,12,29,,,,2,1,44,,4,40,40,17,24,,355,22.2
10,New Orleans Saints,16,14,22,,,1,4,,41,1,4,37,37,23,29,,354,22.1
11,Green Bay Packers,16,13,21,,1,,1,,36,2,3,32,32,33,38,1,353,22.1
12,Philadelphia Eagles,16,13,21,1,1,,2,,38,1,2,34,36,29,33,,351,21.9
13,Tennessee Titans,16,14,18,1,,1,4,,38,,0,37,38,27,34,,346,21.6
14,Baltimore Ravens,16,9,20,2,,,1,,32,2,2,30,30,35,39,1,333,20.8
15,New York Giants,16,16,22,,1,,,,39,,0,37,37,19,25,,328,20.5
16,Miami Dolphins,16,16,15,1,,2,,,34,,0,33,34,28,31,1,323,20.2
17,Pittsburgh Steelers,16,19,12,1,1,2,,,35,1,2,32,33,25,30,1,321,20.1
18,New York Jets,16,11,23,,1,,1,,36,2,3,32,32,23,34,,321,20.1
19,Seattle Seahawks,16,10,21,,1,2,3,,37,,4,33,33,21,26,1,320,20.0
20,Buffalo Bills,16,11,20,,,2,1,,34,1,2,31,31,26,35,,315,19.7
21,Carolina Panthers,16,7,19,1,1,,2,1,31,1,2,29,29,31,35,,310,19.4
22,Detroit Lions,16,15,14,1,,1,2,,33,4,4,29,29,24,30,,307,19.2
23,Dallas Cowboys,16,15,14,2,,,,,31,2,3,27,27,25,33,1,294,18.4
24,Washington Redskins,16,14,18,,,,,,32,,3,27,29,20,30,1,281,17.6
25,New England Patriots,16,9,18,1,,,,,28,1,1,25,25,27,33,,276,17.3
26,San Diego Chargers,16,7,19,,1,,4,,31,,3,27,27,18,25,1,269,16.8
27,Atlanta Falcons,16,6,14,1,3,,1,,25,1,2,23,23,25,31,1,252,15.8
28,Chicago Bears,16,6,12,,,,4,,22,,1,21,21,21,27,,216,13.5
29,Arizona Cardinals,16,6,16,,1,1,,,24,,4,18,19,16,23,,210,13.1
30,Cincinnati Bengals,16,13,6,1,,,1,,21,,0,21,21,12,21,1,185,11.6
31,Cleveland Browns,16,7,9,,,,1,,17,,0,17,17,14,17,,161,10.1
,Avg Team,,13.3,20.5,0.5,0.5,0.6,1.6,0.2,,1.1,2.5,34.0,34.3,23.6,29.6,0.5,330.8,20.7
,League Total,,412,634,15,15,19,51,5,1151,35,76,1053,1063,731,917,16,10254,
,Avg Tm/G,,0.83,1.28,0.03,0.03,0.04,0.10,0.01,2.32,0.07,0.15,2.12,2.14,1.47,1.85,0.03,20.7,
