Rk,Tm,G,RshTD,RecTD,PR TD,KR TD,FblTD,IntTD,OthTD,AllTD,2PM,2PA,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G
1,San Francisco 49ers,16,23,37,,1,1,4,,66,2,3,60,62,15,20,,505,31.6
2,Dallas Cowboys,16,26,19,1,1,,3,,50,,2,48,48,22,29,,414,25.9
3,Miami Dolphins,16,13,31,,,,1,,45,6,10,35,35,24,31,,389,24.3
4,Green Bay Packers,16,11,33,1,1,,1,,47,1,3,41,43,19,26,,382,23.9
5,San Diego Chargers,16,13,20,2,2,,3,,40,3,7,33,33,34,38,,381,23.8
6,Detroit Lions,16,12,24,,4,1,2,,43,2,3,39,40,18,27,1,357,22.3
7,Minnesota Vikings,16,11,18,,,3,4,,36,4,5,30,30,34,39,,356,22.3
8,New England Patriots,16,12,25,,,1,1,,39,,2,36,36,27,35,,351,21.9
9,New Orleans Saints,16,11,22,,2,2,1,,38,2,6,32,32,28,39,,348,21.8
10,Denver Broncos,16,19,18,,,,,,37,3,7,29,29,30,37,,347,21.7
11,Cleveland Browns,16,12,20,2,1,,1,1,37,4,5,32,32,26,28,,340,21.3
12,Buffalo Bills,16,14,23,,,1,,,38,,0,38,38,24,28,1,340,21.3
13,Washington Redskins,16,5,25,2,,2,3,,37,3,5,30,32,20,28,1,320,20.0
14,Kansas City Chiefs,16,12,20,,1,,1,,34,3,4,30,30,25,30,2,319,19.9
15,Atlanta Falcons,16,8,25,,,1,2,,36,3,4,32,32,21,25,,317,19.8
16,Pittsburgh Steelers,16,15,17,,,1,2,,35,1,3,32,32,24,29,,316,19.8
17,Philadelphia Eagles,16,14,18,,1,,2,,35,,2,33,33,21,25,1,308,19.3
18,Indianapolis Colts,16,15,15,1,1,2,3,,37,,0,37,37,16,24,,307,19.2
19,Los Angeles Raiders,16,7,22,,,2,3,,34,1,3,31,31,22,28,,303,18.9
20,Seattle Seahawks,16,16,13,,1,,2,,32,4,6,25,26,20,24,1,287,17.9
21,Los Angeles Rams,16,6,23,1,,2,1,,33,2,5,28,28,18,23,1,286,17.9
22,New York Giants,16,12,16,2,,,,,30,1,2,27,28,22,28,2,279,17.4
23,Cincinnati Bengals,16,5,21,1,,,,,27,2,2,24,25,28,33,1,276,17.3
24,Chicago Bears,16,10,19,1,,,,,30,2,6,24,24,21,29,,271,16.9
25,New York Jets,16,8,18,,,,3,,29,2,2,26,27,20,23,,264,16.5
26,Tampa Bay Buccaneers,16,8,17,1,,,,,26,3,6,20,20,23,35,,251,15.7
27,Arizona Cardinals,16,12,11,,,,1,,24,1,3,21,21,22,30,1,235,14.7
28,Houston Oilers,16,10,13,1,,,1,,25,4,7,18,18,16,20,1,226,14.1
,Avg Team,,12.1,20.8,0.6,0.6,0.7,1.6,,,2.1,4.0,31.8,32.2,22.9,29.0,0.5,324.1,20.3
,League Total,,340,583,16,16,19,45,1,1020,59,113,891,902,640,811,13,9075,
,Avg Tm/G,,0.76,1.30,0.04,0.04,0.04,0.10,,2.28,0.13,0.25,1.99,2.01,1.43,1.81,0.03,20.3,
