Rk,Tm,G,RshTD,RecTD,PR TD,KR TD,FblTD,IntTD,OthTD,AllTD,2PM,2PA,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G
1,Washington Redskins,16,21,30,2,,,3,,56,,0,56,56,31,43,,485,30.3
2,Buffalo Bills,16,16,39,,1,1,1,,58,,0,56,58,18,29,,458,28.6
3,San Francisco 49ers,16,19,29,,1,1,,,50,,0,49,50,14,28,1,393,24.6
4,Houston Oilers,16,16,24,,,3,2,1,46,,0,41,45,23,31,,386,24.1
5,Atlanta Falcons,16,6,30,,1,4,1,,42,,0,40,41,21,26,3,361,22.6
6,Miami Dolphins,16,8,26,,,1,,,35,,0,34,35,33,39,,343,21.4
7,Dallas Cowboys,16,15,16,1,1,1,2,1,37,,0,37,37,27,39,1,342,21.4
8,New Orleans Saints,16,15,20,,,,2,1,38,,0,38,38,25,32,,341,21.3
9,Detroit Lions,16,19,16,1,,1,2,1,40,,0,40,40,19,28,1,339,21.2
10,Kansas City Chiefs,16,14,19,,,2,,,35,,0,35,35,25,30,1,322,20.1
11,New York Jets,16,17,12,,,,2,1,32,,0,32,32,30,43,,314,19.6
12,Denver Broncos,16,16,13,,,1,2,,32,,0,31,32,27,36,,304,19.0
13,Minnesota Vikings,16,18,16,,,,2,,36,,0,34,35,17,24,,301,18.8
14,Chicago Bears,16,18,16,,,,1,,35,,0,32,34,19,29,,299,18.7
15,Los Angeles Raiders,16,8,20,1,,1,,,30,,0,29,30,29,34,1,298,18.6
16,Cleveland Browns,16,12,19,,,1,3,,35,,0,33,34,16,22,1,293,18.3
17,Pittsburgh Steelers,16,8,20,1,,1,2,,32,,0,31,31,23,33,,292,18.3
18,Philadelphia Eagles,16,8,17,,,3,1,,29,,0,27,29,28,33,,285,17.8
19,New York Giants,16,16,13,1,,,,,30,,0,29,30,24,31,,281,17.6
20,Seattle Seahawks,16,11,15,1,,,2,,29,,0,27,28,25,31,,276,17.3
21,San Diego Chargers,16,16,13,,1,,1,,31,,0,31,31,19,29,,274,17.1
22,Green Bay Packers,16,12,17,,1,1,,,31,,0,31,31,18,24,1,273,17.1
23,Cincinnati Bengals,16,11,14,1,,,1,,27,,0,27,27,24,32,1,263,16.4
24,Los Angeles Rams,16,11,13,,,1,1,,26,,0,25,26,17,17,1,234,14.6
25,New England Patriots,16,9,11,,1,1,,,22,,0,19,21,20,29,,211,13.2
26,Tampa Bay Buccaneers,16,9,13,,,,,,22,,0,22,22,15,20,,199,12.4
27,Phoenix Cardinals,16,6,10,,,2,1,,19,,0,19,19,21,30,,196,12.3
28,Indianapolis Colts,16,3,10,,1,,,,14,,0,14,14,15,26,,143,8.9
,Avg Team,,12.8,18.3,0.3,0.3,0.9,1.1,0.2,,,0.0,32.8,33.6,22.3,30.3,0.4,303.8,19.0
,League Total,,358,511,9,8,26,32,5,949,,0,919,941,623,848,12,8506,
,Avg Tm/G,,0.80,1.14,0.02,0.02,0.06,0.07,0.01,2.12,,0.00,2.05,2.10,1.39,1.89,0.03,19.0,
