Rk,Tm,G,RshTD,RecTD,PR TD,KR TD,FblTD,IntTD,OthTD,AllTD,2PM,2PA,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G
1,San Francisco 49ers,16,26,29,1,,2,3,,61,,0,59,61,16,26,,473,29.6
2,Dallas Cowboys,16,20,18,2,,,1,,41,,0,40,41,30,37,,376,23.5
3,Denver Broncos,16,13,27,,,1,1,,42,,0,41,42,26,35,1,373,23.3
4,Houston Oilers,16,11,23,,,3,3,,40,,0,39,40,29,34,1,368,23.0
5,Miami Dolphins,16,10,27,2,,,1,,40,,0,37,37,24,32,,349,21.8
6,Green Bay Packers,16,14,19,,1,1,,,35,,0,35,35,31,37,1,340,21.3
7,Buffalo Bills,16,12,20,1,,1,3,,37,,0,36,37,23,32,1,329,20.6
8,Kansas City Chiefs,16,14,20,,,2,,1,37,,0,37,37,23,29,,328,20.5
9,Phoenix Cardinals,16,12,21,1,,2,1,,37,,0,37,37,21,28,2,326,20.4
10,San Diego Chargers,16,14,18,,,,1,,33,,0,31,33,31,40,,322,20.1
11,New Orleans Saints,16,10,18,2,1,2,,,33,,0,33,33,28,35,1,317,19.8
12,Atlanta Falcons,16,4,28,,1,1,,,34,,0,34,34,26,27,,316,19.8
13,Pittsburgh Steelers,16,13,16,,,2,1,,32,,0,32,32,28,30,,308,19.3
14,Los Angeles Raiders,16,10,17,1,,,1,,29,,0,27,29,35,44,,306,19.1
15,Cleveland Browns,16,8,23,3,,1,1,,36,,0,36,36,16,22,2,304,19.0
16,Detroit Lions,16,9,15,,1,2,1,,28,,0,28,28,34,43,,298,18.6
17,Philadelphia Eagles,16,7,23,,,1,4,,35,,0,31,35,16,23,2,293,18.3
18,New York Giants,16,11,17,1,,,1,,30,,0,28,29,26,34,1,288,18.0
19,Seattle Seahawks,16,13,13,,,2,1,,29,,0,29,29,23,28,4,280,17.5
20,Minnesota Vikings,16,8,18,,,,2,,28,,0,27,28,26,35,2,277,17.3
21,New York Jets,16,14,16,,,,1,,31,,0,31,31,17,26,1,270,16.9
22,New England Patriots,16,9,17,,,,,,26,,0,25,25,19,31,,238,14.9
23,Tampa Bay Buccaneers,16,6,19,,,,2,,27,,0,27,27,16,22,,237,14.8
24,Chicago Bears,16,10,7,,,2,2,1,22,,0,21,22,27,36,,234,14.6
25,Washington Redskins,16,11,11,,,2,2,,26,,0,24,26,16,28,1,230,14.4
26,Los Angeles Rams,16,8,16,,,1,,,25,,0,23,25,16,23,,221,13.8
27,Indianapolis Colts,16,4,10,,,2,,,16,,0,15,16,26,31,,189,11.8
28,Cincinnati Bengals,16,3,11,,,,2,,16,,0,13,16,24,31,3,187,11.7
,Avg Team,,10.9,18.5,0.5,0.1,1.1,1.3,0.1,,,0.0,31.3,32.2,24.0,31.4,0.8,299.2,18.7
,League Total,,304,517,14,4,30,35,2,906,,0,876,901,673,879,23,8377,
,Avg Tm/G,,0.68,1.15,0.03,0.01,0.07,0.08,,2.02,,0.00,1.96,2.01,1.50,1.96,0.05,18.7,
