Rk,Tm,G,RshTD,RecTD,PR TD,KR TD,FblTD,IntTD,OthTD,AllTD,2PM,2PA,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G
1,New England Patriots,16,17,50,,2,3,3,,75,1,1,74,74,21,24,,589,36.8
2,Dallas Cowboys,16,14,36,,,1,2,1,54,,1,53,53,26,31,,455,28.4
3,Indianapolis Colts,16,19,32,1,,1,1,,54,2,3,49,51,23,29,2,450,28.1
4,Green Bay Packers,16,13,30,2,,3,1,,49,,0,48,48,31,39,,435,27.2
5,San Diego Chargers,16,19,22,1,1,3,2,1,49,,1,46,46,24,27,,412,25.8
6,Jacksonville Jaguars,16,18,28,,1,1,2,,50,1,1,46,48,21,24,,411,25.7
7,Arizona Cardinals,16,9,32,1,,1,6,,49,,1,47,48,21,30,,404,25.3
8,Cleveland Browns,16,13,29,1,2,,1,,46,2,3,42,43,26,30,1,402,25.1
9,Seattle Seahawks,16,9,30,1,2,1,1,,44,,0,43,43,28,34,1,393,24.6
10,Pittsburgh Steelers,16,9,34,,1,,2,,46,2,2,44,44,23,25,,393,24.6
11,Cincinnati Bengals,16,10,26,,1,2,1,1,41,1,3,37,37,31,34,1,380,23.8
12,Houston Texans,16,12,24,,4,3,,,43,3,3,40,40,25,29,,379,23.7
13,New Orleans Saints,16,14,28,,,2,3,,47,4,5,42,42,15,22,1,379,23.7
14,New York Giants,16,15,23,,1,2,3,,44,,1,40,42,23,27,,373,23.3
15,Minnesota Vikings,16,22,12,,1,2,6,,43,3,3,39,40,20,24,1,365,22.8
16,Detroit Lions,16,13,19,,1,,3,1,37,,1,35,36,29,35,1,346,21.6
17,Philadelphia Eagles,16,12,24,,,2,,,38,,2,36,36,24,32,,336,21.0
18,Tampa Bay Buccaneers,16,15,18,,1,1,1,,36,,2,34,34,28,33,,334,20.9
19,Washington Redskins,16,15,18,,,,2,,35,2,5,29,30,29,35,2,334,20.9
20,Chicago Bears,16,8,18,4,2,,1,1,34,1,1,33,33,31,36,1,334,20.9
21,Denver Broncos,16,10,21,1,,2,,,34,,1,33,33,27,31,1,320,20.0
22,Tennessee Titans,16,17,9,,,,2,,28,,0,28,28,35,39,,301,18.8
23,Oakland Raiders,16,11,17,,,,2,,30,2,2,28,28,23,32,1,283,17.7
24,Baltimore Ravens,16,11,13,2,1,,1,,28,,2,26,26,27,32,,275,17.2
25,New York Jets,16,6,15,,3,1,,1,26,1,2,23,24,29,36,,268,16.8
26,Miami Dolphins,16,14,12,1,,1,1,,29,2,2,26,26,21,23,,267,16.7
27,Carolina Panthers,16,7,19,,,1,1,,28,,1,27,27,24,28,,267,16.7
28,St. Louis Rams,16,5,19,1,,,2,,27,1,2,25,25,24,32,1,263,16.4
29,Atlanta Falcons,16,7,18,,,1,,,26,,1,25,25,26,34,,259,16.2
30,Buffalo Bills,16,8,12,1,1,1,2,,25,1,1,24,24,24,27,2,252,15.8
31,Kansas City Chiefs,16,6,17,,,1,,,24,1,3,21,21,19,27,1,226,14.1
32,San Francisco 49ers,16,8,15,,,1,,,24,,1,22,22,17,19,1,219,13.7
,Avg Team,,12.1,22.5,0.5,0.8,1.2,1.6,0.2,,0.9,1.8,36.4,36.8,24.8,30.0,0.6,347.0,21.7
,League Total,,386,720,17,25,37,52,6,1243,30,57,1165,1177,795,960,18,11104,
,Avg Tm/G,,0.75,1.41,0.03,0.05,0.07,0.10,0.01,2.43,0.06,0.11,2.28,2.30,1.55,1.88,0.04,21.7,
