Rk,Tm,G,RshTD,RecTD,PR TD,KR TD,FblTD,IntTD,OthTD,AllTD,2PM,2PA,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G
1,Denver Broncos,16,16,55,1,1,1,1,1,76,,1,75,75,25,26,,606,37.9
2,Chicago Bears,16,13,32,1,,1,5,,52,5,6,45,46,26,29,,445,27.8
3,New England Patriots,16,19,25,,,1,2,,47,2,3,44,44,38,41,,444,27.8
4,Philadelphia Eagles,16,19,32,,,1,1,,53,3,8,45,45,23,28,2,442,27.6
5,Dallas Cowboys,16,12,33,1,,3,2,,51,1,4,47,47,28,30,,439,27.4
6,Cincinnati Bengals,16,14,33,,,2,4,1,54,,1,52,53,18,22,,430,26.9
7,Kansas City Chiefs,16,17,24,2,2,,5,2,52,,0,52,52,22,28,,430,26.9
8,Green Bay Packers,16,17,25,1,,3,,,46,,4,42,42,33,37,,417,26.1
9,Seattle Seahawks,16,14,27,,,1,3,,45,,1,44,44,33,35,2,417,26.1
10,New Orleans Saints,16,10,39,,,,,,49,,1,48,48,24,32,,414,25.9
11,San Francisco 49ers,16,18,21,,,3,2,,44,,0,44,44,32,36,1,406,25.4
12,San Diego Chargers,16,9,32,,,,1,,42,,0,42,42,34,37,,396,24.8
13,Detroit Lions,16,15,29,1,1,1,1,,48,2,5,42,43,19,24,2,395,24.7
14,Minnesota Vikings,16,23,18,1,2,1,,,45,,1,43,44,26,30,,391,24.4
15,Indianapolis Colts,16,15,23,,,,1,1,40,4,6,34,34,35,40,2,391,24.4
16,Pittsburgh Steelers,16,9,28,1,,,3,,41,1,2,39,39,30,32,1,379,23.7
17,Arizona Cardinals,16,12,24,,,1,4,,41,1,4,37,37,30,36,2,379,23.7
18,Carolina Panthers,16,14,24,,,,4,,42,,0,42,42,24,27,,366,22.9
19,Tennessee Titans,16,16,22,,,2,1,,41,,0,41,41,25,29,,362,22.6
20,Atlanta Falcons,16,11,26,,,1,2,,40,1,1,39,39,24,27,,353,22.1
21,St. Louis Rams,16,10,22,1,,3,2,,38,3,4,34,34,26,28,1,348,21.8
22,Buffalo Bills,16,15,16,,,1,2,,34,2,2,32,32,33,36,,339,21.2
23,Washington Redskins,16,14,20,,,1,4,,39,2,5,33,33,21,26,,334,20.9
24,Oakland Raiders,16,16,17,,,2,1,1,37,,0,37,37,21,30,,322,20.1
25,Baltimore Ravens,16,7,19,1,1,,1,,29,3,3,26,26,38,41,,320,20.0
26,Miami Dolphins,16,8,24,,,,2,,34,,1,33,33,26,34,1,317,19.8
27,Cleveland Browns,16,4,26,1,,,3,1,35,2,2,33,33,21,26,,310,19.3
28,New York Giants,16,11,18,,,,2,1,32,1,1,31,31,23,26,,294,18.4
29,New York Jets,16,12,13,,,,1,1,27,,0,27,27,33,36,1,290,18.1
30,Tampa Bay Buccaneers,16,6,22,,,,3,,31,,0,31,31,23,29,1,288,18.0
31,Houston Texans,16,7,19,1,,,1,,28,1,1,26,26,26,35,1,276,17.3
32,Jacksonville Jaguars,16,7,16,,,1,1,,25,,2,22,23,23,25,3,247,15.4
,Avg Team,,12.8,25.1,0.4,0.2,0.9,2.0,0.3,,1.1,2.2,39.4,39.6,27.0,31.2,0.6,374.6,23.4
,League Total,,410,804,13,7,30,65,9,1338,34,69,1262,1267,863,998,20,11987,
,Avg Tm/G,,0.80,1.57,0.03,0.01,0.06,0.13,0.02,2.61,0.07,0.13,2.46,2.47,1.69,1.95,0.04,23.4,
