Rk,Tm,G,RshTD,RecTD,PR TD,KR TD,FblTD,IntTD,OthTD,AllTD,2PM,2PA,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G
1,San Francisco 49ers,16,22,29,1,,1,1,,54,,0,53,54,18,27,,431,26.9
2,Dallas Cowboys,16,20,23,2,,1,1,1,48,,0,47,48,24,35,1,409,25.6
3,Buffalo Bills,16,18,23,,,1,2,,44,,0,43,44,24,30,1,381,23.8
4,Minnesota Vikings,16,19,18,,,2,6,,45,,0,45,45,19,25,1,374,23.4
5,Philadelphia Eagles,16,19,20,1,,1,2,1,44,,0,40,44,16,25,1,354,22.1
6,Houston Oilers,16,10,27,,,3,1,,41,,0,41,41,21,27,1,352,22.0
7,Kansas City Chiefs,16,14,15,2,,2,6,1,40,,0,39,39,23,25,,348,21.8
8,Miami Dolphins,16,9,24,,,,3,,36,,0,34,36,30,37,,340,21.3
9,San Diego Chargers,16,18,16,,,1,1,,36,,0,35,35,26,32,3,335,20.9
10,New Orleans Saints,16,10,19,,,3,3,,35,,0,33,34,29,34,,330,20.6
11,Atlanta Falcons,16,3,33,,2,1,,,39,,0,39,39,18,22,,327,20.4
12,Los Angeles Rams,16,12,23,2,,,1,,38,,0,38,38,15,20,1,313,19.6
13,New York Giants,16,20,14,,1,,1,,36,,0,36,36,18,23,,306,19.1
14,Washington Redskins,16,10,15,2,,1,2,,30,,0,30,30,30,40,,300,18.8
15,Pittsburgh Steelers,16,13,15,1,,1,1,,31,,0,29,31,28,36,,299,18.7
16,Chicago Bears,16,15,17,,1,1,,,34,,0,34,34,19,26,,295,18.4
17,Green Bay Packers,16,7,20,1,,1,1,,30,,0,30,30,22,29,,276,17.3
18,Cincinnati Bengals,16,11,16,1,,2,1,,31,,0,31,31,19,28,,274,17.1
19,Detroit Lions,16,9,16,1,1,1,,2,30,,0,30,30,21,26,,273,17.1
20,Cleveland Browns,16,7,18,1,,3,1,,30,,0,29,30,21,29,,272,17.0
21,Tampa Bay Buccaneers,16,12,17,,,3,1,,33,,0,33,33,12,22,,267,16.7
22,Denver Broncos,16,11,16,,,1,1,,29,,0,28,28,20,25,,262,16.4
23,Los Angeles Raiders,16,7,20,,,,1,1,29,,0,28,28,15,26,1,249,15.6
24,Phoenix Cardinals,16,11,15,,,,3,,29,,0,28,29,13,26,1,243,15.2
25,New York Jets,16,8,12,,,,3,,23,,0,23,23,19,30,1,220,13.8
26,Indianapolis Colts,16,8,13,2,,,1,,24,,0,24,24,16,29,,216,13.5
27,New England Patriots,16,6,13,,1,2,3,,25,,0,22,24,11,17,,205,12.8
28,Seattle Seahawks,16,4,9,,,1,,,14,,0,14,14,14,22,,140,8.8
,Avg Team,,11.9,18.4,0.6,0.2,1.2,1.7,0.2,,,0.0,33.4,34.0,20.0,27.6,0.4,299.7,18.7
,League Total,,333,516,17,6,33,47,6,958,,0,936,952,561,773,12,8391,
,Avg Tm/G,,0.74,1.15,0.04,0.01,0.07,0.10,0.01,2.14,,0.00,2.09,2.13,1.25,1.73,0.03,18.7,
