Rk,Tm,G,RshTD,RecTD,PR TD,KR TD,FblTD,IntTD,OthTD,AllTD,2PM,2PA,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G
1,San Diego Chargers,16,32,24,,,3,,,59,1,1,58,58,26,29,,492,30.8
2,Indianapolis Colts,16,17,31,1,,1,,,50,1,2,47,48,26,29,,427,26.7
3,Chicago Bears,16,14,24,3,2,2,1,1,47,,0,47,47,32,36,1,427,26.7
4,Dallas Cowboys,16,21,26,1,,1,3,,52,2,3,49,49,20,28,,425,26.6
5,New Orleans Saints,16,19,27,1,,1,,1,49,2,2,46,47,23,26,,413,25.8
6,Philadelphia Eagles,16,13,31,,,1,4,,49,1,1,48,48,18,23,,398,24.9
7,New England Patriots,16,20,25,,1,,,,46,2,2,43,44,20,26,1,385,24.1
8,Cincinnati Bengals,16,14,28,,,,1,,43,,0,40,42,25,30,,373,23.3
9,Jacksonville Jaguars,16,23,17,,1,,1,,42,,0,41,41,26,32,,371,23.2
10,St. Louis Rams,16,13,24,,,1,1,,39,1,2,35,35,32,37,,367,22.9
11,New York Giants,16,14,24,,,1,2,,41,,1,38,38,23,27,1,355,22.2
12,Baltimore Ravens,16,11,21,,,1,5,,38,,1,37,37,28,30,2,353,22.1
13,Pittsburgh Steelers,16,16,23,1,,,2,,42,,0,41,41,20,27,,353,22.1
14,Seattle Seahawks,16,8,26,1,,1,1,,37,1,1,36,36,25,31,,335,20.9
15,Kansas City Chiefs,16,17,18,1,,,,1,37,1,1,35,36,24,31,,331,20.7
16,Tennessee Titans,16,15,13,3,,3,2,,36,3,3,32,32,22,28,2,324,20.3
17,Denver Broncos,16,12,20,,,,2,,34,,0,34,34,27,29,,319,19.9
18,New York Jets,16,15,17,,2,1,,,35,,0,34,35,24,27,,316,19.8
19,Arizona Cardinals,16,12,17,,1,2,1,,33,,1,32,32,28,37,,314,19.6
20,Washington Redskins,16,13,19,1,1,,,,34,2,2,31,31,22,30,1,307,19.2
21,Detroit Lions,16,9,21,,,,1,,31,,1,30,30,29,33,1,305,19.1
22,Green Bay Packers,16,9,18,,,1,4,,32,,0,31,32,26,35,,301,18.8
23,Buffalo Bills,16,9,19,1,,2,2,,33,,0,33,33,23,25,,300,18.8
24,San Francisco 49ers,16,12,16,,,1,1,,30,,0,29,29,29,35,1,298,18.6
25,Atlanta Falcons,16,9,21,,,1,1,,32,,1,31,31,23,32,,292,18.3
26,Minnesota Vikings,16,12,13,1,,3,3,,32,,3,27,28,21,25,,282,17.6
27,Carolina Panthers,16,7,19,,,,2,,28,,0,28,28,24,27,1,270,16.9
28,Houston Texans,16,13,14,,,2,1,,30,2,3,26,27,19,25,,267,16.7
29,Miami Dolphins,16,7,16,,,1,2,,26,2,4,22,22,26,36,,260,16.3
30,Cleveland Browns,16,7,15,,1,1,1,,25,,0,25,25,21,29,,238,14.9
31,Tampa Bay Buccaneers,16,6,14,,,,3,,23,,0,22,23,17,22,,211,13.2
32,Oakland Raiders,16,5,7,,,2,2,,16,,0,16,16,18,25,1,168,10.5
,Avg Team,,13.3,20.3,0.5,0.3,1.0,1.5,0.1,,0.7,1.1,35.1,35.5,24.0,29.4,0.4,330.5,20.7
,League Total,,424,648,15,9,33,49,3,1181,21,35,1124,1135,767,942,12,10577,
,Avg Tm/G,,0.83,1.27,0.03,0.02,0.06,0.10,0.01,2.31,0.04,0.07,2.20,2.22,1.50,1.84,0.02,20.7,
