Year,#Dr,1stD,1stDpass,1stDrun,1stPy,2PA,2PM,ANY/A,APYd,AY/A,AllTD,AvgDriveTime,AvgStartingPosition,Cmp,Cmp%,DefensivePtsScored,ExpectedPoints,ExpectedPointsPassing,ExpectedPointsRunning,ExpectedPoints_Defense,FG%,FGA019,FGA2029,FGA3039,FGA4049,FGA50Plus,FGM019,FGM2029,FGM3039,FGM4049,FGM50Plus,FL,Fmb,FmbTD,FumbleLostPercent,Int,Int%,Int%_Defense,Int%_Defense_High_Rank,Int%_Low_Rank,IntTD,IntTD_Defense,Int_Defense,Int_Defense_High_Rank,Int_Low_Rank,KickRet,KickRet_Defense,KickRet_Defense_Low_Rank,KickRet_High_Rank,KrTD,KrTD_Defense,KrTD_Defense_Low_Rank,KrTD_High_Rank,KrYds,KrYds_Defense,KrYds_Defense_Low_Rank,KrYds_High_Rank,NY/A,NY/A_Defense,NY/A_Defense_Low_Rank,NY/A_High_Rank,Oscore,Oscore_Rank,OthTD,OthTD_Defense,PF,PF_Defense,PF_Defense_Low_Rank,PF_Differential,PF_Differential_High_Rank,PF_High_Rank,PassAtt,PassAtt_Defense,PassAtt_Defense_Low_Rank,PassAtt_High_Rank,PassPercent,PassPercent_Defense,PassPercent_Defense_High_Rank,PassPercent_High_Rank,PassRun1dRatio,PassRun1dRatio_High_Rank,PassTD,PassTD%,PassTD%_Defense,PassTD%_Defense_Low_Rank,PassTD%_High_Rank,PassTD_Defense,PassTD_Defense_Low_Rank,PassTD_High_Rank,PassTdPercent,PassTdPercent_Defense,PassTdPercent_Defense_High_Rank,PassTdPercent_High_Rank,PassYdPercent,PassYdPercent_Defense,PassYdPercent_Defense_High_Rank,PassYdPercent_High_Rank,PassYds,PassYds_Defense,PassYds_Defense_Low_Rank,PassYds_High_Rank,Pen,PenYds,PenYds_Defense,PenYds_Defense_Low_Rank,PenYds_Low_Rank,Pen_Defense,Pen_Defense_Low_Rank,Pen_Low_Rank,Penalty1dPercent,Penalty1dPercent_Defense,Penalty1dPercent_Defense_High_Rank,Penalty1dPercent_High_Rank,Plays/Drive,Plays/Drive_Defense,Plays/Drive_Defense_Low_Rank,Plays/Drive_High_Rank,Ply,Ply_Defense,Ply_Defense_Low_Rank,Ply_High_Rank,Pnt,PntBlck,PntBlck_Defense,PntBlck_Defense_Low_Rank,PntBlck_Low_Rank,PntRet_Defense,PntRet_Defense_Low_Rank,PntYds,PntYds_Defense,PntYds_Defense_Low_Rank,PntYds_High_Rank,Pnt_Defense,Pnt_Defense_Low_Rank,Pnt_High_Rank,PrTD,PrTD_Defense,PrTD_Defense_Low_Rank,PrTD_High_Rank,PrYds,PrYds_Defense,PrYds_Defense_Low_Rank,PrYds_High_Rank,Pts/Drive,Pts/Drive_Defense,Pts/Drive_Defense_Low_Rank,Pts/Drive_High_Rank,PuntRet,PuntRet_High_Rank,QbRating,QbRating_Defense,QbRating_Defense_Low_Rank,QbRating_High_Rank,RawPassYds,RawPassYds_High_Rank,RunPass1dRatio,RunPass1dRatio_High_Rank,RunPercent,RunPercent_Defense,RunPercent_Defense_High_Rank,RunPercent_High_Rank,RunTdPercent,RunTdPercent_Defense,RunTdPercent_Defense_High_Rank,RunTdPercent_High_Rank,RunYdPercent,RunYdPercent_Defense,RunYdPercent_Defense_High_Rank,RunYdPercent_High_Rank,RushAtt,RushAtt_Defense,RushAtt_Defense_Low_Rank,RushAtt_High_Rank,RushTD,RushTD_Defense,RushTD_Defense_Low_Rank,RushTD_High_Rank,RushYds,RushYds_Defense,RushYds_Defense_Low_Rank,RushYds_High_Rank,STscore,STscore_Rank,Sc%,Sc%_Defense,Sc%_Defense_Low_Rank,Sc%_High_Rank,Sfty,Sfty_Defense,Sk,Sk%,Sk%_Defense,Sk%_Defense_High_Rank,Sk%_Low_Rank,SkYds,SkYds_Defense,SkYds_Defense_High_Rank,SkYds_Low_Rank,Sk_Defense,Sk_Defense_High_Rank,Sk_Low_Rank,TFGA,TFGA_Defense,TFGA_Defense_Low_Rank,TFGA_High_Rank,TFGM,TFGM_Defense,TFGM_Defense_Low_Rank,TFGM_High_Rank,TO,TO%,TO%_Defense,TO%_Defense_High_Rank,TO%_Low_Rank,TO_Defense,TO_Defense_High_Rank,TO_Differential,TO_Differential_High_Rank,TO_Low_Rank,ThreePhaseScore,ThreePhaseScore_Rank,TimeOfPossession,TimeOfPossession_Defense,TimeOfPossession_High_Rank,TotalYds,TotalYds_Defense,TotalYds_Defense_Low_Rank,TotalYds_High_Rank,XP%,XP%_Defense,XP%_Defense_Low_Rank,XP%_High_Rank,XPA,XPA_Defense,XPA_Defense_Low_Rank,XPA_High_Rank,XPM,XPM_Defense,XPM_Defense_Low_Rank,XPM_High_Rank,Y/Apass,Y/Apass_Defense,Y/Apass_Defense_Low_Rank,Y/Apass_High_Rank,Y/Arun,Y/Arun_Defense,Y/Arun_Defense_Low_Rank,Y/Arun_High_Rank,Y/C,Y/C_Defense,Y/C_Defense_Low_Rank,Y/C_High_Rank,Y/KR,Y/KR_Defense,Y/KR_Defense_Low_Rank,Y/KR_High_Rank,Y/PR,Y/PR_Defense,Y/PR_Defense_Low_Rank,Y/PR_High_Rank,Y/Play,Y/Play_Defense,Y/Play_Defense_Low_Rank,Y/Play_High_Rank,Y/Pnt,Y/Pnt_Defense,Y/Pnt_Defense_Low_Rank,Y/Pnt_High_Rank,Yds/Drive,Yds/Drive_Defense,Yds/Drive_Defense_Low_Rank,Yds/Drive_High_Rank,Yds_Differential,Yds_Differential_High_Rank,YppYprRatio,YppYprRatio_Defense,YppYprRatio_Defense_High_Rank,YppYprRatio_High_Rank
1993,,290.2,167.7,102.4,20,0,0,5.1,6544.5,5.9,32.35714286,,,298.3,57.9,16.6,,,,,76.6,1,8.8,9,7.9,4.3,1,8.2,7.8,4.9,2.2,13.7,27.1,1.1,0.505535055,16.8,3.3,3.3,14.5,14.5,1.3,1.3,16.8,14.5,14.5,49.3,49.3,14.5,14.5,0.1,0.1,14.5,14.5,960.3,960.3,14.5,14.5,5.8,5.8,14.5,14.5,14.5,14.5,0.1,0.1,299.2,299.2,14.5,0,14.5,14.5,514.8,514.8,14.5,14.5,0.549477872,0.549477872,14.5,14.5,1.637695312,14.5,18.5,3.6,3.6,14.5,14.5,18.5,14.5,14.5,0.629251701,0.629251701,14.5,14.5,0.645796028,0.645796028,14.5,14.5,3209.8,3209.8,14.5,14.5,96.35714286,736.8928571,736.8928571,14.5,14.5,96.35714286,14.5,14.5,0.068917988,0.068917988,14.5,14.5,,,,,1005.5,1005.5,14.5,14.5,75.6,0.4,0.4,14.5,14.5,37.3,14.5,3207.6,3207.6,14.5,14.5,75.6,14.5,14.5,0.5,0.5,14.5,14.5,339.3,339.3,14.5,14.5,,,,,37.3,14.5,74.7,74.7,14.5,14.5,3446.1,14.5,0.610614192,14.5,0.450522128,0.450522128,14.5,14.5,0.370748299,0.370748299,14.5,14.5,0.354203972,0.354203972,14.5,14.5,453,453,14.5,14.5,10.9,10.9,14.5,14.5,1760.5,1760.5,14.5,14.5,14.5,14.5,0,0,14.5,14.5,0.8,0.8,37.7,6.8,6.8,14.5,14.5,236.3,236.3,14.5,14.5,37.7,14.5,14.5,31.4,31.4,14.5,14.5,24,24,14.5,14.5,30.4,0,0,14.5,14.5,30.4,14.5,0,14.5,14.5,14.5,14.5,,,,4970.3,4970.3,14.5,14.5,97.2,97.2,14.5,14.5,32.2,32.2,14.5,14.5,31.3,31.3,14.5,14.5,6.7,6.7,14.5,14.5,3.9,3.9,14.5,14.5,11.6,11.6,14.5,14.5,19.5,19.5,14.5,14.5,9.1,9.1,14.5,14.5,4.9,4.9,14.5,14.5,42.4,42.4,14.5,14.5,,,,,0,14.5,1.717948718,1.717948718,14.5,14.5
1994,,297.6,176.6,97,24,4,2.1,5.4,7086.5,6.1,36.42857143,,,312.1,58,14.8,,,,,78.9,0.8,8.5,9.1,8.1,2.4,0.8,8.2,7.6,5.4,0.9,12.8,25.8,0.7,0.496124031,16.9,3.1,3.1,14.5,14.5,1.6,1.6,16.9,14.5,14.5,65.8,65.8,14.5,14.5,0.6,0.6,14.5,14.5,1396.3,1396.3,14.5,14.5,6,6,14.5,14.5,14.5,14.5,0,0,324.1,324.1,14.5,0,14.5,14.5,537.7,537.7,14.5,14.5,0.560329606,0.560329606,14.5,14.5,1.820618557,14.5,20.8,3.9,3.9,14.5,14.5,20.8,14.5,14.5,0.632218845,0.632218845,14.5,14.5,0.671975462,0.671975462,14.5,14.5,3417.6,3417.6,14.5,14.5,103.8571429,836.9642857,836.9642857,14.5,14.5,103.8571429,14.5,14.5,0.080645161,0.080645161,14.5,14.5,,,,,1019.4,1019.4,14.5,14.5,78.2,0.2,0.2,14.5,14.5,38.4,14.5,3264.4,3264.4,14.5,14.5,78.2,14.5,14.5,0.6,0.6,14.5,14.5,343,343,14.5,14.5,,,,,38.4,14.5,76.7,76.7,14.5,14.5,3638.7,14.5,0.549263873,14.5,0.439670394,0.439670394,14.5,14.5,0.367781155,0.367781155,14.5,14.5,0.328024538,0.328024538,14.5,14.5,448.2,448.2,14.5,14.5,12.1,12.1,14.5,14.5,1668.2,1668.2,14.5,14.5,14.5,14.5,0,0,14.5,14.5,0.5,0.5,33.5,5.9,5.9,14.5,14.5,221.1,221.1,14.5,14.5,33.5,14.5,14.5,29,29,14.5,14.5,22.9,22.9,14.5,14.5,29.7,0,0,14.5,14.5,29.7,14.5,0,14.5,14.5,14.5,14.5,,,,5085.9,5085.9,14.5,14.5,98.8,98.8,14.5,14.5,32.2,32.2,14.5,14.5,31.8,31.8,14.5,14.5,6.8,6.8,14.5,14.5,3.7,3.7,14.5,14.5,11.7,11.7,14.5,14.5,21.2,21.2,14.5,14.5,8.9,8.9,14.5,14.5,5,5,14.5,14.5,41.8,41.8,14.5,14.5,,,,,0,14.5,1.837837838,1.837837838,14.5,14.5
1995,,309.5,185.6,100.7,23.2,3.4,1.3,5.4,7338.3,6.2,38.7,,,323.9,58.2,19.4,,,,,77.4,0.6,8.8,10.6,8.7,3,0.6,8.1,8.7,5.6,1.5,13.5,25.9,1.3,0.521235521,17.1,3.1,3.1,15.5,15.5,1.7,1.7,17.1,15.5,15.5,68.1,68.1,15.5,15.5,0.3,0.3,15.5,15.5,1458.9,1458.9,15.5,15.5,6,6,15.5,15.5,15.5,15.5,0.1,0.1,343.8,343.8,15.5,0,15.5,15.5,556.6,556.6,15.5,15.5,0.573849879,0.573849879,15.5,15.5,1.843098312,15.5,22.1,4,4,15.5,15.5,22.1,15.5,15.5,0.633237822,0.633237822,15.5,15.5,0.671309933,0.671309933,15.5,15.5,3532.5,3532.5,15.5,15.5,102.8333333,819.9,819.9,15.5,15.5,102.8333333,15.5,15.5,0.074959612,0.074959612,15.5,15.5,,,,,1032.5,1032.5,15.5,15.5,73.1,0.4,0.4,15.5,15.5,34.7,15.5,3071,3071,15.5,15.5,73.1,15.5,15.5,0.3,0.3,15.5,15.5,327.3,327.3,15.5,15.5,,,,,34.7,15.5,77.5,77.5,15.5,15.5,3768.9,15.5,0.542564655,15.5,0.426150121,0.426150121,15.5,15.5,0.366762178,0.366762178,15.5,15.5,0.328690067,0.328690067,15.5,15.5,440,440,15.5,15.5,12.8,12.8,15.5,15.5,1729.5,1729.5,15.5,15.5,15.5,15.5,0,0,15.5,15.5,0.4,0.4,35.9,6.1,6.1,15.5,15.5,236.4,236.4,15.5,15.5,35.9,15.5,15.5,31.8,31.8,15.5,15.5,24.6,24.6,15.5,15.5,30.6,0,0,15.5,15.5,30.6,15.5,0,15.5,15.5,15.5,15.5,,,,5262.1,5262.1,15.5,15.5,98.2,98.2,15.5,15.5,35,35,15.5,15.5,34.3,34.3,15.5,15.5,6.8,6.8,15.5,15.5,3.9,3.9,15.5,15.5,11.6,11.6,15.5,15.5,21.4,21.4,15.5,15.5,9.4,9.4,15.5,15.5,5.1,5.1,15.5,15.5,42,42,15.5,15.5,,,,,0,15.5,1.743589744,1.743589744,15.5,15.5
1996,,298.6,174.8,99.4,24.4,3,1.5,5.1,7120.3,5.9,36.13333333,,,306.6,57.6,15.8,,,,,80,0.7,9.4,9.6,8.9,1.9,0.7,8.9,8.1,5.7,1,12.6,25.9,0.9,0.486486486,18.1,3.4,3.4,15.5,15.5,1.4,1.4,18.1,15.5,15.5,64,64,15.5,15.5,0.3,0.3,15.5,15.5,1405.4,1405.4,15.5,15.5,5.8,5.8,15.5,15.5,15.5,15.5,0.1,0.1,326.8,326.8,15.5,0,15.5,15.5,532.2,532.2,15.5,15.5,0.556740364,0.556740364,15.5,15.5,1.758551308,15.5,20.9,3.9,3.9,15.5,15.5,20.9,15.5,15.5,0.633333333,0.633333333,15.5,15.5,0.655598135,0.655598135,15.5,15.5,3318.9,3318.9,15.5,15.5,105.8333333,841.6333333,841.6333333,15.5,15.5,105.8333333,15.5,15.5,0.081714668,0.081714668,15.5,15.5,,,,,1022.2,1022.2,15.5,15.5,77.5,0.4,0.4,15.5,15.5,37.8,15.5,3341.7,3341.7,15.5,15.5,77.5,15.5,15.5,0.4,0.4,15.5,15.5,379.9,379.9,15.5,15.5,,,,,37.8,15.5,75,75,15.5,15.5,3555.4,15.5,0.568649886,15.5,0.443259636,0.443259636,15.5,15.5,0.366666667,0.366666667,15.5,15.5,0.344401865,0.344401865,15.5,15.5,453.1,453.1,15.5,15.5,12.1,12.1,15.5,15.5,1743.5,1743.5,15.5,15.5,15.5,15.5,0,0,15.5,15.5,0.7,0.7,36.9,6.5,6.5,15.5,15.5,236.5,236.5,15.5,15.5,36.9,15.5,15.5,30.5,30.5,15.5,15.5,24.4,24.4,15.5,15.5,30.6,0,0,15.5,15.5,30.6,15.5,0,15.5,15.5,15.5,15.5,,,,5062.4,5062.4,15.5,15.5,98.6,98.6,15.5,15.5,33,33,15.5,15.5,32.6,32.6,15.5,15.5,6.7,6.7,15.5,15.5,3.8,3.8,15.5,15.5,11.6,11.6,15.5,15.5,22,22,15.5,15.5,10,10,15.5,15.5,5,5,15.5,15.5,43.1,43.1,15.5,15.5,,,,,0,15.5,1.763157895,1.763157895,15.5,15.5
1997,,292.3,169.4,99.2,23.7,3.5,1.6,5.2,7143.6,6.1,37.33333333,,,294.8,56.2,18.8,,,,,78.1,0.7,8.6,9.3,9,2.6,0.7,8.1,7.8,5.6,1.4,12.7,26.6,1.2,0.477443609,16,3,3,15.5,15.5,1.6,1.6,16,15.5,15.5,63,63,15.5,15.5,0.5,0.5,15.5,15.5,1386.2,1386.2,15.5,15.5,5.7,5.7,15.5,15.5,15.5,15.5,0.2,0.2,331.9,331.9,15.5,0,15.5,15.5,524.3,524.3,15.5,15.5,0.554521407,0.554521407,15.5,15.5,1.70766129,15.5,20.6,3.9,3.9,15.5,15.5,20.6,15.5,15.5,0.616766467,0.616766467,15.5,15.5,0.640994085,0.640994085,15.5,15.5,3229.2,3229.2,15.5,15.5,103.3333333,861.5,861.5,15.5,15.5,103.3333333,15.5,15.5,0.081081081,0.081081081,15.5,15.5,,,,,1020.7,1020.7,15.5,15.5,82.4,0.5,0.5,15.5,15.5,40.7,15.5,3542.7,3542.7,15.5,15.5,82.4,15.5,15.5,0.5,0.5,15.5,15.5,403.5,403.5,15.5,15.5,,,,,40.7,15.5,75,75,15.5,15.5,3509.6,15.5,0.585596222,15.5,0.445478593,0.445478593,15.5,15.5,0.383233533,0.383233533,15.5,15.5,0.359005915,0.359005915,15.5,15.5,454.6,454.6,15.5,15.5,12.8,12.8,15.5,15.5,1808.7,1808.7,15.5,15.5,15.5,15.5,0,0,15.5,15.5,0.4,0.4,41.7,7.4,7.4,15.5,15.5,280.4,280.4,15.5,15.5,41.7,15.5,15.5,30.2,30.2,15.5,15.5,23.6,23.6,15.5,15.5,28.6,0,0,15.5,15.5,28.6,15.5,0,15.5,15.5,15.5,15.5,,,,5037.8,5037.8,15.5,15.5,98.6,98.6,15.5,15.5,33.6,33.6,15.5,15.5,33.1,33.1,15.5,15.5,6.7,6.7,15.5,15.5,4,4,15.5,15.5,11.9,11.9,15.5,15.5,22,22,15.5,15.5,9.9,9.9,15.5,15.5,4.9,4.9,15.5,15.5,43,43,15.5,15.5,,,,,0,15.5,1.675,1.675,15.5,15.5
1998,187.7333333,291.3,167.5,96.6,27.2,3.3,1.4,5.3,7150.7,6.2,38.56666667,150.0666667,30.78,292.2,56.6,18.6,,,,,79.6,0.7,7.7,8.5,9.9,2.9,0.7,7.3,7.2,6.9,1.6,11.7,24.1,1,0.485477178,17,3.3,3.3,15.5,15.5,1.8,1.8,17,15.5,15.5,61.9,61.9,15.5,15.5,0.6,0.6,15.5,15.5,1378.3,1378.3,15.5,15.5,5.9,5.9,15.5,15.5,15.5,15.5,0.1,0.1,340.5,340.5,15.5,0,15.5,15.5,516.3,516.3,15.5,15.5,0.551645519,0.551645519,15.5,15.5,1.733954451,15.5,21.9,4.2,4.2,15.5,15.5,21.9,15.5,15.5,0.634782609,0.634782609,15.5,15.5,0.645240625,0.645240625,15.5,15.5,3279.5,3279.5,15.5,15.5,111.6,922,922,15.5,15.5,111.6,15.5,15.5,0.093374528,0.093374528,15.5,15.5,5.406666667,5.413333333,15.5,15.5,1008.8,1008.8,15.5,15.5,81.4,0.3,0.3,15.5,15.5,39,15.5,3532.9,3532.9,15.5,15.5,81.4,15.5,15.5,0.5,0.5,15.5,15.5,390.2,390.2,15.5,15.5,1.623333333,1.647666667,15.5,15.5,39,15.5,76.2,76.2,15.5,15.5,3536.2,15.5,0.576716418,15.5,0.448354481,0.448354481,15.5,15.5,0.365217391,0.365217391,15.5,15.5,0.354759375,0.354759375,15.5,15.5,452.3,452.3,15.5,15.5,12.6,12.6,15.5,15.5,1803.1,1803.1,15.5,15.5,15.5,15.5,30.31666667,30.69,15.5,15.5,0.6,0.6,40.2,7.2,7.2,15.5,15.5,256.7,256.7,15.5,15.5,40.2,15.5,15.5,29.6,29.6,15.5,15.5,23.6,23.6,15.5,15.5,28.7,14.30666667,14.19333333,15.5,15.5,28.7,15.5,0,15.5,15.5,15.5,15.5,28172.51556,28241.35111,15.5,5082.6,5082.6,15.5,15.5,98.3,98.3,15.5,15.5,35,35,15.5,15.5,34.4,34.4,15.5,15.5,6.8,6.8,15.5,15.5,4,4,15.5,15.5,12.1,12.1,15.5,15.5,22.3,22.3,15.5,15.5,10,10,15.5,15.5,5,5,15.5,15.5,43.4,43.4,15.5,15.5,26.43,26.6,15.5,15.5,0,15.5,1.7,1.7,15.5,15.5
1999,196.483871,290,172.4,93.3,24.3,2.6,1,5.2,7162.5,6,37.19354839,147.1935484,31.47741935,308.6,57.1,20,,,,,77.7,0.8,8.4,9.3,9.7,2.8,0.8,8,7.5,6.6,1.4,12.6,25.8,1.1,0.488372093,18.1,3.4,3.4,16,16,1.9,1.9,18.1,16,16,65.6,65.6,16,16,0.4,0.4,16,16,1393.4,1393.4,16,16,5.8,5.8,16,16,16,16,0.1,0.1,333,333,16,0,16,16,540.6,540.6,16,16,0.570628684,0.570628684,16,16,1.847802787,16,21.5,4,4,16,16,21.5,16,16,0.647590361,0.647590361,16,16,0.665921612,0.665921612,16,16,3396.4,3396.4,16,16,105.2258065,873.6774194,873.6774194,16,16,105.2258065,16,16,0.083793103,0.083793103,16,16,5.358064516,5.348387097,16,16,1018,1018,16,16,83.2,0.4,0.4,16,16,39.6,16,3482.1,3482.1,16,16,83.2,16,16,0.5,0.5,16,16,370.9,370.9,16,16,1.556129032,1.556129032,16,16,39.6,16,75.1,75.1,16,16,3653.3,16,0.541183295,16,0.429371316,0.429371316,16,16,0.352409639,0.352409639,16,16,0.334078388,0.334078388,16,16,437,437,16,16,11.7,11.7,16,16,1703.8,1703.8,16,16,16,16,29.2516129,29.24516129,16,16,0.7,0.7,40.3,6.9,6.9,16,16,256.9,256.9,16,16,40.3,16,16,31.1,31.1,16,16,24.2,24.2,16,16,30.7,14.56774194,14.50967742,16,16,30.7,16,0,16,16,16,16,28921.15817,28908.48179,16,5100.3,5100.3,16,16,98.9,98.9,16,16,34.3,34.3,16,16,33.9,33.9,16,16,6.8,6.8,16,16,3.9,3.9,16,16,11.8,11.8,16,16,21.2,21.2,16,16,9.4,9.4,16,16,5,5,16,16,41.9,41.9,16,16,25.95483871,25.92580645,16,16,0,16,1.743589744,1.743589744,16,16
2000,190.1612903,294.8,171.5,98,25.3,2.5,1.1,5.2,7195.8,6.1,37.12903226,152.3225806,31.58387097,306.4,58.2,15.4,-42.2383871,4.000645161,-37,42.2383871,79.7,1,7.7,9.1,9.6,2.2,0.9,7.2,7.5,6.7,1.2,13,25,0.6,0.52,17.1,3.3,3.3,16,16,1.6,1.6,17.1,16,16,65.8,65.8,16,16,0.5,0.5,16,16,1442.8,1442.8,16,16,5.8,5.8,16,16,16,16,0.2,0.2,330.8,330.8,16,0,16,16,526.5,526.5,16,16,0.561985112,0.561985112,16,16,1.75,16,20.5,3.9,3.9,16,16,20.5,16,16,0.606508876,0.606508876,16,16,0.647628551,0.647628551,16,16,3309.9,3309.9,16,16,101.2903226,843,843,16,16,101.2903226,16,16,0.085820896,0.085820896,16,16,5.467741935,5.464516129,16,16,1007.5,1007.5,16,16,79.7,0.5,0.5,16,16,36.8,16,3338.8,3338.8,16,16,79.7,16,16,0.5,0.5,16,16,367.6,367.6,16,16,1.620645161,1.622580645,16,16,36.8,16,76.2,76.2,16,16,3552.6,16,0.571428571,16,0.438014888,0.438014888,16,16,0.393491124,0.393491124,16,16,0.352371449,0.352371449,16,16,441.2,441.2,16,16,13.3,13.3,16,16,1800.9,1800.9,16,16,16,16,30.25483871,30.27741935,16,16,0.5,0.5,39.7,7,7,16,16,242.7,242.7,16,16,39.7,16,16,29.6,29.6,16,16,23.6,23.6,16,16,30.1,14.70645161,14.66129032,16,16,30.1,16,0,16,16,16,16,28965.85848,29002.66389,16,5110.8,5110.8,16,16,99.1,99.1,16,16,34.3,34.3,16,16,34,34,16,16,6.7,6.7,16,16,4.1,4.1,16,16,11.6,11.6,16,16,21.9,21.9,16,16,10,10,16,16,5.1,5.1,16,16,41.9,41.9,16,16,26.86129032,26.89032258,16,16,0,16,1.634146341,1.634146341,16,16
2001,189.8387097,288.2,170.1,95.5,22.6,2.7,1.3,5.2,7116.1,6,36.12903226,152.7741935,31.37419355,307.8,59,19.8,-45.1883871,1.198709677,-37.8,45.1883871,76.3,0.3,8.6,8.7,10.9,2.4,0.3,8.2,7.4,6.5,1.2,12.4,26.6,1.1,0.466165414,17.6,3.4,3.4,16,16,1.9,1.9,17.6,16,16,64.4,64.4,16,16,0.3,0.3,16,16,1393.8,1393.8,16,16,5.9,5.9,16,16,16,16,0.2,0.2,323.4,323.4,16,0,16,16,522,522,16,16,0.559816257,0.559816257,16,16,1.781151832,16,20.5,3.9,3.9,16,16,20.5,16,16,0.634674923,0.634674923,16,16,0.648042824,0.648042824,16,16,3292.9,3292.9,16,16,92.74193548,784.6774194,784.6774194,16,16,92.74193548,16,16,0.078417765,0.078417765,16,16,5.44516129,5.451612903,16,16,1001.4,1001.4,16,16,80,0.4,0.4,16,16,37.4,16,3368.7,3368.7,16,16,80,16,16,0.4,0.4,16,16,365.7,365.7,16,16,1.567741935,1.568709677,16,16,37.4,16,76.6,76.6,16,16,3536.7,16,0.56143445,16,0.440183743,0.440183743,16,16,0.365325077,0.365325077,16,16,0.351957176,0.351957176,16,16,440.8,440.8,16,16,11.8,11.8,16,16,1788.4,1788.4,16,16,16,16,29.50645161,29.52580645,16,16,0.3,0.3,38.6,6.9,6.9,16,16,243.8,243.8,16,16,38.6,16,16,30.9,30.9,16,16,23.6,23.6,16,16,29.9,14.46451613,14.46129032,16,16,29.9,16,0,16,16,16,16,29002.45578,28971.83663,16,5081.3,5081.3,16,16,98.1,98.1,16,16,33.1,33.1,16,16,32.5,32.5,16,16,6.8,6.8,16,16,4.1,4.1,16,16,11.5,11.5,16,16,21.6,21.6,16,16,9.8,9.8,16,16,5.1,5.1,16,16,42.1,42.1,16,16,26.70322581,26.67419355,16,16,0,16,1.658536585,1.658536585,16,16
2002,188.4375,304,175.9,102,26,2.5,1.5,5.3,7365.5,6.1,39.6875,154.8125,31.53125,322.3,59.6,15.2,-13.913125,18.4446875,-21.3,13.913125,77.5,0.4,8,9.1,9.5,2.6,0.4,7.6,7.6,6.1,1.4,12.5,24.9,0.8,0.502008032,16.5,3.1,3.1,16.5,16.5,1.4,1.4,16.5,16.5,16.5,68.9,68.9,16.5,16.5,0.5,0.5,16.5,16.5,1500.6,1500.6,16.5,16.5,5.9,5.9,16.5,16.5,16.5,16.5,0.2,0.2,346.8,346.8,16.5,0,16.5,16.5,540.4,540.4,16.5,16.5,0.567007271,0.567007271,16.5,16.5,1.724509804,16.5,21.7,4,4,16.5,16.5,21.7,16.5,16.5,0.601108033,0.601108033,16.5,16.5,0.646332179,0.646332179,16.5,16.5,3395.7,3395.7,16.5,16.5,104,863.90625,863.90625,16.5,16.5,104,16.5,16.5,0.085526316,0.085526316,16.5,16.5,5.571875,5.578125,16.5,16.5,1017.8,1017.8,16.5,16.5,76.5,0.7,0.7,16.5,16.5,36,16.5,3158.8,3158.8,16.5,16.5,76.5,16.5,16.5,0.7,0.7,16.5,16.5,342.8,342.8,16.5,16.5,1.7196875,1.7140625,16.5,16.5,36,16.5,78.6,78.6,16.5,16.5,3631.3,16.5,0.579874929,16.5,0.432992729,0.432992729,16.5,16.5,0.398891967,0.398891967,16.5,16.5,0.353667821,0.353667821,16.5,16.5,440.7,440.7,16.5,16.5,14.4,14.4,16.5,16.5,1858.1,1858.1,16.5,16.5,16.5,16.5,31.5875,31.475,16.5,16.5,0.4,0.4,36.7,6.4,6.4,16.5,16.5,235.6,235.6,16.5,16.5,36.7,16.5,16.5,29.7,29.7,16.5,16.5,23,23,16.5,16.5,29,14.31875,14.39375,16.5,16.5,29,16.5,0,16.5,16.5,16.5,16.5,29172.48047,29178.36914,16.5,5253.8,5253.8,16.5,16.5,98.5,98.5,16.5,16.5,36.4,36.4,16.5,16.5,35.9,35.9,16.5,16.5,6.7,6.7,16.5,16.5,4.2,4.2,16.5,16.5,11.3,11.3,16.5,16.5,21.8,21.8,16.5,16.5,9.5,9.5,16.5,16.5,5.2,5.2,16.5,16.5,41.3,41.3,16.5,16.5,27.9375,27.890625,16.5,16.5,0,16.5,1.595238095,1.595238095,16.5,16.5
