Tm,Cmp%_Defense,PassTD%_Defense,Int%_Defense,Y/Apass_Defense,AY/A_Defense,Y/C_Defense,QbRating_Defense,Sk_Defense,SkYds_Defense,ANY/A_Defense,Sk%_Defense
Washington Redskins,51.4,4.1,4.9,6.7,5.3,13.1,65.9,52.0,378.0,4.0,10.1
Pittsburgh Steelers,59.3,3.7,4.1,6.4,5.3,10.8,73.3,36.0,305.0,4.3,6.9
Chicago Bears,47.7,3.1,6.5,6.3,4.0,13.2,51.2,64.0,483.0,2.7,10.9
New York Giants,52.0,3.7,4.5,6.3,5.0,12.1,65.5,68.0,539.0,3.6,11.3
Detroit Lions,59.2,3.3,3.8,6.8,5.8,11.5,75.1,45.0,336.0,4.6,8.6
Philadelphia Eagles,52.5,3.8,3.8,6.9,5.9,13.1,71.4,53.0,359.0,4.7,10.0
Los Angeles Raiders,49.1,4.3,3.3,6.8,6.2,13.9,71.9,65.0,488.0,4.6,11.3
St. Louis Cardinals,54.9,7.4,2.8,7.1,7.3,12.9,90.1,32.0,254.0,6.3,6.5
New England Patriots,49.9,2.7,4.4,6.5,5.0,13.0,61.2,51.0,334.0,4.0,8.9
Los Angeles Rams,54.0,3.5,5.3,6.4,4.7,11.8,63.1,56.0,421.0,3.5,9.3
Buffalo Bills,55.6,5.0,4.2,6.9,6.0,12.5,76.5,25.0,223.0,5.3,5.0
Cleveland Browns,56.8,3.5,3.5,6.8,5.9,12.0,74.8,44.0,353.0,4.8,8.0
Green Bay Packers,58.0,4.3,2.9,6.9,6.4,11.9,81.2,48.0,383.0,5.2,8.6
Denver Broncos,50.6,4.0,4.4,6.6,5.4,12.9,66.7,47.0,378.0,4.3,7.9
Minnesota Vikings,57.1,4.1,4.5,7.1,5.9,12.4,74.1,33.0,223.0,5.1,6.3
New York Jets,52.7,3.4,4.3,7.2,5.9,13.6,68.9,49.0,370.0,4.7,8.8
Seattle Seahawks,55.0,4.4,4.8,7.6,6.3,13.9,74.4,61.0,464.0,4.8,11.0
Houston Oilers,56.3,6.3,3.2,7.9,7.7,14.1,89.3,41.0,313.0,6.5,8.2
Indianapolis Colts,54.6,4.8,3.2,7.4,6.9,13.5,81.0,36.0,267.0,6.0,6.7
Kansas City Chiefs,57.6,3.8,4.7,6.5,5.2,11.3,70.5,37.0,263.0,4.4,6.0
San Francisco 49ers,55.7,1.8,2.9,6.4,5.4,11.5,68.9,60.0,457.0,4.3,8.8
Miami Dolphins,52.8,4.3,4.7,7.8,6.5,14.7,73.2,38.0,278.0,5.5,7.2
New Orleans Saints,57.8,4.9,4.0,7.5,6.7,13.0,81.4,46.0,322.0,5.6,8.0
Cincinnati Bengals,57.3,5.0,3.7,7.7,7.1,13.5,83.5,40.0,334.0,6.0,7.2
Tampa Bay Buccaneers,63.0,3.6,3.6,7.8,6.9,12.4,84.2,35.0,277.0,6.0,6.5
Dallas Cowboys,50.8,3.6,6.0,7.7,5.7,15.1,63.5,62.0,459.0,4.4,10.1
Atlanta Falcons,54.0,6.0,4.1,7.7,7.1,14.3,82.1,42.0,331.0,6.0,7.3
San Diego Chargers,60.0,4.7,4.4,7.7,6.7,12.9,81.8,40.0,304.0,5.8,6.3
Avg Team,54.8,4.1,4.2,7.0,6.0,12.8,70.7,46.6,353.4,4.9,8.3
