Tm,Cmp%_Defense,PassTD%_Defense,Int%_Defense,Y/Apass_Defense,AY/A_Defense,Y/C_Defense,QbRating_Defense,Sk_Defense,SkYds_Defense,ANY/A_Defense,Sk%_Defense
Philadelphia Eagles,44.1,3.4,5.6,6.0,4.2,13.6,52.1,55.0,394.0,3.0,10.5
New Orleans Saints,52.7,2.4,5.9,6.2,4.1,11.8,55.5,50.0,337.0,3.1,9.2
Denver Broncos,51.7,2.5,4.8,6.5,4.8,12.6,60.6,52.0,346.0,3.7,9.8
Indianapolis Colts,61.9,5.7,3.9,7.7,7.1,12.5,88.7,29.0,202.0,6.2,7.0
Tampa Bay Buccaneers,58.7,3.4,2.5,7.1,6.7,12.2,81.7,39.0,258.0,5.6,8.2
New York Giants,57.0,3.9,2.7,7.1,6.7,12.5,80.8,34.0,254.0,5.6,7.2
Phoenix Cardinals,60.0,2.7,3.8,6.9,5.7,11.5,73.8,25.0,153.0,5.1,5.3
Chicago Bears,55.8,3.7,3.3,6.2,5.5,11.1,72.9,40.0,257.0,4.6,7.2
Washington Redskins,53.3,2.4,4.9,6.0,4.3,11.3,58.9,50.0,345.0,3.3,8.4
Seattle Seahawks,57.3,3.5,3.5,6.4,5.5,11.1,73.4,36.0,269.0,4.6,6.5
San Francisco 49ers,53.5,3.2,2.4,6.5,6.1,12.2,74.5,31.0,212.0,5.3,5.8
Miami Dolphins,61.9,3.7,2.5,6.9,6.5,11.2,84.5,35.0,248.0,5.6,6.7
Minnesota Vikings,57.3,3.2,3.4,6.8,5.9,11.9,74.7,33.0,217.0,5.1,6.2
Houston Oilers,58.3,3.2,3.8,6.6,5.6,11.4,73.2,45.0,314.0,4.6,7.8
Cleveland Browns,59.8,3.8,2.9,6.6,6.1,11.0,80.2,35.0,236.0,5.3,6.3
Kansas City Chiefs,59.2,3.6,3.2,7.5,6.8,12.7,81.5,39.0,304.0,5.7,7.6
Green Bay Packers,57.4,3.8,2.8,6.7,6.2,11.7,78.8,45.0,307.0,5.2,7.8
Los Angeles Raiders,57.5,3.5,3.5,6.9,6.1,12.1,76.0,42.0,283.0,5.1,7.6
Detroit Lions,59.0,3.0,3.6,6.6,5.6,11.2,73.9,30.0,237.0,4.9,5.3
Atlanta Falcons,52.4,5.8,4.0,7.3,6.7,14.0,79.3,29.0,237.0,5.9,5.7
Buffalo Bills,55.8,2.2,4.3,6.8,5.3,12.2,66.6,31.0,246.0,4.6,5.5
San Diego Chargers,59.6,4.4,3.8,7.2,6.4,12.1,80.7,28.0,183.0,5.7,5.3
Dallas Cowboys,59.3,3.1,2.2,6.8,6.4,11.4,80.8,23.0,151.0,5.9,4.1
New York Jets,61.3,3.9,3.3,7.0,6.3,11.4,81.3,35.0,226.0,5.5,6.1
Los Angeles Rams,59.7,5.8,2.5,8.4,8.4,14.1,95.6,17.0,112.0,7.9,3.8
Pittsburgh Steelers,62.4,3.9,3.6,7.2,6.4,11.5,82.3,38.0,257.0,5.5,6.6
New England Patriots,59.3,4.4,2.1,7.1,7.1,12.0,87.1,25.0,183.0,6.5,4.2
Cincinnati Bengals,60.0,5.1,3.4,8.2,7.7,13.6,89.2,21.0,129.0,7.1,4.0
Avg Team,57.4,3.7,3.5,6.9,6.0,12.0,74.2,35.4,246.3,5.2,6.6
