Tm,Cmp%_Defense,PassTD%_Defense,Int%_Defense,Y/Apass_Defense,AY/A_Defense,Y/C_Defense,QbRating_Defense,Sk_Defense,SkYds_Defense,ANY/A_Defense,Sk%_Defense,ExpectedPointsPassing_Defense
San Diego Chargers,58.4,3.7,3.3,6.4,5.7,11.0,76.2,47.0,290.0,4.6,8.8,47.32
Oakland Raiders,53.0,6.2,2.6,7.1,7.1,13.3,85.6,47.0,292.0,5.9,9.1,-33.71
Buffalo Bills,62.2,5.9,2.3,6.9,7.0,11.1,92.6,27.0,181.0,6.3,5.4,-66.91
New Orleans Saints,61.9,2.6,1.8,6.8,6.5,11.0,83.2,33.0,250.0,5.6,6.3,-32.03
Green Bay Packers,56.2,3.0,4.6,6.5,5.1,11.6,67.2,47.0,333.0,4.1,8.2,86.43
New York Jets,50.7,4.5,2.3,6.5,6.4,12.8,77.1,40.0,244.0,5.5,7.0,-29.57
Tampa Bay Buccaneers,58.9,4.4,3.6,6.4,5.7,10.9,77.6,26.0,143.0,5.2,4.8,-19.41
Miami Dolphins,57.4,4.4,2.2,7.1,7.0,12.4,85.0,39.0,225.0,6.1,7.2,-34.94
Minnesota Vikings,62.9,4.7,2.8,6.7,6.4,10.6,86.4,31.0,177.0,5.7,5.5,-21.22
New York Giants,57.1,4.5,3.0,6.8,6.4,12.0,80.7,46.0,316.0,5.4,7.9,57.48
Carolina Panthers,62.0,3.6,3.2,6.9,6.1,11.1,81.0,31.0,224.0,5.4,5.6,-51.96
Pittsburgh Steelers,61.2,2.5,3.5,6.3,5.2,10.3,73.1,48.0,319.0,4.3,7.5,42.66
Indianapolis Colts,66.5,4.1,1.9,6.8,6.8,10.2,91.7,30.0,194.0,6.1,5.3,-45.37
Philadelphia Eagles,57.6,5.8,4.3,7.0,6.2,12.2,80.8,39.0,292.0,5.3,6.8,-66.83
Cincinnati Bengals,63.4,4.1,3.1,7.1,6.5,11.2,85.2,27.0,179.0,5.9,5.0,-39.6
Detroit Lions,63.7,4.4,2.7,7.3,7.0,11.5,89.2,44.0,288.0,5.9,7.8,-24.0
Kansas City Chiefs,54.9,4.0,2.4,6.5,6.2,11.8,78.1,39.0,258.0,5.4,6.3,-25.23
Cleveland Browns,60.9,5.1,3.7,7.3,6.7,12.0,84.8,29.0,178.0,6.0,5.4,-60.54
St. Louis Rams,57.5,3.7,2.5,6.8,6.4,11.8,80.4,43.0,290.0,5.5,7.0,-15.17
Chicago Bears,62.4,2.4,3.6,6.6,5.4,10.5,74.4,34.0,232.0,4.7,5.5,37.99
Baltimore Ravens,58.6,3.7,3.2,6.4,5.7,10.9,76.4,27.0,190.0,5.1,4.3,-1.6
Atlanta Falcons,65.0,4.1,3.9,6.9,5.9,10.6,82.2,31.0,221.0,5.2,5.2,-60.0
Arizona Cardinals,60.8,4.1,3.2,7.3,6.7,12.0,83.5,33.0,227.0,5.9,5.8,-57.41
San Francisco 49ers,65.1,4.5,2.7,7.2,6.8,11.0,90.0,36.0,244.0,6.0,6.1,-31.37
Denver Broncos,59.2,5.2,2.0,7.8,8.0,13.3,93.0,23.0,156.0,7.3,4.4,-124.08
Dallas Cowboys,64.4,6.1,3.7,7.7,7.2,11.9,92.8,35.0,257.0,6.4,6.1,-83.31
Seattle Seahawks,57.9,5.3,2.1,7.2,7.4,12.5,89.7,37.0,246.0,6.5,5.9,-100.68
Jacksonville Jaguars,65.0,5.5,2.6,8.3,8.2,12.7,98.5,26.0,189.0,7.5,4.9,-140.34
Tennessee Titans,65.6,3.7,2.7,6.9,6.4,10.5,86.4,40.0,272.0,5.6,6.0,-70.2
New England Patriots,63.5,4.1,4.1,7.1,6.1,11.2,81.2,36.0,212.0,5.4,5.6,-56.18
Washington Redskins,63.5,4.0,2.4,7.5,7.3,11.9,89.6,29.0,176.0,6.6,4.8,-55.52
Houston Texans,64.7,6.0,2.4,8.2,8.4,12.7,100.5,30.0,219.0,7.5,5.2,-186.52
Avg Team,60.8,4.3,3.0,7.0,6.5,11.5,82.2,35.3,234.8,5.7,6.1,-39.43187500000001
