Tm,Cmp%_Defense,PassTD%_Defense,Int%_Defense,Y/Apass_Defense,AY/A_Defense,Y/C_Defense,QbRating_Defense,Sk_Defense,SkYds_Defense,ANY/A_Defense,Sk%_Defense
Miami Dolphins,52.7,3.1,8.4,5.7,2.5,10.8,44.9,29.0,254.0,1.2,11.4
Buffalo Bills,44.5,3.1,5.1,5.4,3.7,12.1,50.9,12.0,82.0,3.3,4.5
Seattle Seahawks,56.1,1.6,5.3,6.0,3.9,10.6,57.1,17.0,135.0,3.1,6.5
Tampa Bay Buccaneers,57.1,3.9,4.3,6.3,5.2,11.1,71.1,25.0,224.0,3.9,9.0
New England Patriots,53.2,3.4,4.5,6.3,5.0,11.9,65.3,20.0,172.0,4.0,7.0
New York Giants,60.7,4.1,4.9,7.4,6.0,12.2,76.7,31.0,244.0,4.5,11.3
Washington Redskins,53.1,2.9,4.0,6.8,5.6,12.8,67.7,32.0,256.0,4.2,10.4
New Orleans Saints,60.8,4.5,3.7,7.6,6.9,12.5,84.1,31.0,231.0,5.2,11.2
New York Jets,53.4,3.4,5.7,6.1,4.2,11.4,59.4,20.0,171.0,3.4,6.3
Kansas City Chiefs,59.2,4.6,4.6,6.8,5.7,11.5,76.0,15.0,120.0,4.9,5.4
Dallas Cowboys,52.6,3.5,5.2,6.9,5.3,13.2,64.7,32.0,260.0,3.9,10.0
Green Bay Packers,54.1,2.8,3.7,6.0,4.9,11.0,65.9,20.0,175.0,4.1,5.8
Atlanta Falcons,56.1,4.3,3.6,6.9,6.2,12.4,77.2,18.0,141.0,5.3,6.0
Cleveland Browns,54.1,3.4,6.4,7.4,5.2,13.7,62.7,22.0,145.0,4.3,7.6
Baltimore Colts,56.1,7.3,2.0,7.8,8.4,13.9,97.3,11.0,97.0,7.6,4.3
San Francisco 49ers,56.8,5.0,3.2,7.0,6.6,12.3,82.0,15.0,113.0,5.8,5.1
St. Louis Cardinals,59.8,5.5,2.1,7.0,7.2,11.7,90.8,23.0,182.0,6.1,7.3
Detroit Lions,53.8,3.8,6.3,7.3,5.2,13.5,64.0,32.0,230.0,4.0,10.0
Minnesota Vikings,53.8,3.8,4.1,7.2,6.1,13.4,72.4,30.0,231.0,4.8,9.3
Philadelphia Eagles,58.9,4.9,5.3,7.5,6.1,12.7,76.9,30.0,229.0,4.8,9.5
Chicago Bears,55.8,4.8,4.4,7.4,6.4,13.3,77.0,30.0,240.0,5.1,9.3
Cincinnati Bengals,61.1,3.9,4.6,7.4,6.1,12.0,77.7,22.0,207.0,5.0,6.7
Pittsburgh Steelers,53.5,3.6,5.2,7.2,5.7,13.6,67.5,34.0,273.0,4.4,9.4
Los Angeles Rams,62.3,5.7,3.9,8.1,7.5,13.1,90.6,18.0,159.0,6.5,6.0
Houston Oilers,63.0,6.3,1.1,8.6,9.4,13.7,107.3,31.0,240.0,7.7,9.8
Denver Broncos,56.0,4.6,3.9,7.7,6.8,13.7,79.6,16.0,116.0,6.1,5.0
Los Angeles Raiders,51.5,2.9,4.8,7.0,5.4,13.6,63.8,38.0,329.0,4.1,9.2
San Diego Chargers,68.1,2.9,3.8,7.1,6.0,10.5,82.5,19.0,145.0,5.3,5.3
Avg Team,56.4,4.0,4.4,7.0,5.8,12.4,70.6,24.0,192.9,4.8,7.8
