Tm,Cmp%_Defense,PassTD%_Defense,Int%_Defense,Y/Apass_Defense,AY/A_Defense,Y/C_Defense,QbRating_Defense,Sk_Defense,SkYds_Defense,ANY/A_Defense,Sk%_Defense
St. Louis Cardinals,49.3,4.8,2.3,6.9,6.8,13.9,78.3,41.0,355.0,5.5,8.6
Chicago Bears,47.4,2.3,6.0,6.2,3.9,13.0,49.9,62.0,503.0,2.6,10.8
Dallas Cowboys,48.7,4.5,3.7,6.8,6.0,13.9,70.8,53.0,364.0,4.7,10.3
Detroit Lions,59.6,3.0,4.7,6.6,5.1,11.1,69.7,41.0,290.0,4.1,8.1
Green Bay Packers,59.6,6.9,4.5,7.0,6.4,11.8,85.4,28.0,222.0,5.5,5.9
New England Patriots,53.9,3.2,4.4,7.0,5.7,13.0,68.4,48.0,346.0,4.5,9.2
Atlanta Falcons,53.2,4.2,4.9,7.0,5.6,13.1,69.3,26.0,177.0,5.0,5.4
Houston Oilers,46.5,5.1,3.3,6.5,6.1,14.0,71.5,32.0,201.0,5.3,6.1
Los Angeles Raiders,54.1,4.2,5.2,7.1,5.6,13.1,68.9,63.0,463.0,4.1,11.2
Cincinnati Bengals,56.2,3.4,3.4,7.1,6.3,12.7,75.7,42.0,368.0,5.1,7.8
Los Angeles Rams,58.1,3.2,5.2,6.5,4.8,11.1,66.3,39.0,292.0,3.9,6.7
Kansas City Chiefs,53.3,3.7,5.4,6.2,4.5,11.7,62.1,44.0,360.0,3.6,7.2
Minnesota Vikings,55.9,3.2,4.9,7.0,5.5,12.6,68.5,38.0,259.0,4.6,7.1
Philadelphia Eagles,48.9,3.9,4.3,6.8,5.7,14.0,66.5,53.0,406.0,4.5,9.1
Cleveland Browns,56.2,4.1,3.5,6.8,6.1,12.2,76.5,35.0,258.0,5.2,6.3
Denver Broncos,55.2,3.9,3.3,6.9,6.2,12.5,75.9,49.0,459.0,4.9,8.2
San Francisco 49ers,53.6,3.0,6.5,6.2,3.9,11.6,55.8,51.0,448.0,2.9,7.8
Pittsburgh Steelers,58.0,4.1,3.7,6.8,6.0,11.8,77.1,43.0,289.0,5.0,7.4
New York Giants,56.9,2.6,4.1,6.6,5.3,11.6,68.6,59.0,414.0,4.2,9.1
Washington Redskins,56.8,3.9,3.6,7.4,6.5,13.0,78.3,55.0,424.0,5.2,9.4
New Orleans Saints,57.5,3.6,4.5,6.7,5.4,11.7,71.4,47.0,343.0,4.5,7.5
Miami Dolphins,59.8,4.5,2.7,7.9,7.6,13.2,88.7,33.0,268.0,6.6,6.4
Seattle Seahawks,56.3,3.7,4.1,7.3,6.2,12.9,74.6,47.0,306.0,5.1,8.1
Tampa Bay Buccaneers,59.7,4.8,2.7,7.9,7.7,13.3,89.5,19.0,153.0,7.1,3.8
San Diego Chargers,56.6,5.3,2.9,8.1,7.8,14.3,88.4,62.0,440.0,6.2,10.9
Indianapolis Colts,60.0,5.5,3.1,7.7,7.4,12.9,89.4,24.0,194.0,6.7,4.5
Buffalo Bills,60.2,3.7,1.8,7.1,7.1,11.9,86.9,36.0,267.0,6.2,5.9
New York Jets,57.7,5.8,3.3,7.6,7.2,13.1,87.3,28.0,178.0,6.6,4.4
Avg Team,55.4,4.1,4.0,7.0,6.0,12.6,71.5,42.8,323.1,5.0,7.6
