Tm,Cmp%_Defense,PassTD%_Defense,Int%_Defense,Y/Apass_Defense,AY/A_Defense,Y/C_Defense,QbRating_Defense,Sk_Defense,SkYds_Defense,ANY/A_Defense,Sk%_Defense
New Orleans Saints,56.6,5.5,3.1,6.8,6.5,12.0,83.0,55.0,420.0,4.9,11.5
Chicago Bears,45.5,3.2,4.8,7.1,5.5,15.5,60.0,72.0,583.0,3.6,14.2
Cleveland Browns,57.0,3.3,4.4,6.7,5.3,11.7,70.0,43.0,353.0,4.2,8.6
Los Angeles Raiders,50.0,3.7,3.9,6.4,5.4,12.9,66.6,64.0,516.0,3.9,11.2
Dallas Cowboys,47.4,4.4,5.3,6.1,4.6,12.8,59.3,57.0,390.0,3.4,9.8
Philadelphia Eagles,53.3,4.5,4.1,7.1,6.2,13.4,74.1,60.0,456.0,4.7,10.9
Atlanta Falcons,59.1,6.1,2.7,7.7,7.7,13.0,92.5,38.0,287.0,6.5,7.9
Green Bay Packers,57.2,2.9,4.9,6.3,4.7,11.0,65.2,44.0,324.0,3.8,7.4
St. Louis Cardinals,50.8,5.3,4.3,7.2,6.4,14.2,74.4,55.0,403.0,5.0,10.0
Seattle Seahawks,50.9,3.5,7.3,6.9,4.3,13.5,54.2,55.0,398.0,3.2,9.5
Houston Oilers,60.6,5.1,2.9,7.7,7.4,12.7,89.8,32.0,267.0,6.4,6.7
New England Patriots,55.2,4.9,3.3,7.1,6.6,13.0,80.3,55.0,452.0,5.2,9.7
Tampa Bay Buccaneers,58.4,4.1,3.7,7.1,6.3,12.2,78.6,32.0,239.0,5.4,6.1
Miami Dolphins,56.3,4.0,4.4,6.5,5.4,11.6,71.4,42.0,339.0,4.4,7.1
Pittsburgh Steelers,58.1,3.7,6.0,7.2,5.2,12.3,67.5,47.0,390.0,4.1,8.4
New York Giants,54.4,3.8,3.6,7.1,6.2,13.0,74.5,48.0,361.0,5.1,8.3
San Francisco 49ers,54.6,2.6,4.6,6.9,5.3,12.6,65.6,51.0,363.0,4.2,8.5
Cincinnati Bengals,58.4,2.9,4.8,7.1,5.5,12.2,70.0,40.0,298.0,4.6,7.2
Buffalo Bills,60.6,6.5,3.2,7.4,7.2,12.2,91.5,26.0,191.0,6.5,5.0
New York Jets,61.1,4.7,2.9,7.6,7.2,12.4,87.9,44.0,360.0,6.0,7.9
Detroit Lions,61.8,5.8,3.0,8.1,7.9,13.1,94.2,37.0,271.0,6.8,7.4
Indianapolis Colts,57.9,6.0,3.5,7.6,7.2,13.1,87.3,42.0,320.0,6.1,7.5
Kansas City Chiefs,56.7,3.2,5.1,6.8,5.2,12.1,67.3,50.0,364.0,4.2,7.9
Los Angeles Rams,61.1,3.2,3.0,7.0,6.3,11.5,80.3,43.0,298.0,5.4,7.1
Washington Redskins,55.3,4.3,3.7,7.5,6.7,13.5,78.6,66.0,529.0,5.2,10.3
Minnesota Vikings,65.1,7.1,2.2,8.1,8.5,12.4,104.4,25.0,175.0,7.7,4.9
Denver Broncos,54.8,2.5,4.9,7.1,5.4,12.9,65.2,57.0,430.0,4.3,8.3
San Diego Chargers,60.8,5.1,3.6,8.1,7.5,13.3,88.6,33.0,218.0,6.7,5.9
Avg Team,56.4,4.3,4.1,7.1,6.2,12.7,73.2,46.9,357.0,5.0,8.4
