Tm,Cmp%_Defense,PassTD%_Defense,Int%_Defense,Y/Apass_Defense,AY/A_Defense,Y/C_Defense,QbRating_Defense,Sk_Defense,SkYds_Defense,ANY/A_Defense,Sk%_Defense
Philadelphia Eagles,48.9,2.4,5.1,6.0,4.2,12.3,54.4,40.0,354.0,3.2,7.3
Los Angeles Rams,46.5,3.9,3.9,7.0,6.0,15.0,66.6,43.0,330.0,4.8,8.9
San Francisco 49ers,53.1,3.1,5.3,6.1,4.4,11.5,60.2,36.0,290.0,3.5,6.5
Buffalo Bills,56.3,4.4,4.0,6.8,5.9,12.1,75.6,47.0,373.0,4.7,9.0
Denver Broncos,53.7,2.6,4.6,6.4,4.8,11.9,62.8,36.0,295.0,3.9,6.8
New England Patriots,55.4,4.1,3.6,7.0,6.1,12.6,75.7,20.0,175.0,5.5,4.4
New York Giants,54.0,2.6,3.1,6.1,5.2,11.3,68.1,44.0,384.0,4.2,7.5
New York Jets,54.5,3.0,4.2,7.0,5.7,12.8,69.1,66.0,518.0,4.1,11.6
Washington Redskins,47.3,4.6,5.3,7.3,5.9,15.5,65.4,32.0,265.0,4.9,6.6
Green Bay Packers,56.2,3.6,5.9,6.6,4.7,11.8,63.7,36.0,266.0,3.9,6.7
Seattle Seahawks,58.6,5.0,4.2,6.8,5.9,11.5,78.2,36.0,260.0,5.0,6.7
Tampa Bay Buccaneers,58.6,1.8,5.9,6.1,3.8,10.4,57.8,23.0,157.0,3.4,4.1
Detroit Lions,54.9,4.6,5.1,7.6,6.2,13.8,73.8,47.0,373.0,4.9,9.0
Chicago Bears,44.4,4.4,3.4,6.7,6.1,15.1,67.4,31.0,279.0,5.2,5.6
Cleveland Browns,58.6,6.0,3.2,7.5,7.2,12.8,88.7,29.0,223.0,6.4,5.8
St. Louis Cardinals,57.0,5.9,4.2,7.2,6.4,12.6,81.3,32.0,252.0,5.6,6.1
Houston Oilers,58.8,4.4,3.6,7.1,6.3,12.0,80.2,33.0,239.0,5.5,6.2
Minnesota Vikings,55.1,5.4,3.3,7.5,7.1,13.6,83.3,33.0,271.0,6.1,6.4
Miami Dolphins,58.3,4.5,3.5,7.2,6.5,12.3,80.9,38.0,314.0,5.4,6.9
New Orleans Saints,60.9,5.5,3.6,7.6,7.1,12.5,87.9,27.0,241.0,6.2,5.4
Dallas Cowboys,46.2,3.3,7.2,7.3,4.7,15.8,51.8,42.0,347.0,3.7,7.6
Cincinnati Bengals,57.7,4.4,3.5,6.9,6.2,11.9,78.9,42.0,349.0,5.1,7.1
Kansas City Chiefs,51.3,2.8,4.6,6.7,5.2,13.1,63.2,27.0,195.0,4.7,4.5
Oakland Raiders,53.8,4.5,2.4,7.5,7.3,13.9,82.9,52.0,370.0,6.0,8.8
Atlanta Falcons,57.0,5.3,4.4,7.0,6.0,12.2,77.8,29.0,239.0,5.3,4.9
Pittsburgh Steelers,55.5,4.0,5.5,7.6,5.9,13.6,70.3,40.0,325.0,4.9,6.8
Baltimore Colts,61.3,7.5,3.3,8.6,8.7,14.0,100.6,13.0,100.0,8.2,2.6
San Diego Chargers,54.8,3.9,4.0,8.2,7.2,15.0,78.1,47.0,384.0,6.0,7.6
Avg Team,54.6,4.2,4.3,7.0,5.9,12.9,70.5,36.5,291.7,5.0,6.7
