Tm,Cmp%_Defense,PassTD%_Defense,Int%_Defense,Y/Apass_Defense,AY/A_Defense,Y/C_Defense,QbRating_Defense,Sk_Defense,SkYds_Defense,ANY/A_Defense,Sk%_Defense
Dallas Cowboys,51.5,3.6,4.2,5.8,4.7,11.3,64.0,47.0,299.0,3.8,8.3
Houston Oilers,55.3,4.5,3.5,7.4,6.7,13.4,79.4,31.0,168.0,5.9,7.2
Pittsburgh Steelers,52.6,2.3,3.2,6.1,5.1,11.6,65.6,55.0,382.0,4.0,9.4
Arizona Cardinals,50.3,4.1,4.9,7.1,5.7,14.1,66.7,35.0,272.0,4.8,7.0
Chicago Bears,56.5,3.1,2.3,6.2,5.8,11.1,75.9,28.0,175.0,5.2,5.1
Philadelphia Eagles,51.2,4.1,4.3,6.9,5.7,13.4,69.1,42.0,265.0,4.8,7.9
Cleveland Browns,55.4,2.2,3.1,5.8,4.9,10.5,67.1,38.0,268.0,4.2,6.1
New York Giants,57.8,3.2,3.2,6.8,6.0,11.7,75.8,26.0,169.0,5.4,4.9
Cincinnati Bengals,58.2,4.4,2.0,6.8,6.8,11.8,85.4,31.0,210.0,6.0,5.8
Kansas City Chiefs,59.5,4.6,2.4,6.9,6.8,11.7,85.9,39.0,234.0,5.9,7.2
Tampa Bay Buccaneers,60.8,5.0,1.8,7.0,7.2,11.5,91.2,20.0,114.0,6.7,3.9
Los Angeles Rams,59.1,4.3,2.6,6.6,6.2,11.1,82.1,26.0,159.0,5.7,4.6
Seattle Seahawks,58.3,2.8,3.5,6.7,5.7,11.5,73.2,29.0,206.0,5.0,5.1
Los Angeles Raiders,54.3,4.3,2.1,6.5,6.4,12.0,79.8,38.0,284.0,5.5,6.3
Green Bay Packers,55.7,3.3,3.5,6.1,5.2,10.9,70.4,37.0,276.0,4.4,5.8
New England Patriots,54.7,3.9,4.0,6.9,5.8,12.5,72.2,39.0,290.0,4.9,6.7
San Francisco 49ers,56.4,2.6,3.9,6.4,5.2,11.4,68.1,38.0,255.0,4.5,6.1
New York Jets,63.8,3.6,3.3,7.1,6.4,11.2,83.6,29.0,201.0,5.7,5.3
Detroit Lions,67.6,3.8,2.2,6.8,6.6,10.1,90.6,28.0,199.0,6.0,4.9
Washington Redskins,60.5,4.4,3.4,7.7,7.0,12.7,84.9,28.0,165.0,6.3,5.3
Minnesota Vikings,61.6,4.2,3.0,6.5,6.0,10.6,82.1,36.0,250.0,5.3,5.7
San Diego Chargers,62.9,3.5,2.9,6.8,6.1,10.8,82.0,43.0,253.0,5.3,6.9
Buffalo Bills,58.7,4.9,3.0,7.1,6.8,12.1,84.4,25.0,152.0,6.2,4.5
Indianapolis Colts,59.2,4.0,3.0,6.5,6.0,11.0,79.4,29.0,218.0,5.3,4.6
Miami Dolphins,57.9,4.0,4.0,6.9,5.9,11.8,75.6,29.0,160.0,5.3,4.8
New Orleans Saints,63.1,5.0,3.0,7.2,6.8,11.4,88.6,36.0,196.0,6.1,6.1
Atlanta Falcons,62.8,4.5,3.8,7.5,6.7,12.0,84.9,32.0,229.0,6.0,5.2
Denver Broncos,56.7,4.9,2.1,7.6,7.6,13.3,88.5,23.0,141.0,7.1,3.9
Avg Team,58.0,3.9,3.1,6.8,6.1,11.7,76.7,33.5,221.1,5.4,5.9
