Tm,Cmp%_Defense,PassTD%_Defense,Int%_Defense,Y/Apass_Defense,AY/A_Defense,Y/C_Defense,QbRating_Defense,Sk_Defense,SkYds_Defense,ANY/A_Defense,Sk%_Defense,ExpectedPointsPassing_Defense
Green Bay Packers,58.6,5.1,2.3,6.7,6.7,11.4,86.2,35.0,196.0,5.7,7.5,-11.63
New York Jets,61.3,3.7,4.5,6.4,5.1,10.4,73.1,30.0,193.0,4.4,6.1,11.01
New Orleans Saints,57.7,4.8,2.4,7.2,7.1,12.5,86.2,25.0,165.0,6.3,5.6,-63.18
Cleveland Browns,59.2,4.0,3.2,6.4,5.8,10.8,78.2,23.0,142.0,5.2,4.7,-4.56
Chicago Bears,56.9,1.8,4.4,5.7,4.1,10.1,61.2,41.0,275.0,3.4,6.9,115.65
Tampa Bay Buccaneers,57.8,3.2,3.6,6.6,5.7,11.5,73.5,36.0,229.0,4.8,7.0,33.63
Jacksonville Jaguars,59.1,4.6,3.9,6.7,5.8,11.3,78.0,47.0,277.0,4.8,8.9,11.73
Baltimore Ravens,56.4,3.4,2.1,6.1,5.9,10.9,77.4,42.0,270.0,5.0,7.4,27.55
Carolina Panthers,57.8,2.8,4.4,6.3,5.0,11.0,68.0,45.0,294.0,4.1,7.9,59.82
Washington Redskins,54.4,2.8,3.0,6.2,5.4,11.4,70.1,35.0,237.0,4.7,6.1,42.55
Dallas Cowboys,54.7,3.6,3.0,6.7,6.1,12.2,75.1,37.0,236.0,5.2,7.0,43.24
Arizona Cardinals,61.7,3.5,3.1,6.8,6.1,11.0,80.6,37.0,217.0,5.3,7.0,10.99
Detroit Lions,60.6,3.9,3.9,6.8,5.8,11.2,77.6,31.0,187.0,5.1,6.0,-12.07
Atlanta Falcons,60.8,3.4,3.0,6.5,5.8,10.6,78.4,37.0,257.0,4.9,6.6,21.73
Indianapolis Colts,67.4,3.3,3.5,6.8,5.9,10.1,83.0,46.0,318.0,4.8,8.3,26.59
Pittsburgh Steelers,57.4,2.7,2.7,6.3,5.7,11.0,74.0,47.0,312.0,4.7,7.9,34.32
Tennessee Titans,63.0,7.0,1.9,7.4,7.9,11.7,100.7,41.0,246.0,6.8,8.0,-88.37
Oakland Raiders,60.9,3.7,1.0,7.2,7.4,11.8,90.7,36.0,238.0,6.5,6.9,-87.95
Buffalo Bills,62.4,3.8,3.4,7.1,6.3,11.3,82.1,38.0,269.0,5.4,7.0,-39.09
Miami Dolphins,58.8,4.2,2.6,6.7,6.4,11.4,82.4,49.0,375.0,5.2,8.2,-39.21
Philadelphia Eagles,59.0,4.8,3.4,7.0,6.4,11.8,82.2,29.0,184.0,5.7,5.5,-31.82
Minnesota Vikings,59.8,4.3,4.5,6.6,5.5,11.1,75.2,34.0,207.0,4.8,6.0,-32.59
St. Louis Rams,61.9,5.1,2.6,7.1,7.0,11.5,89.8,41.0,195.0,6.1,7.5,-43.12
Houston Texans,64.8,5.1,1.5,7.9,8.3,12.3,100.0,37.0,206.0,7.3,7.3,-123.25
Seattle Seahawks,58.0,3.2,2.8,6.8,6.1,11.7,77.4,50.0,302.0,5.2,8.1,-2.45
Cincinnati Bengals,62.4,4.0,6.0,7.2,5.3,11.6,72.8,28.0,180.0,4.7,5.1,-41.11
New York Giants,56.7,3.4,2.9,6.6,6.0,11.7,76.3,41.0,268.0,5.2,6.6,-0.97
San Diego Chargers,59.6,3.5,1.8,6.9,6.8,11.5,84.7,46.0,289.0,5.8,7.5,-43.81
Denver Broncos,56.1,3.3,3.3,6.3,5.4,11.1,72.2,28.0,190.0,4.9,4.4,-0.3
Kansas City Chiefs,58.1,4.5,2.9,6.9,6.5,11.9,82.3,29.0,183.0,5.9,4.9,-38.72
New England Patriots,56.2,4.7,1.9,7.4,7.5,13.3,87.8,33.0,223.0,6.7,5.9,-59.58
San Francisco 49ers,64.9,4.9,2.8,8.0,7.7,12.4,94.2,28.0,193.0,7.1,4.6,-125.82
Avg Team,59.5,3.9,3.1,6.8,6.2,11.4,78.2,36.9,236.0,5.3,6.7,-14.0871875
