Tm,Cmp%_Defense,PassTD%_Defense,Int%_Defense,Y/Apass_Defense,AY/A_Defense,Y/C_Defense,QbRating_Defense,Sk_Defense,SkYds_Defense,ANY/A_Defense,Sk%_Defense,ExpectedPointsPassing_Defense
Pittsburgh Steelers,54.5,2.8,2.1,5.6,5.3,10.3,71.7,35.0,230.0,4.5,6.2,3.08
Cleveland Browns,56.5,3.4,1.9,6.7,6.6,11.9,80.6,32.0,199.0,5.7,6.4,-20.82
Houston Texans,51.9,3.3,3.2,6.2,5.4,11.9,69.0,44.0,287.0,4.5,7.6,50.93
Baltimore Ravens,53.8,2.1,2.8,6.4,5.6,11.9,68.8,48.0,290.0,4.6,8.2,77.51
New York Jets,54.2,3.0,3.7,6.7,5.6,12.4,69.6,35.0,198.0,4.9,6.5,32.92
Kansas City Chiefs,56.6,5.1,4.4,7.5,6.5,13.3,79.1,29.0,186.0,5.8,6.0,-35.14
St. Louis Rams,60.5,4.3,2.5,7.4,7.1,12.2,87.3,39.0,261.0,6.1,7.5,-59.27
Jacksonville Jaguars,63.5,4.1,3.3,6.9,6.3,10.9,83.7,31.0,213.0,5.5,5.7,-16.58
Cincinnati Bengals,59.2,3.9,1.9,6.8,6.7,11.5,85.0,45.0,277.0,5.7,7.7,-12.06
Philadelphia Eagles,58.1,5.2,2.9,7.2,6.9,12.3,85.7,50.0,316.0,5.7,8.8,-16.49
Seattle Seahawks,59.7,3.3,4.1,6.9,5.7,11.6,74.8,33.0,232.0,5.0,5.7,23.44
Washington Redskins,60.5,4.3,2.6,7.5,7.2,12.4,87.4,41.0,251.0,6.2,7.5,-56.02
San Diego Chargers,62.6,6.1,3.6,7.9,7.5,12.6,92.5,32.0,187.0,6.7,6.3,-79.74
Tennessee Titans,62.4,3.6,1.9,6.4,6.3,10.3,85.1,28.0,180.0,5.7,4.5,-36.84
Indianapolis Colts,71.2,5.1,1.6,7.8,8.0,10.9,103.9,29.0,192.0,7.2,5.6,-101.27
San Francisco 49ers,57.5,3.5,4.0,6.9,5.8,11.9,73.6,42.0,283.0,4.9,6.8,14.86
Arizona Cardinals,58.8,2.9,1.7,6.9,6.7,11.8,82.5,42.0,304.0,5.8,6.8,-33.2
Denver Broncos,62.4,4.5,1.7,7.5,7.6,12.0,93.1,41.0,283.0,6.6,7.1,-71.37
Buffalo Bills,63.3,5.9,3.9,7.7,7.1,12.2,90.4,29.0,210.0,6.4,5.4,-70.47
Atlanta Falcons,60.7,4.5,3.4,7.2,6.5,11.8,83.3,33.0,231.0,5.8,5.6,-46.31
Tampa Bay Buccaneers,62.6,6.2,2.9,8.2,8.2,13.2,97.2,23.0,148.0,7.5,4.6,-140.77
Detroit Lions,62.3,4.3,3.5,6.8,6.1,10.9,82.1,41.0,271.0,5.3,6.4,-0.29
Dallas Cowboys,61.7,4.4,2.8,7.6,7.3,12.3,88.4,42.0,243.0,6.3,7.2,-59.21
Carolina Panthers,64.9,5.7,2.9,8.4,8.3,13.0,98.3,31.0,170.0,7.4,6.0,-118.82
Miami Dolphins,59.3,4.1,2.7,7.2,6.8,12.1,83.7,41.0,241.0,5.9,6.5,-31.18
Minnesota Vikings,68.2,6.3,1.5,8.1,8.7,11.9,107.6,50.0,342.0,7.4,8.5,-136.38
Oakland Raiders,53.9,5.2,3.0,7.1,6.8,13.2,81.3,39.0,239.0,6.0,6.1,-82.79
Chicago Bears,60.7,3.5,3.2,6.8,6.0,11.2,79.3,33.0,208.0,5.4,5.0,-7.67
New York Giants,61.3,4.8,3.4,7.5,6.9,12.2,86.1,48.0,335.0,5.9,7.5,-89.01
New Orleans Saints,57.8,3.8,1.4,7.0,7.2,12.2,86.4,33.0,256.0,6.4,5.0,-68.83
New England Patriots,62.4,4.2,3.7,8.0,7.2,12.9,86.1,40.0,274.0,6.4,6.1,-117.25
Green Bay Packers,61.2,4.6,4.9,7.8,6.6,12.8,80.6,29.0,192.0,6.0,4.4,-64.64
Avg Team,60.1,4.3,2.9,7.2,6.7,12.0,82.5,37.1,241.5,5.9,6.4,-42.8025
