Tm,Cmp%_Defense,PassTD%_Defense,Int%_Defense,Y/Apass_Defense,AY/A_Defense,Y/C_Defense,QbRating_Defense,Sk_Defense,SkYds_Defense,ANY/A_Defense,Sk%_Defense
Pittsburgh Steelers,51.3,2.0,5.2,5.9,4.0,11.6,54.3,34.0,228.0,3.2,6.9
Dallas Cowboys,57.7,2.6,2.3,6.2,5.7,10.8,74.9,36.0,292.0,4.7,7.1
Minnesota Vikings,51.7,4.7,5.2,6.9,5.5,13.4,68.0,47.0,277.0,4.4,10.0
Los Angeles Raiders,56.3,4.6,3.0,6.9,6.5,12.3,80.8,48.0,335.0,5.2,9.9
Miami Dolphins,55.6,3.0,4.1,6.6,5.4,11.9,69.0,45.0,348.0,4.2,8.9
New York Giants,56.0,2.4,4.6,5.9,4.3,10.6,62.2,30.0,186.0,3.7,5.7
Buffalo Bills,55.8,3.7,4.0,6.9,5.8,12.3,73.2,43.0,326.0,4.7,8.6
Phoenix Cardinals,58.0,7.2,4.0,7.8,7.4,13.4,90.3,36.0,232.0,6.3,8.2
San Diego Chargers,55.0,4.8,4.1,7.0,6.1,12.8,76.0,45.0,345.0,4.9,8.9
Chicago Bears,52.1,3.8,6.3,6.5,4.5,12.5,59.3,41.0,300.0,3.6,7.6
Seattle Seahawks,59.5,3.8,2.4,6.5,6.1,10.9,81.3,33.0,252.0,5.3,6.1
San Francisco 49ers,50.8,3.3,3.3,6.3,5.5,12.4,67.8,44.0,263.0,4.6,7.8
New England Patriots,58.3,5.6,3.7,8.7,8.1,14.9,89.9,33.0,224.0,6.9,8.1
Houston Oilers,58.0,3.9,4.6,7.2,6.0,12.5,74.7,38.0,272.0,5.0,7.6
Cleveland Browns,57.0,7.2,2.9,7.4,7.5,13.0,92.3,32.0,211.0,6.6,6.7
Washington Redskins,54.7,4.1,4.1,6.8,5.8,12.4,72.5,45.0,340.0,4.7,8.1
Kansas City Chiefs,52.1,3.1,3.9,7.2,6.0,13.7,69.5,60.0,421.0,4.7,10.5
Tampa Bay Buccaneers,55.8,4.7,5.3,7.3,5.9,13.2,72.7,34.0,204.0,5.1,6.7
New Orleans Saints,59.2,3.9,1.5,6.7,6.8,11.3,86.2,42.0,265.0,5.9,7.3
Detroit Lions,62.9,4.1,3.4,7.1,6.5,11.4,84.1,41.0,279.0,5.5,7.5
Denver Broncos,59.3,4.6,2.1,7.7,7.6,12.9,90.0,34.0,289.0,6.6,6.6
Green Bay Packers,53.4,4.2,3.3,7.4,6.8,13.9,77.5,27.0,172.0,6.1,5.3
Indianapolis Colts,61.2,4.1,1.8,7.3,7.3,12.0,89.5,29.0,203.0,6.5,5.6
New York Jets,60.3,4.5,3.5,7.3,6.6,12.0,82.9,38.0,308.0,5.6,6.9
Philadelphia Eagles,48.2,4.1,3.4,6.7,6.0,13.8,69.6,45.0,280.0,5.1,7.4
Cincinnati Bengals,55.2,4.4,2.8,6.9,6.5,12.4,79.9,25.0,205.0,5.9,4.4
Los Angeles Rams,59.1,6.0,2.4,7.9,8.0,13.3,94.1,30.0,180.0,7.2,5.6
Atlanta Falcons,55.3,5.8,3.2,7.7,7.4,13.9,86.2,33.0,214.0,6.6,5.8
Avg Team,56.0,4.3,3.6,7.0,6.3,12.5,75.0,38.1,266.1,5.3,7.3
