Tm,Cmp%_Defense,PassTD%_Defense,Int%_Defense,Y/Apass_Defense,AY/A_Defense,Y/C_Defense,QbRating_Defense,Sk_Defense,SkYds_Defense,ANY/A_Defense,Sk%_Defense
New Orleans Saints,58.3,5.0,2.3,6.6,6.6,11.3,85.3,51.0,318.0,5.2,10.3
Cincinnati Bengals,54.9,4.4,2.6,6.5,6.2,11.8,78.4,22.0,154.0,5.5,4.6
Chicago Bears,60.7,2.4,3.6,6.2,5.0,10.1,71.4,46.0,287.0,4.1,8.4
New England Patriots,59.1,4.2,2.7,6.5,6.1,11.0,81.1,34.0,242.0,5.2,6.7
Los Angeles Raiders,56.5,3.7,3.1,6.9,6.2,12.2,77.4,45.0,283.0,5.1,9.0
Minnesota Vikings,64.9,2.3,5.0,6.6,4.8,10.1,70.3,45.0,276.0,3.8,8.6
Green Bay Packers,54.8,3.0,3.4,6.1,5.1,11.0,68.9,46.0,301.0,4.2,8.0
Philadelphia Eagles,54.2,4.8,4.3,6.8,5.8,12.6,73.5,36.0,214.0,5.0,7.2
Detroit Lions,60.1,3.7,3.7,6.4,5.4,10.6,75.6,43.0,253.0,4.6,7.7
Dallas Cowboys,60.2,2.5,2.5,6.0,5.4,10.0,75.3,34.0,231.0,4.7,5.8
New York Giants,58.0,2.5,3.5,6.5,5.5,11.3,71.4,41.0,238.0,4.6,7.4
Indianapolis Colts,59.5,4.8,2.2,7.1,7.1,12.0,88.3,21.0,121.0,6.5,4.4
Cleveland Browns,56.6,3.5,2.4,6.4,6.0,11.3,77.6,48.0,342.0,5.0,8.1
Kansas City Chiefs,59.4,3.4,4.0,6.4,5.3,10.8,73.2,35.0,228.0,4.6,6.3
Pittsburgh Steelers,53.2,3.1,4.6,6.6,5.1,12.4,64.9,42.0,277.0,4.3,7.5
San Francisco 49ers,55.7,4.1,3.4,6.2,5.5,11.2,74.0,44.0,316.0,4.6,7.2
New York Jets,59.6,3.0,3.8,6.9,5.8,11.6,74.6,32.0,195.0,5.1,6.0
Tampa Bay Buccaneers,59.6,4.4,1.8,6.7,6.8,11.3,86.9,29.0,132.0,6.2,5.5
Phoenix Cardinals,56.8,2.8,1.8,7.1,6.8,12.5,80.8,34.0,205.0,6.0,6.4
Washington Redskins,60.2,5.0,3.5,7.4,6.8,12.3,85.1,31.0,197.0,6.0,6.0
Miami Dolphins,61.2,4.5,2.3,6.4,6.3,10.5,85.6,29.0,197.0,5.7,4.8
Los Angeles Rams,61.3,3.5,2.3,7.7,7.4,12.6,87.5,35.0,203.0,6.5,6.7
Houston Oilers,51.9,2.7,4.5,6.7,5.3,13.0,63.9,52.0,313.0,4.3,8.2
Buffalo Bills,55.5,3.1,4.0,6.7,5.5,12.0,70.0,37.0,256.0,4.8,6.0
Atlanta Falcons,61.0,5.3,2.6,7.5,7.4,12.3,91.2,27.0,149.0,6.8,5.1
Seattle Seahawks,56.0,2.7,3.7,6.5,5.4,11.7,69.6,38.0,244.0,4.7,6.0
Denver Broncos,55.9,3.7,3.2,7.1,6.4,12.6,77.2,46.0,238.0,5.5,7.6
San Diego Chargers,59.2,3.1,4.0,7.1,5.9,12.0,74.8,32.0,206.0,5.3,5.4
Avg Team,57.9,3.6,3.3,6.7,5.9,11.6,74.7,37.7,236.3,5.1,6.8
