Tm,Cmp%_Defense,PassTD%_Defense,Int%_Defense,Y/Apass_Defense,AY/A_Defense,Y/C_Defense,QbRating_Defense,Sk_Defense,SkYds_Defense,ANY/A_Defense,Sk%_Defense
Philadelphia Eagles,55.5,4.0,2.0,6.7,6.6,12.1,81.2,42.0,281.0,5.4,8.6
Tampa Bay Buccaneers,57.9,3.2,2.5,6.4,5.9,11.0,76.9,37.0,252.0,4.9,7.3
St. Louis Rams,53.9,5.9,3.4,6.7,6.4,12.4,80.5,50.0,349.0,5.1,9.5
Oakland Raiders,58.6,4.4,4.2,6.3,5.3,10.8,74.3,41.0,258.0,4.4,7.6
Washington Redskins,57.0,4.3,2.6,6.3,6.0,11.1,79.1,33.0,194.0,5.2,6.3
Miami Dolphins,50.0,3.4,5.8,6.3,4.4,12.7,57.4,45.0,270.0,3.6,8.2
Kansas City Chiefs,54.1,3.5,2.7,6.8,6.3,12.6,76.0,40.0,268.0,5.3,7.7
Detroit Lions,59.9,4.9,2.5,6.9,6.7,11.5,86.4,43.0,261.0,5.7,8.3
New York Jets,52.4,2.9,3.9,6.1,4.9,11.6,64.7,36.0,259.0,4.2,6.2
Green Bay Packers,54.8,4.3,2.4,6.3,6.1,11.5,78.2,50.0,336.0,5.0,8.5
San Diego Chargers,51.1,4.0,3.8,6.3,5.3,12.2,68.2,39.0,246.0,4.5,6.9
Cincinnati Bengals,57.4,5.7,3.2,8.3,7.9,14.4,89.8,28.0,199.0,7.0,6.5
New York Giants,54.1,3.3,3.6,6.7,5.7,12.4,70.9,54.0,336.0,4.6,9.4
Buffalo Bills,55.3,5.1,3.4,6.5,6.0,11.8,78.2,43.0,276.0,5.1,7.5
Chicago Bears,64.0,5.9,3.1,7.5,7.3,11.6,93.5,28.0,173.0,6.5,5.8
Indianapolis Colts,59.7,5.9,1.7,7.6,8.0,12.7,95.7,38.0,231.0,6.9,7.6
Arizona Cardinals,57.7,4.1,3.9,6.8,5.9,11.8,76.0,39.0,250.0,5.0,7.0
Pittsburgh Steelers,55.6,3.5,3.3,7.4,6.6,13.3,77.1,41.0,238.0,5.6,7.8
Minnesota Vikings,57.7,3.1,3.4,6.7,5.7,11.6,73.8,38.0,247.0,5.0,6.4
Tennessee Oilers,62.4,4.7,2.3,7.2,7.1,11.5,90.0,30.0,172.0,6.4,5.5
Atlanta Falcons,56.4,4.0,3.4,6.9,6.2,12.2,76.8,38.0,275.0,5.3,6.5
Dallas Cowboys,52.4,3.8,2.5,6.8,6.4,13.0,76.3,34.0,222.0,5.7,5.8
Jacksonville Jaguars,56.3,4.0,2.3,6.5,6.3,11.6,80.1,30.0,209.0,5.7,4.9
Baltimore Ravens,58.6,3.7,3.2,7.2,6.5,12.3,80.1,39.0,286.0,5.6,6.7
New England Patriots,58.9,4.6,4.2,6.8,5.8,11.5,77.1,36.0,222.0,5.1,5.9
Denver Broncos,57.9,4.7,3.2,6.7,6.2,11.5,80.5,47.0,335.0,5.2,7.3
Seattle Seahawks,57.5,3.0,4.0,6.7,5.4,11.6,71.0,53.0,282.0,4.6,8.2
Carolina Panthers,59.5,6.0,3.8,7.9,7.3,13.2,88.6,37.0,228.0,6.4,6.9
San Francisco 49ers,51.9,4.4,3.7,7.1,6.3,13.6,74.0,51.0,259.0,5.3,8.3
New Orleans Saints,60.9,4.5,3.9,7.9,7.0,13.0,84.3,47.0,288.0,6.0,8.0
Avg Team,56.6,4.2,3.3,6.8,6.2,12.1,76.2,40.2,256.7,5.3,7.2
