Tm,Cmp%_Defense,PassTD%_Defense,Int%_Defense,Y/Apass_Defense,AY/A_Defense,Y/C_Defense,QbRating_Defense,Sk_Defense,SkYds_Defense,ANY/A_Defense,Sk%_Defense
New York Jets,52.9,4.2,3.4,6.1,5.5,11.6,71.6,43.0,315.0,4.4,8.0
Philadelphia Eagles,53.7,2.8,3.8,6.3,5.1,11.6,66.4,48.0,305.0,4.1,8.8
Houston Oilers,52.3,4.3,3.8,6.0,5.2,11.5,69.3,30.0,200.0,4.6,5.1
New York Giants,58.9,3.3,3.1,6.6,5.9,11.2,76.7,29.0,177.0,5.2,5.4
Kansas City Chiefs,55.2,2.7,2.7,6.0,5.3,10.8,70.8,47.0,347.0,4.4,7.3
Pittsburgh Steelers,59.1,4.5,4.1,6.6,5.7,11.2,76.7,42.0,272.0,4.8,7.3
Washington Redskins,61.9,3.7,2.9,6.2,5.6,10.1,79.6,30.0,135.0,5.1,5.2
Dallas Cowboys,56.0,3.3,3.6,6.7,5.7,11.9,72.3,36.0,219.0,4.9,6.4
Denver Broncos,56.1,3.8,1.5,6.7,6.7,11.8,82.9,30.0,220.0,6.0,5.4
Oakland Raiders,57.1,2.7,2.1,6.9,6.5,12.1,78.6,43.0,332.0,5.4,7.5
San Francisco 49ers,54.0,3.1,4.3,5.9,4.6,10.8,64.1,40.0,240.0,3.9,6.1
San Diego Chargers,59.1,2.9,3.1,6.6,5.8,11.2,75.8,36.0,222.0,5.1,6.2
St. Louis Rams,59.9,5.1,4.1,6.9,6.1,11.6,80.6,36.0,258.0,5.2,6.3
Carolina Panthers,52.9,2.6,3.6,6.3,5.2,12.0,66.2,36.0,265.0,4.5,5.8
Arizona Cardinals,57.3,7.2,4.1,7.9,7.5,13.8,89.5,31.0,200.0,6.6,6.3
Buffalo Bills,53.3,2.4,2.9,6.6,5.8,12.5,70.0,49.0,362.0,4.8,7.8
Jacksonville Jaguars,59.7,5.5,2.6,7.0,7.0,11.8,88.9,17.0,72.0,6.6,3.2
Seattle Seahawks,56.0,4.7,2.9,6.7,6.3,12.0,80.2,28.0,167.0,5.7,4.8
Miami Dolphins,58.8,5.4,2.5,6.8,6.7,11.5,86.7,29.0,187.0,6.0,5.0
Indianapolis Colts,59.1,4.0,2.3,6.6,6.4,11.1,82.6,29.0,169.0,5.8,4.8
Green Bay Packers,57.0,4.1,2.1,6.4,6.2,11.2,80.8,39.0,275.0,5.4,6.0
New Orleans Saints,60.6,4.2,3.1,7.4,6.8,12.2,84.3,44.0,275.0,5.8,7.5
Detroit Lions,61.0,2.9,3.8,7.1,6.0,11.6,76.5,42.0,317.0,5.1,6.8
Cleveland Browns,62.8,4.0,3.0,7.0,6.5,11.1,84.6,29.0,191.0,5.8,4.8
New England Patriots,62.3,5.3,2.7,7.5,7.3,12.0,91.4,37.0,221.0,6.5,6.3
Tampa Bay Buccaneers,62.1,3.4,2.5,7.4,6.9,11.8,85.4,25.0,140.0,6.4,4.3
Chicago Bears,62.9,4.5,2.7,7.1,6.8,11.3,88.1,35.0,239.0,6.1,5.6
Minnesota Vikings,59.5,4.7,4.0,7.1,6.2,12.0,80.1,44.0,294.0,5.4,6.6
Cincinnati Bengals,60.5,4.2,2.0,7.5,7.4,12.4,89.2,42.0,267.0,6.5,6.5
Atlanta Falcons,62.3,4.3,2.8,7.3,6.9,11.7,87.3,30.0,210.0,6.3,4.4
Avg Team,58.2,4.0,3.1,6.8,6.2,11.6,77.5,35.9,236.4,5.4,6.1
