Tm,Cmp%_Defense,PassTD%_Defense,Int%_Defense,Y/Apass_Defense,AY/A_Defense,Y/C_Defense,QbRating_Defense,Sk_Defense,SkYds_Defense,ANY/A_Defense,Sk%_Defense
Kansas City Chiefs,52.2,2.9,4.4,6.3,4.9,12.1,63.4,23.0,157.0,4.3,5.3
Minnesota Vikings,45.6,2.5,7.5,5.8,2.9,12.6,41.2,37.0,274.0,2.1,7.2
New England Patriots,53.7,3.0,4.6,6.4,5.0,12.0,64.4,29.0,219.0,4.2,6.2
Buffalo Bills,55.8,3.1,3.3,6.8,5.9,12.2,73.4,46.0,322.0,4.7,9.3
Green Bay Packers,54.0,2.5,4.2,6.2,4.8,11.5,63.9,30.0,216.0,4.1,6.0
Cleveland Browns,51.7,2.7,4.2,6.5,5.2,12.7,64.0,37.0,255.0,4.3,7.2
Denver Broncos,56.1,3.9,3.4,6.8,6.0,12.1,75.7,36.0,235.0,5.1,7.2
San Francisco 49ers,55.1,4.7,4.2,6.2,5.3,11.2,72.2,42.0,297.0,4.4,7.3
Chicago Bears,45.0,3.3,4.8,6.2,4.8,13.9,56.7,43.0,365.0,3.8,7.3
Cincinnati Bengals,54.0,3.6,4.2,6.7,5.5,12.4,69.6,42.0,374.0,4.5,7.4
Los Angeles Raiders,54.9,4.8,3.5,7.2,6.6,13.1,79.0,40.0,300.0,5.5,7.6
Phoenix Cardinals,52.0,5.9,3.1,7.0,6.7,13.4,81.0,39.0,295.0,5.7,7.1
Houston Oilers,54.9,4.3,4.3,7.1,6.0,12.9,73.7,42.0,353.0,4.9,7.6
Miami Dolphins,60.7,3.9,3.3,7.0,6.3,11.6,81.2,24.0,167.0,5.7,4.7
Detroit Lions,65.7,3.3,2.9,7.2,6.5,10.9,85.5,47.0,393.0,5.3,8.4
San Diego Chargers,53.0,4.3,3.1,6.8,6.3,12.9,75.9,34.0,240.0,5.5,6.2
Los Angeles Rams,53.8,3.0,3.9,6.5,5.3,12.0,67.7,56.0,394.0,4.2,8.9
New York Giants,51.9,4.1,2.7,6.6,6.3,12.8,75.5,52.0,428.0,5.0,8.4
New Orleans Saints,54.9,3.8,3.4,7.1,6.3,12.9,75.8,31.0,252.0,5.5,5.8
Seattle Seahawks,55.9,4.2,4.4,7.2,6.1,12.9,74.4,30.0,265.0,5.2,5.6
Atlanta Falcons,55.8,3.4,4.8,7.1,5.6,12.8,69.6,30.0,211.0,4.9,5.6
Washington Redskins,52.5,4.8,2.8,7.5,7.2,14.3,81.6,43.0,305.0,6.1,8.0
New York Jets,51.3,5.9,5.0,8.0,6.9,15.7,76.9,45.0,314.0,5.7,8.6
Dallas Cowboys,50.5,5.7,1.9,7.4,7.7,14.7,86.2,46.0,327.0,6.5,8.1
Indianapolis Colts,59.6,3.9,2.8,7.1,6.6,11.8,82.5,30.0,201.0,5.9,5.3
Tampa Bay Buccaneers,57.7,3.6,4.0,7.1,6.0,12.3,75.2,20.0,140.0,5.6,3.7
Pittsburgh Steelers,58.1,4.7,3.8,7.7,6.9,13.2,82.5,19.0,145.0,6.4,3.4
Philadelphia Eagles,53.5,4.0,5.5,7.7,6.0,14.4,68.9,42.0,296.0,5.1,6.8
Avg Team,54.3,3.9,3.9,6.9,5.9,12.7,70.6,37.0,276.4,5.0,6.8
