Tm,Cmp%_Defense,PassTD%_Defense,Int%_Defense,Y/Apass_Defense,AY/A_Defense,Y/C_Defense,QbRating_Defense,Sk_Defense,SkYds_Defense,ANY/A_Defense,Sk%_Defense,ExpectedPointsPassing_Defense
Tennessee Titans,51.9,2.1,3.6,5.9,4.7,11.4,62.0,55.0,338.0,3.6,10.6,117.4
Washington Redskins,55.0,2.6,3.7,6.3,5.1,11.4,67.4,45.0,283.0,4.1,8.9,62.41
Dallas Cowboys,60.5,4.4,3.5,6.3,5.6,10.4,78.7,25.0,189.0,4.9,5.2,-4.35
Buffalo Bills,59.0,3.8,3.3,6.6,5.9,11.2,77.4,42.0,308.0,4.8,8.0,16.57
Miami Dolphins,53.2,2.5,5.3,6.0,4.1,11.2,57.5,48.0,270.0,3.3,8.3,76.57
New York Jets,51.3,3.3,4.1,6.1,5.0,11.9,64.3,40.0,234.0,4.2,7.2,54.67
Philadelphia Eagles,56.9,2.0,3.4,5.9,4.8,10.4,66.6,50.0,291.0,3.9,8.3,57.03
Baltimore Ravens,55.9,2.1,4.4,6.0,4.5,10.8,62.5,35.0,178.0,3.9,6.2,190.45
Pittsburgh Steelers,53.7,2.5,3.3,6.2,5.3,11.6,67.6,39.0,229.0,4.5,7.0,53.19
New Orleans Saints,58.4,3.5,4.1,7.1,5.9,12.1,74.7,66.0,378.0,4.5,11.9,17.16
Arizona Cardinals,64.5,4.1,2.2,7.1,7.0,11.0,90.2,25.0,135.0,6.3,5.2,-92.47
Cleveland Browns,53.9,3.7,2.5,7.0,6.6,13.0,78.3,42.0,270.0,5.6,8.0,-55.19
Tampa Bay Buccaneers,57.1,2.5,4.2,5.9,4.5,10.3,65.0,55.0,332.0,3.6,8.5,111.91
Jacksonville Jaguars,56.3,5.0,2.6,7.4,7.3,13.2,85.8,40.0,247.0,6.2,8.0,-10.19
Detroit Lions,57.2,2.9,4.6,6.2,4.7,10.8,66.2,28.0,162.0,4.2,4.9,61.84
New York Giants,55.9,3.9,3.4,6.3,5.5,11.2,73.7,44.0,279.0,4.7,7.0,82.45
Chicago Bears,62.6,4.7,2.1,6.9,6.9,11.0,90.0,36.0,230.0,6.0,6.4,-16.85
Indianapolis Colts,59.8,4.2,2.6,6.9,6.6,11.6,83.6,42.0,252.0,5.7,7.3,-38.77
Green Bay Packers,55.1,5.0,3.8,6.6,5.9,12.0,76.7,38.0,244.0,5.2,6.4,-0.82
Kansas City Chiefs,65.2,4.6,2.7,6.8,6.5,10.4,88.6,51.0,266.0,5.5,8.5,-51.92
New England Patriots,59.0,4.2,1.8,6.8,6.8,11.5,86.0,29.0,172.0,6.2,5.1,-90.93
San Diego Chargers,59.1,6.0,2.9,6.9,6.8,11.6,87.7,39.0,249.0,5.9,6.6,-64.03
Cincinnati Bengals,59.1,4.8,1.7,6.9,7.1,11.7,89.4,26.0,168.0,6.5,4.6,-87.54
Atlanta Falcons,59.4,4.5,2.9,7.3,6.9,12.3,84.8,31.0,142.0,6.2,5.7,-56.67
Oakland Raiders,61.1,4.3,3.6,6.8,6.0,11.1,80.4,43.0,278.0,5.2,6.8,15.58
Carolina Panthers,63.8,3.4,3.1,7.1,6.4,11.2,83.6,27.0,226.0,5.7,4.7,-20.26
St. Louis Rams,60.5,6.0,3.6,7.6,7.2,12.6,89.5,51.0,288.0,6.1,8.7,-99.4
Minnesota Vikings,63.2,3.9,1.4,7.1,7.2,11.2,91.6,31.0,214.0,6.5,5.0,-143.48
San Francisco 49ers,57.3,4.5,2.3,7.5,7.3,13.1,86.4,38.0,270.0,6.4,6.4,-95.95
Seattle Seahawks,63.2,4.7,3.5,8.4,7.7,13.2,90.8,27.0,152.0,7.0,5.2,-105.42
Denver Broncos,54.0,4.5,4.7,7.3,6.1,13.5,73.1,44.0,251.0,5.3,7.1,-7.01
Avg Team,58.2,3.9,3.3,6.7,6.1,11.6,76.2,39.7,242.7,5.2,7.0,-4.000645161290319
