Tm,Cmp%_Defense,PassTD%_Defense,Int%_Defense,Y/Apass_Defense,AY/A_Defense,Y/C_Defense,QbRating_Defense,Sk_Defense,SkYds_Defense,ANY/A_Defense,Sk%_Defense
New Orleans Saints,54.6,4.0,4.6,6.3,5.0,11.5,68.0,56.0,437.0,3.7,10.1
Philadelphia Eagles,57.4,4.7,1.9,7.1,7.2,12.3,87.2,36.0,256.0,6.1,7.7
Cincinnati Bengals,57.4,3.4,4.6,6.3,4.9,11.0,68.3,41.0,335.0,3.9,7.6
Houston Oilers,59.4,6.1,3.3,7.3,7.0,12.3,88.7,31.0,250.0,6.0,6.8
Pittsburgh Steelers,53.2,4.3,6.3,7.3,5.3,13.7,64.9,50.0,361.0,4.1,10.1
Minnesota Vikings,55.0,4.8,5.2,6.8,5.4,12.3,70.3,47.0,326.0,4.3,9.0
New York Jets,58.1,4.8,4.8,7.1,5.9,12.3,76.2,48.0,378.0,4.6,9.4
Miami Dolphins,57.7,4.0,5.4,7.0,5.4,12.1,70.0,49.0,363.0,4.2,9.3
Cleveland Browns,59.7,4.7,4.7,7.1,5.9,11.8,77.4,32.0,239.0,5.0,6.4
Kansas City Chiefs,52.2,4.2,6.0,6.7,4.9,12.9,62.6,35.0,250.0,4.1,6.5
Detroit Lions,57.7,4.1,4.3,6.6,5.5,11.5,73.5,43.0,289.0,4.6,7.7
Chicago Bears,50.8,3.1,4.3,7.2,5.9,14.1,66.7,51.0,384.0,4.6,9.4
Los Angeles Raiders,53.1,3.8,3.8,6.9,5.9,12.9,71.8,57.0,484.0,4.5,9.7
St. Louis Cardinals,55.9,4.6,5.4,7.0,5.5,12.5,70.8,59.0,468.0,4.1,10.2
San Francisco 49ers,61.2,4.4,4.6,7.0,5.9,11.5,78.0,57.0,448.0,4.5,9.8
New York Giants,57.4,5.3,4.7,7.3,6.2,12.7,78.4,44.0,323.0,5.1,8.2
New England Patriots,53.9,3.7,3.3,6.9,6.2,12.9,74.4,39.0,270.0,5.3,7.1
Buffalo Bills,59.6,4.6,2.7,7.4,7.1,12.4,86.6,32.0,247.0,6.2,6.3
Tampa Bay Buccaneers,61.2,3.1,4.7,7.4,5.9,12.1,74.6,42.0,309.0,4.8,7.9
Atlanta Falcons,63.5,5.7,3.0,7.6,7.3,11.9,92.8,31.0,217.0,6.5,5.9
Baltimore Colts,57.6,6.4,4.1,7.9,7.3,13.6,86.9,41.0,310.0,6.1,7.8
Los Angeles Rams,57.4,3.2,4.3,7.0,5.7,12.1,71.7,33.0,258.0,4.9,5.6
Denver Broncos,55.6,3.3,4.9,7.2,5.7,13.0,69.0,38.0,317.0,4.8,6.4
Green Bay Packers,57.9,3.9,3.7,7.8,6.9,13.4,80.4,41.0,271.0,5.9,7.3
San Diego Chargers,60.7,5.1,2.9,7.4,7.2,12.3,88.6,31.0,269.0,6.3,5.4
Seattle Seahawks,59.7,6.3,5.0,8.0,7.0,13.4,85.6,43.0,351.0,5.9,7.6
Dallas Cowboys,53.6,4.8,4.8,7.8,6.6,14.6,75.3,57.0,437.0,5.3,9.3
Washington Redskins,52.8,4.9,6.0,7.7,6.0,14.5,69.6,51.0,402.0,4.8,8.2
Avg Team,56.9,4.4,4.4,7.2,6.1,12.6,73.1,43.4,330.3,5.0,8.0
