Tm,Cmp%_Defense,PassTD%_Defense,Int%_Defense,Y/Apass_Defense,AY/A_Defense,Y/C_Defense,QbRating_Defense,Sk_Defense,SkYds_Defense,ANY/A_Defense,Sk%_Defense
San Francisco 49ers,48.0,2.8,5.4,5.9,4.1,12.4,53.8,37.0,287.0,3.2,7.3
Los Angeles Raiders,52.7,4.2,3.1,7.3,6.7,13.8,77.7,44.0,361.0,5.3,9.4
Indianapolis Colts,49.9,3.8,4.0,6.1,5.1,12.3,65.2,39.0,313.0,4.1,7.2
San Diego Chargers,51.5,4.3,2.9,7.0,6.5,13.6,76.2,45.0,298.0,5.3,9.3
Denver Broncos,57.2,3.3,6.1,6.7,4.6,11.6,62.9,31.0,244.0,3.8,6.4
New Orleans Saints,50.3,5.1,6.1,6.5,4.7,12.8,62.4,47.0,355.0,3.6,8.8
Chicago Bears,50.3,4.7,2.6,6.5,6.3,12.9,76.1,70.0,484.0,4.7,12.1
Cleveland Browns,52.7,3.2,4.9,6.6,5.0,12.6,63.7,34.0,257.0,4.2,6.8
Buffalo Bills,55.7,5.6,3.8,7.0,6.4,12.5,80.4,34.0,267.0,5.4,7.1
New York Giants,57.5,3.3,3.9,6.4,5.3,11.2,71.6,55.0,382.0,4.1,9.8
Tampa Bay Buccaneers,59.3,5.0,3.5,7.1,6.6,12.0,83.4,39.0,306.0,5.4,7.9
Seattle Seahawks,57.3,4.5,3.8,7.2,6.4,12.5,78.8,37.0,238.0,5.4,7.7
Green Bay Packers,59.5,3.0,3.8,6.8,5.7,11.5,74.0,34.0,197.0,4.9,6.8
Cincinnati Bengals,58.6,5.3,3.1,7.4,7.0,12.6,86.3,40.0,303.0,5.9,8.1
New England Patriots,52.5,3.3,4.0,6.6,5.4,12.6,67.5,43.0,339.0,4.4,7.6
Minnesota Vikings,55.8,4.8,5.2,6.8,5.5,12.3,71.4,41.0,307.0,4.5,7.6
Houston Oilers,53.7,5.1,4.6,6.9,5.8,12.8,73.1,35.0,271.0,4.9,6.6
Atlanta Falcons,53.6,5.7,3.3,7.3,6.9,13.5,82.4,17.0,118.0,6.4,3.6
Detroit Lions,56.4,5.0,4.1,7.8,6.9,13.7,80.9,42.0,355.0,5.6,8.4
New York Jets,53.3,5.5,3.7,7.0,6.4,13.1,78.7,29.0,206.0,5.7,5.6
Miami Dolphins,59.7,4.3,3.2,6.9,6.3,11.6,81.5,21.0,183.0,5.7,4.1
Kansas City Chiefs,57.6,5.2,2.3,7.2,7.2,12.4,87.8,26.0,167.0,6.5,5.1
Pittsburgh Steelers,60.3,4.6,5.6,7.3,5.7,12.1,74.6,26.0,196.0,5.0,5.1
Washington Redskins,52.4,3.6,4.4,7.1,5.9,13.6,69.3,53.0,424.0,4.6,9.1
St. Louis Cardinals,56.3,6.1,2.9,7.5,7.4,13.3,88.7,41.0,285.0,6.3,7.7
Los Angeles Rams,55.8,6.2,3.2,7.3,7.1,13.1,86.4,38.0,304.0,6.1,7.0
Dallas Cowboys,53.6,4.2,4.6,7.5,6.3,14.1,73.0,51.0,337.0,5.1,9.2
Philadelphia Eagles,54.4,5.2,3.7,7.2,6.6,13.3,79.2,57.0,452.0,5.2,9.2
Avg Team,54.8,4.5,4.0,7.0,6.1,12.7,72.6,39.5,294.1,5.0,7.6
