Tm,Cmp%_Defense,PassTD%_Defense,Int%_Defense,Y/Apass_Defense,AY/A_Defense,Y/C_Defense,QbRating_Defense,Sk_Defense,SkYds_Defense,ANY/A_Defense,Sk%_Defense
Minnesota Vikings,51.6,3.7,3.7,6.2,5.2,11.9,67.7,71.0,502.0,3.7,12.7
Kansas City Chiefs,50.1,3.4,3.2,6.0,5.2,12.0,66.8,36.0,294.0,4.3,7.1
Denver Broncos,53.2,2.6,4.2,6.4,5.0,11.9,64.1,47.0,374.0,3.9,8.5
San Diego Chargers,55.2,2.9,4.9,6.5,4.8,11.7,64.4,48.0,360.0,3.8,8.6
Los Angeles Raiders,54.7,3.6,3.6,6.5,5.7,12.0,72.0,35.0,248.0,4.8,6.5
Seattle Seahawks,56.6,5.2,2.0,7.5,7.6,13.2,89.3,32.0,235.0,6.6,6.7
New York Giants,56.2,3.3,4.5,7.1,5.7,12.6,70.4,39.0,302.0,4.7,7.4
Cincinnati Bengals,53.1,4.6,4.4,7.0,6.0,13.2,72.6,33.0,248.0,5.1,6.4
Cleveland Browns,49.8,3.7,5.0,6.5,5.0,13.1,62.3,45.0,359.0,4.0,7.7
Buffalo Bills,50.2,2.8,4.5,6.9,5.4,13.7,62.9,38.0,289.0,4.5,7.0
San Francisco 49ers,56.0,2.7,3.7,6.3,5.2,11.3,68.5,43.0,333.0,4.3,7.1
Philadelphia Eagles,48.8,4.9,5.7,7.0,5.4,14.4,64.7,62.0,424.0,4.2,10.5
Green Bay Packers,63.4,4.6,5.3,7.5,6.0,11.8,79.6,34.0,214.0,5.2,6.7
Tampa Bay Buccaneers,58.4,5.6,4.1,7.1,6.4,12.2,82.2,33.0,222.0,5.6,6.0
Indianapolis Colts,57.9,2.7,3.8,7.0,5.9,12.2,73.0,46.0,384.0,4.8,7.6
Pittsburgh Steelers,52.9,3.1,3.8,6.8,5.7,12.8,68.8,31.0,180.0,5.1,5.4
Houston Oilers,57.6,6.0,4.5,8.2,7.4,14.2,85.4,36.0,277.0,6.3,7.2
Miami Dolphins,61.4,4.1,2.9,7.4,6.9,12.1,85.7,39.0,268.0,6.0,7.1
Atlanta Falcons,59.3,4.3,4.6,8.6,7.4,14.4,82.5,31.0,183.0,6.5,6.6
Dallas Cowboys,61.7,4.3,1.4,7.7,7.9,12.5,93.9,29.0,183.0,7.1,5.6
Washington Redskins,52.3,4.7,5.1,7.3,6.0,14.0,70.6,40.0,304.0,5.0,7.0
Phoenix Cardinals,53.9,4.5,3.0,7.1,6.7,13.3,79.2,30.0,219.0,5.9,5.3
New England Patriots,57.7,6.0,3.6,8.7,8.3,15.1,91.6,31.0,239.0,7.3,6.5
Chicago Bears,55.4,3.8,4.7,7.4,6.0,13.3,72.0,39.0,247.0,5.2,6.6
New York Jets,54.9,6.0,2.9,7.9,7.7,14.3,88.5,28.0,177.0,7.0,5.2
New Orleans Saints,55.5,4.0,3.6,7.3,6.5,13.2,76.9,47.0,362.0,5.4,7.5
Detroit Lions,64.9,3.3,2.8,7.4,6.8,11.3,86.2,40.0,277.0,5.9,6.6
Los Angeles Rams,59.8,4.2,3.6,7.5,6.6,12.5,81.7,42.0,278.0,5.7,6.8
Avg Team,55.8,4.1,3.9,7.1,6.2,12.8,73.3,39.5,285.1,5.2,7.2
