Tm,Cmp%_Defense,PassTD%_Defense,Int%_Defense,Y/Apass_Defense,AY/A_Defense,Y/C_Defense,QbRating_Defense,Sk_Defense,SkYds_Defense,ANY/A_Defense,Sk%_Defense,ExpectedPointsPassing_Defense
Tampa Bay Buccaneers,60.6,3.7,3.3,6.0,5.3,9.9,76.2,33.0,210.0,4.5,6.3,24.41
Indianapolis Colts,65.3,3.2,4.4,5.9,4.5,9.0,73.3,28.0,162.0,4.0,5.3,3.35
Pittsburgh Steelers,54.5,4.1,2.1,5.7,5.6,10.5,76.5,36.0,243.0,4.8,6.3,55.45
Miami Dolphins,59.2,6.8,3.4,7.8,7.6,13.2,92.4,30.0,167.0,6.7,6.8,-92.3
Kansas City Chiefs,59.7,3.7,3.0,7.1,6.5,11.9,81.0,37.0,252.0,5.5,7.4,18.22
New England Patriots,59.7,4.4,3.6,6.4,5.7,10.8,78.1,47.0,340.0,4.6,8.2,44.76
Denver Broncos,60.9,5.5,3.1,7.2,6.9,11.8,88.3,33.0,203.0,6.0,6.7,-68.7
Oakland Raiders,59.5,3.9,4.1,7.6,6.5,12.7,78.9,27.0,186.0,5.7,5.8,-3.09
New York Jets,61.5,3.8,3.2,7.2,6.5,11.6,82.6,29.0,208.0,5.7,5.8,-47.21
Tennessee Titans,61.3,3.7,3.9,6.0,5.0,9.8,74.5,40.0,241.0,4.3,6.6,37.66
New York Giants,58.5,4.6,2.9,7.0,6.6,12.0,83.4,53.0,349.0,5.4,9.2,-21.94
Green Bay Packers,55.2,4.3,3.6,6.7,6.0,12.1,75.6,36.0,218.0,5.2,6.3,5.17
Dallas Cowboys,58.9,3.3,3.3,6.4,5.6,10.9,75.1,46.0,319.0,4.7,7.3,-1.65
San Diego Chargers,60.9,3.6,5.4,6.6,4.9,10.9,70.0,42.0,272.0,4.1,7.0,37.77
Jacksonville Jaguars,58.7,3.7,3.7,6.7,5.8,11.5,76.1,37.0,244.0,5.0,6.4,-29.7
Washington Redskins,58.3,3.3,2.3,6.0,5.6,10.3,77.1,33.0,198.0,5.0,5.2,29.23
Carolina Panthers,62.8,4.1,2.6,6.7,6.4,10.7,85.1,23.0,177.0,5.8,4.1,-40.45
Philadelphia Eagles,57.9,3.0,2.0,6.9,6.5,11.8,80.3,37.0,244.0,5.7,6.4,-29.98
Seattle Seahawks,58.6,2.6,3.5,6.7,5.6,11.4,73.0,45.0,303.0,4.7,7.3,37.03
Baltimore Ravens,59.8,5.5,3.5,7.6,7.2,12.8,87.6,32.0,183.0,6.4,6.1,-73.88
St. Louis Rams,60.8,4.8,3.4,7.4,6.8,12.1,85.0,31.0,234.0,6.0,5.6,-66.81
San Francisco 49ers,63.5,4.4,2.2,7.0,6.9,11.1,89.9,31.0,183.0,6.2,5.4,-51.51
Atlanta Falcons,62.7,5.0,3.0,7.1,6.8,11.3,88.2,25.0,146.0,6.2,4.5,-51.14
Cleveland Browns,58.8,5.0,2.9,6.7,6.4,11.4,83.4,28.0,186.0,5.8,4.6,-48.29
Houston Texans,66.1,4.6,2.0,7.1,7.1,10.7,93.6,31.0,196.0,6.4,5.4,-70.59
Cincinnati Bengals,65.4,5.4,3.5,7.1,6.6,10.8,89.2,22.0,128.0,6.1,3.9,-68.42
Chicago Bears,63.4,3.5,3.0,7.3,6.7,11.5,84.7,41.0,245.0,5.8,7.0,-16.86
Arizona Cardinals,63.3,4.6,3.2,6.9,6.4,11.0,85.8,36.0,242.0,5.7,5.9,-2.54
Buffalo Bills,62.4,3.4,3.2,7.0,6.2,11.2,81.1,26.0,144.0,5.7,4.4,-72.44
New Orleans Saints,62.4,6.1,2.5,7.9,8.0,12.6,96.9,32.0,198.0,7.2,5.8,-65.46
Detroit Lions,70.1,5.3,2.8,7.3,7.1,10.4,96.8,37.0,256.0,6.3,5.8,-94.88
Minnesota Vikings,64.2,3.4,2.3,7.0,6.6,10.8,86.3,38.0,275.0,5.8,5.6,-44.57
Avg Team,61.2,4.2,3.1,6.9,6.3,11.2,80.9,34.4,223.5,5.5,6.1,-24.042500000000004
