Tm,Cmp%_Defense,PassTD%_Defense,Int%_Defense,Y/Apass_Defense,AY/A_Defense,Y/C_Defense,QbRating_Defense,Sk_Defense,SkYds_Defense,ANY/A_Defense,Sk%_Defense,ExpectedPointsPassing_Defense
Pittsburgh Steelers,56.5,2.3,3.8,5.4,4.1,9.5,63.4,51.0,350.0,3.2,8.7,126.7
Baltimore Ravens,52.3,3.2,4.9,5.9,4.4,11.3,60.6,34.0,257.0,3.6,6.0,134.59
Philadelphia Eagles,54.1,3.6,2.9,6.1,5.6,11.4,72.9,48.0,312.0,4.6,8.4,98.48
Tampa Bay Buccaneers,58.1,4.8,4.6,6.7,5.6,11.5,75.3,29.0,190.0,4.9,5.8,37.84
Dallas Cowboys,60.6,3.7,1.6,6.6,6.7,11.0,86.2,59.0,374.0,5.3,10.4,-10.01
Indianapolis Colts,68.4,1.2,3.1,6.7,5.5,9.8,78.0,30.0,200.0,4.8,5.9,-15.86
Washington Redskins,56.8,3.1,2.5,6.3,5.8,11.2,75.6,24.0,141.0,5.3,4.5,-22.25
New York Giants,58.8,3.4,3.4,6.8,6.0,11.6,76.7,42.0,288.0,5.0,7.7,-2.25
Tennessee Titans,59.5,2.1,3.5,6.0,4.9,10.1,69.2,44.0,262.0,4.1,7.1,61.73
Oakland Raiders,56.5,4.2,3.4,7.2,6.6,12.8,79.3,32.0,188.0,5.8,6.4,-49.6
New England Patriots,60.8,5.7,3.0,7.3,7.1,12.0,89.8,31.0,239.0,6.2,6.1,-69.15
Green Bay Packers,55.4,4.2,4.2,6.5,5.5,11.8,71.9,27.0,140.0,4.9,5.0,22.34
Buffalo Bills,61.2,2.8,2.0,7.0,6.6,11.4,83.2,24.0,170.0,6.0,4.7,-20.29
Cleveland Browns,64.1,4.3,5.2,7.5,6.1,11.8,79.7,17.0,90.0,5.7,3.7,-62.76
Cincinnati Bengals,62.3,4.5,2.4,6.7,6.6,10.8,87.3,17.0,122.0,6.1,3.3,-48.38
Carolina Panthers,59.8,3.4,2.2,6.5,6.2,10.9,81.4,37.0,230.0,5.4,6.2,0.6
Houston Texans,62.4,5.1,2.5,7.6,7.5,12.2,92.3,25.0,175.0,6.8,5.0,-67.19
Minnesota Vikings,61.1,2.8,2.3,7.1,6.6,11.6,82.5,45.0,304.0,5.6,7.8,-17.9
St. Louis Rams,62.6,4.5,2.7,8.3,8.0,13.2,92.5,30.0,201.0,7.0,6.3,-69.64
San Francisco 49ers,60.7,4.0,2.2,6.7,6.5,11.1,85.0,30.0,161.0,5.9,5.2,-46.82
Atlanta Falcons,59.2,3.6,1.8,6.9,6.8,11.6,84.6,34.0,245.0,6.0,5.8,-42.4
Arizona Cardinals,62.5,7.0,2.5,7.2,7.5,11.6,96.9,31.0,191.0,6.7,5.7,-77.57
New Orleans Saints,56.8,4.0,2.9,7.0,6.6,12.4,80.3,28.0,161.0,5.9,5.1,-62.23
Jacksonville Jaguars,63.9,5.4,2.8,8.1,7.9,12.7,95.4,29.0,191.0,7.1,5.9,-104.82
Miami Dolphins,58.1,3.3,3.3,7.0,6.2,12.1,77.0,40.0,218.0,5.4,6.8,-21.41
Denver Broncos,67.3,4.0,1.2,7.7,7.9,11.4,98.5,26.0,141.0,7.3,5.0,-136.58
Detroit Lions,68.4,5.6,0.9,8.8,9.5,12.9,110.9,30.0,191.0,8.5,6.3,-160.8
Kansas City Chiefs,66.7,4.0,2.5,7.3,7.0,10.9,91.1,10.0,62.0,6.7,1.9,-77.19
New York Jets,64.3,4.0,2.4,7.0,6.7,10.9,88.1,41.0,253.0,5.8,6.7,-31.33
Chicago Bears,61.6,3.4,3.5,6.6,5.6,10.6,77.2,28.0,217.0,5.1,4.3,-5.43
San Diego Chargers,67.9,4.1,2.5,6.8,6.5,10.0,90.3,28.0,132.0,6.0,4.4,-72.23
Seattle Seahawks,64.7,4.4,1.6,7.7,7.8,11.9,96.0,35.0,193.0,7.1,5.8,-104.51
Avg Team,61.0,3.9,2.8,6.9,6.5,11.4,81.5,32.4,205.9,5.7,5.9,-28.635000000000005
