Tm,Cmp%_Defense,PassTD%_Defense,Int%_Defense,Y/Apass_Defense,AY/A_Defense,Y/C_Defense,QbRating_Defense,Sk_Defense,SkYds_Defense,ANY/A_Defense,Sk%_Defense,ExpectedPointsPassing_Defense
Miami Dolphins,56.1,4.7,3.6,6.6,5.9,11.7,76.7,37.0,230.0,5.0,7.3,19.74
Philadelphia Eagles,55.7,2.5,2.7,6.1,5.4,10.9,71.0,45.0,283.0,4.4,8.0,86.44
Dallas Cowboys,58.7,4.1,1.8,6.2,6.2,10.5,82.7,24.0,130.0,5.6,4.7,-36.82
Pittsburgh Steelers,56.2,3.6,3.0,6.3,5.7,11.2,74.5,55.0,367.0,4.5,9.5,67.6
Tampa Bay Buccaneers,55.4,4.1,5.7,6.5,4.8,11.8,65.3,42.0,272.0,3.9,7.9,40.33
Washington Redskins,55.4,4.0,4.9,6.6,5.2,11.9,68.8,25.0,139.0,4.7,5.0,42.98
New York Jets,60.7,2.7,3.9,6.1,4.9,10.1,71.1,33.0,171.0,4.3,6.0,37.42
Baltimore Ravens,57.8,2.9,2.9,6.0,5.3,10.4,72.8,45.0,290.0,4.4,7.5,78.03
Oakland Raiders,54.9,3.0,3.2,6.2,5.4,11.3,70.5,41.0,204.0,4.6,7.2,6.89
Cleveland Browns,56.0,3.3,6.0,6.1,4.1,10.9,60.2,43.0,288.0,3.3,7.2,104.38
St. Louis Rams,58.0,3.0,3.9,6.2,5.0,10.7,69.9,45.0,251.0,4.2,7.7,129.67
Cincinnati Bengals,60.7,4.5,2.5,6.8,6.5,11.2,85.4,48.0,320.0,5.4,8.6,-21.92
Buffalo Bills,62.7,5.1,2.4,7.5,7.4,11.9,92.2,34.0,219.0,6.4,7.0,-52.87
Kansas City Chiefs,60.3,3.9,2.6,6.9,6.5,11.5,83.1,31.0,239.0,5.7,5.9,-33.01
Green Bay Packers,58.5,2.4,3.4,6.0,4.9,10.3,69.6,52.0,337.0,4.0,8.2,89.0
Denver Broncos,59.8,4.5,4.3,6.9,5.9,11.6,77.8,39.0,279.0,5.0,7.0,-22.52
New Orleans Saints,61.5,6.6,3.3,8.1,8.0,13.2,95.5,53.0,323.0,6.5,10.5,-49.23
Minnesota Vikings,60.9,3.3,1.7,7.5,7.4,12.3,88.1,30.0,204.0,6.5,5.9,-83.74
San Francisco 49ers,58.6,3.2,4.2,6.4,5.1,10.9,70.3,32.0,220.0,4.4,5.3,-5.96
San Diego Chargers,59.3,4.5,3.6,6.8,6.1,11.4,79.8,41.0,218.0,5.3,7.1,-30.53
New York Giants,57.2,4.8,2.9,7.2,6.9,12.6,83.7,46.0,320.0,5.7,8.1,-13.47
Jacksonville Jaguars,65.1,2.4,2.2,6.9,6.4,10.6,83.9,43.0,298.0,5.4,7.3,-15.19
Seattle Seahawks,60.2,3.6,2.5,6.6,6.2,11.0,81.4,38.0,248.0,5.4,6.3,-5.0
New England Patriots,54.8,2.7,4.0,6.8,5.6,12.5,68.6,41.0,234.0,4.8,7.0,62.05
Detroit Lions,60.7,5.8,3.1,7.3,7.1,12.0,89.6,31.0,224.0,6.3,5.7,-98.78
Arizona Cardinals,60.6,4.7,3.1,6.7,6.3,11.1,83.4,19.0,128.0,5.8,3.3,-43.9
Indianapolis Colts,61.1,5.9,2.9,7.6,7.4,12.4,91.9,40.0,257.0,6.4,7.3,-89.78
Carolina Panthers,60.0,4.9,4.7,7.5,6.3,12.4,79.9,26.0,167.0,5.7,4.9,-50.5
Chicago Bears,59.0,2.0,3.3,6.6,5.5,11.2,71.4,48.0,294.0,4.6,7.4,75.23
Atlanta Falcons,64.3,5.6,3.5,8.0,7.6,12.5,93.3,37.0,230.0,6.7,6.7,-90.99
Tennessee Titans,58.7,4.8,2.3,7.6,7.5,13.0,89.1,32.0,175.0,6.8,5.4,-132.71
Avg Team,59.0,3.9,3.4,6.8,6.0,11.5,76.6,38.6,243.8,5.2,6.9,-1.198709677419358
