Tm,Cmp%_Defense,PassTD%_Defense,Int%_Defense,Y/Apass_Defense,AY/A_Defense,Y/C_Defense,QbRating_Defense,Sk_Defense,SkYds_Defense,ANY/A_Defense,Sk%_Defense
New Orleans Saints,56.2,2.5,3.5,5.6,4.5,9.9,65.9,57.0,376.0,3.4,10.0
Kansas City Chiefs,55.2,4.1,5.2,6.4,4.9,11.6,66.7,50.0,391.0,3.6,9.8
Houston Oilers,55.7,4.5,4.5,6.5,5.4,11.7,71.9,50.0,321.0,4.2,10.1
Seattle Seahawks,58.6,2.6,4.7,7.0,5.4,11.9,69.0,46.0,317.0,4.2,9.7
Dallas Cowboys,54.3,3.3,3.5,6.3,5.3,11.5,69.9,44.0,347.0,4.2,8.3
Washington Redskins,55.4,3.2,4.9,6.5,4.9,11.7,65.4,39.0,279.0,4.0,7.7
Minnesota Vikings,63.0,2.4,5.5,6.1,4.1,9.8,65.1,51.0,342.0,3.2,9.1
Pittsburgh Steelers,52.7,3.1,4.6,6.4,5.0,12.2,64.0,36.0,248.0,4.1,7.0
San Diego Chargers,55.2,3.5,5.1,6.5,4.9,11.8,65.5,51.0,356.0,3.8,9.4
Los Angeles Raiders,54.0,2.4,2.7,7.0,6.3,13.0,73.3,46.0,320.0,5.1,9.3
Indianapolis Colts,55.3,3.0,4.3,6.9,5.6,12.4,69.1,39.0,336.0,4.5,7.7
Philadelphia Eagles,50.9,3.9,4.6,6.4,5.1,12.6,64.8,55.0,385.0,3.9,9.6
New York Jets,55.3,4.1,4.5,6.9,5.7,12.5,71.6,36.0,240.0,4.8,7.2
Miami Dolphins,57.4,3.1,3.5,6.4,5.4,11.1,72.3,36.0,283.0,4.5,6.6
Chicago Bears,59.0,4.5,3.2,7.4,6.9,12.6,84.2,43.0,286.0,5.7,8.9
New York Giants,61.4,5.0,3.2,7.3,6.9,12.0,87.2,25.0,197.0,6.1,5.4
New England Patriots,56.2,4.8,3.1,7.0,6.6,12.4,81.3,20.0,114.0,6.1,4.2
Denver Broncos,58.0,4.5,3.2,7.4,6.9,12.8,83.0,50.0,317.0,5.6,9.8
Cleveland Browns,59.9,4.7,2.7,7.1,6.9,11.9,86.3,48.0,315.0,5.7,9.0
Buffalo Bills,58.7,3.7,4.4,6.8,5.6,11.7,73.2,44.0,351.0,4.5,7.8
Detroit Lions,60.8,4.1,4.3,7.0,5.9,11.5,77.6,29.0,185.0,5.2,5.6
Atlanta Falcons,63.1,5.5,2.5,8.0,7.9,12.6,95.6,31.0,241.0,6.9,6.6
Green Bay Packers,57.3,3.3,3.1,7.2,6.5,12.6,78.1,34.0,219.0,5.7,6.6
Los Angeles Rams,60.2,3.6,3.6,6.9,6.0,11.4,77.9,31.0,188.0,5.3,5.8
Cincinnati Bengals,58.9,4.9,3.3,7.4,6.9,12.6,84.7,45.0,294.0,5.8,8.4
San Francisco 49ers,58.1,3.6,3.1,6.6,5.9,11.4,77.3,41.0,273.0,5.1,6.9
Phoenix Cardinals,61.1,5.3,3.5,8.2,7.6,13.4,89.9,27.0,196.0,6.8,5.6
Tampa Bay Buccaneers,57.7,4.9,3.9,7.4,6.6,12.8,80.8,36.0,230.0,5.7,6.6
Avg Team,57.5,3.8,3.9,6.9,5.9,11.9,72.8,40.7,283.8,4.9,7.8
