Tm,Cmp%_Defense,PassTD%_Defense,Int%_Defense,Y/Apass_Defense,AY/A_Defense,Y/C_Defense,QbRating_Defense,Sk_Defense,SkYds_Defense,ANY/A_Defense,Sk%_Defense,ExpectedPointsPassing_Defense
Dallas Cowboys,48.6,3.7,2.6,5.7,5.3,11.8,67.6,32.0,189.0,4.6,6.1,42.79
Buffalo Bills,56.1,3.5,2.0,5.8,5.6,10.3,76.5,38.0,231.0,4.8,7.0,29.93
Tampa Bay Buccaneers,57.7,3.4,4.2,6.2,5.0,10.7,69.7,36.0,234.0,4.2,7.0,76.34
Baltimore Ravens,55.7,3.6,4.5,5.9,4.6,10.7,66.4,47.0,353.0,3.6,8.1,140.29
Indianapolis Colts,62.2,4.0,3.4,6.8,6.1,11.0,81.8,31.0,225.0,5.2,6.5,5.89
Denver Broncos,53.5,3.4,1.8,6.2,6.0,11.5,76.2,36.0,221.0,5.2,6.8,-3.05
Cleveland Browns,59.2,2.6,3.0,6.1,5.2,10.3,72.9,35.0,203.0,4.5,6.5,7.24
New Orleans Saints,54.4,4.1,2.9,6.5,6.0,12.0,76.3,32.0,171.0,5.3,6.2,11.91
Carolina Panthers,57.3,3.6,3.1,6.2,5.5,10.8,74.8,40.0,212.0,4.7,7.1,33.02
New York Jets,61.8,3.1,2.4,7.1,6.7,11.5,83.4,35.0,218.0,5.7,7.1,-28.28
Pittsburgh Steelers,60.7,4.1,2.9,6.7,6.2,11.0,82.4,35.0,203.0,5.4,6.7,-21.43
St. Louis Rams,58.0,4.5,4.7,6.6,5.4,11.4,73.3,42.0,291.0,4.4,7.6,113.69
Chicago Bears,62.1,3.8,2.9,6.1,5.5,9.8,79.9,18.0,105.0,5.2,3.3,-13.72
Washington Redskins,59.0,4.8,3.5,6.9,6.3,11.8,81.4,27.0,159.0,5.7,5.3,-44.17
New England Patriots,53.1,1.8,4.7,5.6,3.9,10.6,56.2,41.0,253.0,3.3,6.2,125.09
Philadelphia Eagles,60.3,3.0,2.3,6.2,5.8,10.3,78.7,38.0,248.0,5.0,6.4,45.18
San Francisco 49ers,60.3,4.9,4.5,6.9,5.9,11.4,78.6,42.0,306.0,4.9,7.6,9.84
Jacksonville Jaguars,59.4,4.5,2.9,6.6,6.2,11.2,82.0,24.0,134.0,5.7,4.5,-68.97
Miami Dolphins,60.3,2.3,4.2,6.8,5.4,11.2,70.8,44.0,253.0,4.5,7.7,22.73
Kansas City Chiefs,58.8,3.4,4.4,6.4,5.1,10.9,70.5,36.0,251.0,4.4,6.0,-13.12
San Diego Chargers,61.5,6.9,2.5,6.8,7.1,11.1,94.3,30.0,200.0,6.3,5.4,-57.8
Oakland Raiders,61.2,4.5,3.0,7.6,7.2,12.4,87.3,25.0,162.0,6.5,5.1,-48.28
Green Bay Packers,55.3,3.1,3.6,6.1,5.1,11.0,69.0,34.0,200.0,4.5,5.5,64.45
Cincinnati Bengals,58.5,4.5,2.8,7.1,6.7,12.1,83.9,30.0,196.0,6.0,5.6,-64.69
New York Giants,59.5,4.8,1.9,7.1,7.2,12.0,89.5,45.0,298.0,6.1,8.0,-56.8
Minnesota Vikings,58.6,3.2,5.3,7.0,5.3,12.0,68.8,37.0,245.0,4.5,6.5,-11.37
Seattle Seahawks,59.9,4.2,2.8,6.5,6.1,10.9,81.4,40.0,248.0,5.3,6.5,-57.79
Detroit Lions,63.4,5.0,2.9,7.2,6.9,11.4,89.6,28.0,182.0,6.2,5.1,-49.51
Arizona Cardinals,62.6,5.8,2.6,7.4,7.4,11.9,93.7,21.0,97.0,6.9,4.1,-107.17
Tennessee Titans,60.8,3.7,3.8,7.0,6.0,11.5,78.2,38.0,223.0,5.2,6.5,58.03
Houston Texans,59.2,4.4,2.8,7.6,7.3,12.9,86.2,19.0,123.0,6.8,3.6,-95.8
Atlanta Falcons,63.6,5.5,3.0,7.9,7.7,12.4,94.0,36.0,205.0,6.8,6.6,-61.49
Avg Team,58.8,4.0,3.3,6.6,6.0,11.3,76.6,34.1,213.7,5.2,6.2,-0.5318750000000041
