Rk,Tm,G,Att,Yds,TD,Lng,Y/A,Y/G,Fmb,EXP
1,San Francisco 49ers,16,509,2244,16,43,4.4,140.3,19,21.41
2,Kansas City Chiefs,16,448,2008,16,41,4.5,125.5,19,20.01
3,St. Louis Rams,16,416,2027,20,71,4.9,126.7,38,19.82
4,Indianapolis Colts,16,438,1966,16,77,4.5,122.9,20,2.17
5,Minnesota Vikings,16,376,1609,10,34,4.3,100.6,35,-2.92
6,New York Jets,16,445,2054,11,47,4.6,128.4,22,-12.71
7,Pittsburgh Steelers,16,580,2774,17,48,4.8,173.4,28,-13.34
8,Seattle Seahawks,16,469,1936,15,88,4.1,121,24,-14.7
9,Jacksonville Jaguars,16,372,1600,11,54,4.3,100,29,-29.38
10,Oakland Raiders,16,450,1654,14,38,3.7,103.4,27,-30
11,Philadelphia Eagles,16,412,1778,6,48,4.3,111.1,20,-30.53
12,Atlanta Falcons,16,439,1762,9,58,4,110.1,27,-32
13,Buffalo Bills,16,406,1686,9,68,4.2,105.4,26,-32.23
14,Tampa Bay Buccaneers,16,407,1371,17,39,3.4,85.7,20,-34.5
15,New York Giants,16,424,1777,11,61,4.2,111.1,40,-36.56
16,Denver Broncos,16,481,1877,7,62,3.9,117.3,24,-39
17,Detroit Lions,16,351,1398,8,56,4,87.4,24,-41.8
18,Washington Redskins,16,490,1948,10,32,4,121.8,33,-49.97
19,Chicago Bears,16,475,1742,12,46,3.7,108.9,21,-50.35
20,Dallas Cowboys,16,505,2184,8,80,4.3,136.5,25,-52.46
21,Miami Dolphins,16,473,1664,14,56,3.5,104,26,-53.23
22,New Orleans Saints,16,419,1712,8,54,4.1,107,35,-55.65
23,San Diego Chargers,16,435,1695,13,67,3.9,105.9,26,-57.72
24,New England Patriots,16,473,1793,15,44,3.8,112.1,29,-59.72
25,Cincinnati Bengals,16,441,1712,11,96,3.9,107,28,-60.58
26,Tennessee Titans,16,468,1794,12,51,3.8,112.1,18,-64.67
27,Green Bay Packers,16,410,1693,11,83,4.1,105.8,28,-67.53
28,Arizona Cardinals,16,400,1449,10,42,3.6,90.6,26,-71.45
29,Baltimore Ravens,16,483,1810,11,55,3.7,113.1,31,-74.55
30,Carolina Panthers,16,354,1372,9,58,3.9,85.8,33,-76.5
31,Cleveland Browns,16,417,1351,8,51,3.2,84.4,24,-90.43
,Avg Team,,440.8,1788.4,11.8,56,4.1,111.8,26.6,-37.8
,League Total,,13666,55440,365,96,4.1,111.8,825,
,Avg Tm/G,,27.6,111.8,0.7,,4.1,111.8,1.7,
